fund,group,company,sector,country,headcount,headcount_num,employee_participation,participation_bucket,participation_source_url,participation_quote,headcount_source_url
Bridges Evergreen Holdings,atlas,Shaw Healthcare,Residential and nursing care for the elderly,United Kingdom,"3,300+ employees",3300,broad employee ownership,broad/esop,https://www.shaw.co.uk/employee-owned,"Today, 76% of Shaw's shares are held on behalf of its 3,300+ employees [through an Employee Ownership Trust]; employee-owned since May 2020 (initially 51%, since grown to 76%). Described by Bridges as 'the UK's largest employee-owned care business'.",https://www.eosector.com/p/five-years-of-shared-success-how-employee-ownership-transformed-shaw-healthcare
Bridges Evergreen Holdings,atlas,New Reflexions,Children's residential care (young people with emotional and social difficulties),United Kingdom,"not public (operates ~22 care homes in Shropshire, Cumbria and Scotland; total employee count not published in sources found)",22,unknown/not public,unknown,https://www.bridgesfundmanagement.com/portfolio/new-reflexions/,No public evidence of broad employee ownership or ESOP found; Bridges Evergreen invested ~£6m to back expansion of its residential care model.,https://www.bridgesfundmanagement.com/2017/03/13/bridges-evergreen-backs-new-reflexions-expand-successful-residential-care-model/
Bridges Evergreen Holdings,atlas,The Ethical Housing Company,"Affordable housing (rental homes for vulnerable people, Teesside / North-East England)",United Kingdom,not public,,unknown/not public,unknown,https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,A new venture created by Bridges Evergreen to acquire/build a portfolio of affordable rental homes; no public evidence of an employee-ownership or ESOP structure (asset-holding housing venture).,https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/
Bridges Evergreen Holdings,atlas,AgilityEco (Agility Eco Services Ltd),Energy efficiency / low-carbon retrofit and fuel-poverty services,United Kingdom,"not public (firm's own staff count not published; sources cite programme metrics e.g. ~99,000 energy-efficiency measures delivered 2021-2022 and ~800 jobs supported at partner organisations, not internal headcount)",99000,unknown/not public,unknown,https://www.bridgesfundmanagement.com/long-term-capital/,"Bridges Evergreen acquired a significant minority stake; AgilityEco is a Certified B Corporation, but no public evidence of broad employee ownership / ESOP was found.",https://bettersocietycapital.com/impact-stories/agilityeco/
Bridges Evergreen Holdings,atlas,Skills Training UK,Independent skills training / apprenticeships provider,United Kingdom,"not public (cites 100+ training specialists and 6,800+ learners / 1,200+ apprentices, but no total company employee count published)",100,unknown/not public,unknown,https://www.skillstraininguk.com/skills-training-uk-partners-with-bridges-evergreen,Bridges Evergreen acquired a majority stake (June 2021) to support growth; no public evidence of broad employee ownership or ESOP found.,https://www.bridgesfundmanagement.com/2021/06/23/evergreen-partners-with-skills-training-uk/
Teamshares,worker-ownership,Patina Stores,"Retail (gift stores, 8-store chain)",United States,155 permanent employees (plus seasonal),155,broad employee ownership,broad/esop,https://tcbmag.com/patina-founders-sell-local-gift-store-chain-after-32-years/,"Under the Teamshares model, all permanent employees receive a set number of shares on day one under new ownership. The shares become fully vested after four years with the first quarter vested after one year.",https://tcbmag.com/patina-founders-sell-local-gift-store-chain-after-32-years/
Teamshares,worker-ownership,"The Costumer (Story First, Inc.)",Theatrical costume rental and sales (founded 1917),United States,unknown/not public (aggregator figures unverified),,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20250423541468/en/Generational-Group-Advises-Story-First-Inc.-dba-The-Costumer-in-its-Sale-to-Teamshares,"Teamshares progressively grants employees stock ownership, ultimately aiming for 80% employee ownership over 20 years.",https://www.businesswire.com/news/home/20250423541468/en/Generational-Group-Advises-Story-First-Inc.-dba-The-Costumer-in-its-Sale-to-Teamshares
Teamshares,worker-ownership,Runkle's (Runkles Inc.),"Notary, tag & title retail chain",United States,unknown/not public,,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20260120543518/en/Teamshares-Acquires-$15-Million-of-New-EBITDA-in-4Q-2025-Ahead-of-Anticipated-Nasdaq-Listing,"Since its acquisition, Runkles has distributed nearly $200,000 in dividends, repurchased $39,000 in vested shares from departing employees, and seen its employee ownership stake grow from 10% to 18.5%.",
Teamshares,worker-ownership,"Success Printing and Mailing, Inc.",Commercial print & mailing,United States,unknown/not public,,broad employee ownership,broad/esop,https://www.privsource.com/acquisitions/deal/teamshares-acquires-success-printing-and-mailing-n8S37M,Teamshares buys traditional small businesses from retiring owners to make them 80% employee-owned within 20 years.,https://www.privsource.com/acquisitions/deal/teamshares-acquires-success-printing-and-mailing-n8S37M
Teamshares,worker-ownership,Central Texas Plumbing Solutions,Plumbing / skilled trades services,United States,"unknown/not public (aggregator listed ~3, contradicted by ~$10M revenue; not reliable)",3,broad employee ownership,broad/esop,https://www.linkedin.com/company/central-texas-plumbing-solutions,"Central Texas Plumbing Solutions, founded in 2008 and employee-owned since 2022, is a Teamshares Network Company.",https://www.linkedin.com/company/central-texas-plumbing-solutions
Teamshares,worker-ownership,Julia's Homestyle Bakery,Food / bakery,United States,unknown/not public,,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20260120543518/en/Teamshares-Acquires-$15-Million-of-New-EBITDA-in-4Q-2025-Ahead-of-Anticipated-Nasdaq-Listing,Teamshares acquired businesses are progressively granted to employees with the goal of 80% employee ownership over 20 years.,
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,"B and B Maintenance, Inc.",Janitorial / facilities maintenance services,United States (Illinois; serves ~20 states),"1,100+ full-time and part-time team members",1100,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20260113427016/en/Apis-Heritage-Capital-Partners-Adds-B-and-B-Maintenance-Inc.-to-Portfolio-in-Largest-Workforce-Employee-led-Buyout-to-Date,converted ... into a 100% employee stock ownership plan (ESOP) company ... A&H's largest portfolio company to date in terms of workforce size ... broad based employee ownership,https://www.businesswire.com/news/home/20260113427016/en/Apis-Heritage-Capital-Partners-Adds-B-and-B-Maintenance-Inc.-to-Portfolio-in-Largest-Workforce-Employee-led-Buyout-to-Date
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,"Accent Landscape Contractors, Inc.",Commercial landscaping and irrigation,"United States (El Paso, Texas)",~120 full-time workers,120,broad employee ownership,broad/esop,https://www.prnewswire.com/news-releases/apis--heritage-capital-partners-completes-first-two-transactions-to-further-mission-of-closing-racial-wealth-gap-through-novel-employee-led-buyout-model-301561840.html,Converted into a 100% employee-owned enterprise through A&H's employee-led buyout (ELBO) model using an ESOP. Seller: 'showed me ... that my workers were going to be able to carry Accent forward.',https://www.prnewswire.com/news-releases/apis--heritage-capital-partners-completes-first-two-transactions-to-further-mission-of-closing-racial-wealth-gap-through-novel-employee-led-buyout-model-301561840.html
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,"Blooming Nursery, Inc.",Horticulture / wholesale plant nursery,"United States (Cornelius, Oregon)","~70 year-round, swelling to ~115 in growing season (over 90% Latino/Latina workforce)",70,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20231213355825/en/Apis-Heritage-Capital-Partners-completes-third-Employee-Led-Buyout-ELBO-transitioning-Blooming-Nursery-into-100-employee-ownership,transitioning Blooming Nursery into 100% employee ownership ... putting over 100 blue-collar workers on a path to wealth and independence,https://www.businesswire.com/news/home/20231213355825/en/Apis-Heritage-Capital-Partners-completes-third-Employee-Led-Buyout-ELBO-transitioning-Blooming-Nursery-into-100-employee-ownership
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,"Consolidated Construction Services, Inc. (CCS)","Underground utility construction (sewer, water line, storm drain, electrical conduit)","United States (Reisterstown, Maryland)",65+ employees,65,broad employee ownership,broad/esop,https://www.businesswire.com/news/home/20241120724816/en/Apis-Heritage-Capital-Partners-Converts-Maryland-Based-Consolidated-Construction-Services-to-Employee-Ownership-via-New-Employee-Led-Buyout-ELBO-Putting-Maryland-Workers-and-Their-Families-on-a-Path-to-Financial-Security,"converted ... into a 100% employee-owned enterprise, creating shared ownership for over 65 employees",https://www.businesswire.com/news/home/20241120724816/en/Apis-Heritage-Capital-Partners-Converts-Maryland-Based-Consolidated-Construction-Services-to-Employee-Ownership-via-New-Employee-Led-Buyout-ELBO-Putting-Maryland-Workers-and-Their-Families-on-a-Path-to-Financial-Security
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,Apex Plumbing Co.,Plumbing / underground infrastructure repair,"United States (Denver, Colorado)",~50 employees (about 50% Latino workforce),50,broad employee ownership,broad/esop,https://www.prnewswire.com/news-releases/apis--heritage-capital-partners-completes-first-two-transactions-to-further-mission-of-closing-racial-wealth-gap-through-novel-employee-led-buyout-model-301561840.html,"'By converting our company into an employee-owned business, we have provided an opportunity for all team members to reap the benefits of their hard work going forward through stock ownership.' (100% employee-owned via ELBO/ESOP)",https://www.prnewswire.com/news-releases/apis--heritage-capital-partners-completes-first-two-transactions-to-further-mission-of-closing-racial-wealth-gap-through-novel-employee-led-buyout-model-301561840.html
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,"Ickler Electric (IE Group Holdings, Inc.)",Commercial electrical contracting (mission-critical / life sciences & biotech facilities),"United States (Poway / San Diego, California)",~350 employees (at May 2025 acquisition),350,ESOP,broad/esop,https://www.mosaic-cp.com/mosaic-capital-partners-announces-investment-in-ickler-electric-esop/,"Ickler's nearly 350 employees will participate in the ownership structure; ""The ESOP provides a substantial retirement benefit to all eligible, full-time employees.""",https://www.mosaic-cp.com/mosaic-capital-partners-announces-investment-in-ickler-electric-esop/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Custom Profile,"Niche manufacturing (plastic profile extrusion for office furniture, appliance, medical, recreational, RV / renewable energy)","United States (Grand Rapids, Michigan; plus a facility in Juarez, Mexico)",not public,,ESOP,broad/esop,https://www.mosaic-cp.com/mosaic-capital-partners-announces-esop-acquisition-of-custom-profile/,"ESOP acquisition completed April 2019; ""The ESOP provides a substantial retirement benefit to all eligible, full-time employees.""",https://www.mosaic-cp.com/mosaic-capital-partners-announces-esop-acquisition-of-custom-profile/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Zero Waste Recycling,Business services (waste management & zero-waste-to-landfill recycling for manufacturers),"United States (Southeast US; facilities in Charlotte, NC and Lancaster, SC)","""hundreds"" of employees (exact figure not public)",,ESOP,broad/esop,https://www.mosaic-cp.com/mosaic-capital-partners-announces-esop-investment-in-zero-waste-recycling/,"ESOP transaction; ""The company employs hundreds of exceptional individuals who provide outstanding customer service every day.""",https://www.mosaic-cp.com/mosaic-capital-partners-announces-esop-investment-in-zero-waste-recycling/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,"LGS / Linxx Global Solutions, Inc.","Business services / healthcare services (specialized staffing — defense & security vertical; long-term healthcare vertical; training, security, info assurance for DoD/NASA/State/DHS)","United States (Virginia Beach, VA)",not public,,ESOP,broad/esop,https://www.prnewswire.com/news-releases/mosaic-capital-partners-leads-esop-buyout-of-linxx-global-solutions-inc-300073038.html,"Leveraged ESOP buyout (April 2015); ""Becoming an ESOP company only empowers our Linxx team to reach for greater opportunities in the years ahead."" — Martin Strong, Linxx CEO",https://www.prnewswire.com/news-releases/mosaic-capital-partners-leads-esop-buyout-of-linxx-global-solutions-inc-300073038.html
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Best Friends Pet Hotel,Consumer / pet services (independent pet hotel operator; includes the official pet hotel for Walt Disney World Resort),United States (31 locations across the US),not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; per Mosaic thesis the ESOP trust owns up to 100% of shares and makes annual allocations to employees.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Galfab,Niche manufacturing (roll-off hoists and related equipment for the waste industry),United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,"Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy (trust owns 100% of shares, annual allocations to employees).",https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Sayers,"IT services (data center infrastructure, enterprise security products and IT solutions to 400+ enterprises)",United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Gautier Steel,Niche manufacturing (hot rolled carbon and alloy flats/squares; plate mill),United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Pete's (Pete's Living Greens),Food & beverage (greenhouse-grown / hydroponic lettuce brand),United States (West Coast),not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,PLI Card Marketing Solutions,"Niche manufacturing (card production, personalization, fulfillment, direct mail, print services)",United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,NuSource,"Business services (technology-integrated solutions, equipment and maintenance services to regional banks)",United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Advanced Diagnostic Group,"Healthcare services (MRI, X-ray and other imaging services across Florida)",United States (Florida),not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,Boston Retail Solutions (Boston Barricade),"Business services (temporary barricades, graphics and in-store installation services for retailers)",United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,EMT,Business services (non-emergency medical and student transportation),United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,ETAK,Business services (maintenance and installation services for the telecommunications industry),United States,not public,,ESOP,broad/esop,https://www.mosaic-cp.com/portfolio/,Listed as a Mosaic employee-ownership portfolio company; ESOP buyout per Mosaic's strategy.,https://www.mosaic-cp.com/portfolio/
Bessemer Venture Partners,vc,Shopify,E-commerce / cloud commerce SaaS,Canada,unknown/not public (not verified against a 10-K/20-F in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Twilio,Cloud communications (CPaaS) / SaaS,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Toast,Restaurant / vertical SaaS + payments,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Procore,Construction / vertical SaaS,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,ServiceTitan,Trades / vertical SaaS,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Wix,Website building / cloud SaaS,Israel,unknown/not public (not verified against a 20-F in this run),20,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Box,Cloud content management / SaaS,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Pinterest,Consumer internet / social,United States,unknown/not public (not verified against a 10-K in this run),10,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,LinkedIn,Professional network / SaaS (now part of Microsoft),United States,unknown/not public (acquired by Microsoft; standalone headcount not separately reported),,unknown/not public,unknown,,,
Bessemer Venture Partners,vc,Auth0,"Identity / developer infrastructure (acquired by Okta, 2021)",United States,unknown/not public (acquired by Okta; standalone headcount not separately reported),,unknown/not public,unknown,,,
Insight Partners,vc,SentinelOne,Cybersecurity (endpoint/AI security),"Israel (founded) / United States (HQ Mountain View, CA)","over 2,800 full-time employees (as of January 31, 2025)",2800,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001583708/000158370825000051/s-20250131.htm,No verbatim quote verified (SEC direct fetch returned 403). Judgment from FY2025 10-K: public company with a 2021 Equity Incentive Plan (RSUs/options) plus an Employee Stock Purchase Plan; no ESOP trust or broad employee ownership.,https://www.sec.gov/Archives/edgar/data/0001583708/000158370825000051/s-20250131.htm
Insight Partners,vc,monday.com,B2B software (work-management SaaS),Israel (HQ Tel Aviv),"3,155 employees (as of December 31, 2025); 2,508 (as of December 31, 2024)",3155,standard options/RSU (concentrated),none/standard-vc,https://ir.monday.com/news-and-events/news-releases/news-details/2026/monday-com-Files-its-2025-Annual-Report-on-Form-20-F/default.aspx,No per-company verbatim quote verified. Judgment: public company (NASDAQ: MNDY); 20-F discloses standard options/RSU equity-incentive arrangements; no ESOP trust or broad employee ownership found.,https://stockanalysis.com/stocks/mndy/employees/
Insight Partners,vc,JFrog,B2B software (DevOps / software supply chain),"Israel (HQ Sunnyvale, CA / Netanya, Israel)","approximately 1,600 employees (as of December 31, 2024)",1600,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001800667/000095017025021340/frog-20241231.htm,No per-company verbatim quote verified. Judgment: public company (NASDAQ: FROG); FY2024 10-K discloses standard options/RSU equity-incentive plan; no ESOP trust or broad employee ownership.,https://www.sec.gov/Archives/edgar/data/0001800667/000095017025021340/frog-20241231.htm
Insight Partners,vc,nCino,B2B software (cloud banking / fintech SaaS),"United States (HQ Wilmington, NC)","1,833 employees (as of January 31, 2025)",1833,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001902733/000190273325000026/ncno-20250131.htm,No per-company verbatim quote verified. Judgment: public company (NASDAQ: NCNO); FY2025 10-K discloses standard equity-incentive plan; no ESOP trust or broad employee ownership.,https://www.sec.gov/Archives/edgar/data/0001902733/000190273325000026/ncno-20250131.htm
Insight Partners,vc,Shopify,E-commerce / commerce software platform,Canada (HQ Ottawa),"just under 8,100 employees (as of December 31, 2024)",8100,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000012/shop-20241231.htm,"No per-company verbatim quote verified. Judgment: long-public company (NYSE: SHOP, public since 2015; Insight an early, largely exited investor); FY2024 10-K discloses standard equity-incentive/RSU programs; no ESOP trust or broad employee ownership.",https://www.sec.gov/Archives/edgar/data/0001594805/000159480525000012/shop-20241231.htm
Insight Partners,vc,Wiz,Cybersecurity (cloud security),Israel (founded) / United States (HQ New York),"approximately 1,800-1,995 employees (≈1,995 as of November 2024; ~1,800 at acquisition close)",1800,unknown/not public,unknown,"https://en.wikipedia.org/wiki/Wiz,_Inc.","Was private (Insight co-led the 2020 round); acquired by Google for $32B, deal closed March 2026 — no longer independent. Employee participation structure not publicly disclosed. Headcount from Wikipedia, not a primary filing.","https://en.wikipedia.org/wiki/Wiz,_Inc."
Insight Partners,vc,OpenAI,Artificial intelligence (foundation models),United States (HQ San Francisco),unknown/not public (no primary source verified in this research),,unknown/not public,unknown,,"Private; listed by Insight as a portfolio company. No headcount or employee-participation figure verified against a real source, so both reported as unknown/not public per anti-hallucination rules.",
Insight Partners,vc,Databricks,Data / AI (data lakehouse platform),United States (HQ San Francisco),unknown/not public (no primary source verified in this research),,unknown/not public,unknown,,Private; listed by Insight as a portfolio company. No headcount or participation figure verified against a real source; reported unknown/not public.,
Insight Partners,vc,Anthropic,Artificial intelligence (foundation models),United States (HQ San Francisco),unknown/not public (no primary source verified in this research),,unknown/not public,unknown,,Private; listed by Insight as a portfolio company. No headcount or participation figure verified against a real source; reported unknown/not public.,
