entity_id,name,asset_class,liquidity_band,horizon_years,tech_enabled,tier,confidence,website,exit_quote,audit_flag,source_note,country,allocator,evidence_signal,liquidity_evidence_url,liquidity_evidence_note
golden-section,Golden Section,Nimble,Nimble,,yes,verified,med,https://www.goldensection.com/,"Founders who are building toward a meaningful strategic exit at $5–15M An. Rev., not an IPO at $500M An. Rev.",no explicit exit timing stated (exit-size evidence only) — Nimble vs SMV boundary pending owner reconciliation,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://www.goldensection.com/,United States,yes,Describes itself as backing capital-efficient B2B vertical SaaS founders building lasting companies rather than chasing the next round; minority growth equity with $1M-$5M initial checks and a stated preference for burn multiples below 2x.,,
gorilla-capital,Gorilla Capital,Nimble,Unknown,,yes,anchor,med,https://gorillacapital.fi/,"always built with the realistic positive exit in mind, regardless the size","camel metaphor is a startup metaphor not a fund class (Ethan 2026-06-07); no explicit exit timing stated so band left Unknown | 2026-07-07 band research (firm-authored ArcticStartup article, 'By Gorilla Capital'): designs for sub-unicorn exits ('median exit ~EUR15M... build a cap table that works even if the exit lands at EUR15M') AND explicitly rejects engineered exit timing ('not one that needs to sell in two years or die trying') - i.e. SMV-style, NOT Nimble's <=6y engineered liquidity. Points to SMV band, CONFLICTS with asset_class=Nimble; band left Unknown pending owner reconciliation.",Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://gorillacapital.fi/,Finland,yes,"Self-describes as 'The Nordic Institutional Super Angel' investing in camels — capital-efficient, tech-enabled startups solving real business problems — typically before product-market fit, with milestone-tied funding and premature scaling avoided.",,
hasan-vc,HASAN.VC,Nimble,Nimble,,yes,verified,med,https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,HASAN.VC prioritizes the cultivation of Camel startups over the pursuit of speculative Unicorns. Hand-verified,needs_review: proposed Nimble->Impact Capital for owner review; country inferred from own-site Kota Bharu studio reference; hybrid structure (fund + accelerator + venture studio) | owner-ruling 2026-07-03: KEEP Nimble (Impact proposal rejected; camel capital-efficiency primary),Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,Malaysia,yes,"Describes itself as a 'People-Powered VC Fund for a Better Tomorrow' investing in companies driven by ethics and purpose, grooming ethical entrepreneurs building Camel Startups; Fund 1 targets 40-50 startups fed by its own virtual accelerator and venture studio.",,
henq,henQ,Nimble,Unknown,,yes,in_disguise,med,https://www.henq.vc/,,€10M tickets + 60M ARR trajectory may fit SMV better than Nimble — held per SMV/Nimble reconciliation freeze; HQ from third-party LinkedIn,2026-06-06 re-grounded: S3 verbatim confirmed 'build a sustainable business without ever raising VC funding again'. | audited 2026-07-02: https://www.henq.vc/,Netherlands,yes,"Describes itself as 'the venture capital fund for B2B startups' backing European founders with initial tickets up to €10M, targeting markets considered 'too boring' or atypical, and claims its companies use less funding and dilute less to reach 60M ARR than average VC-backed businesses.",,
iolar-ventures,Iolar Ventures,Nimble,Nimble,,yes,verified,med,https://iolar.vc/,apital.' Allocator: equity into early-stage software. Strict self_id (camel-VC). Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV,no explicit exit timing stated — band Nimble retained on capital-efficiency/small-outcome evidence; HQ from third-party Crunchbase,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://iolar.vc/,United States,yes,"Describes itself as 'an artisanal venture capital firm' investing $1-3M initially in early-stage information technology companies (mobile- and cloud-delivered software), purposefully keeping funds small and targeting companies that require $10M or less in total venture capital.",,
kickstart,Kickstart,Nimble,Unknown,,yes,provenance,med,https://kickstart.com/,,"needs_review: no non-unicorn/anti-power-law thesis on site — gate false-positive candidate, proposed Excluded-Traditional; sector-generalist (SaaS emphasis but portfolio spans healthcare/media) | owner-ruling 2026-07-03: KEEP Nimble (Excluded-Traditional proposal rejected)",Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://kickstart.com/about,United States,yes,"Describes itself as the Mountain West's first seed fund, leading pre-seed/seed and occasional Series A rounds, underwriting 'elite founders wherever they are building' across the innovation stack with a regional Utah/Colorado/Mountain West focus.",,
startup-ignition-ventures,Startup Ignition Ventures,SMV,Unknown,,yes,verified,med,https://www.startupignition.com/ventures/,,elephant metaphor is a startup metaphor not a fund class (Ethan 2026-06-07); no stated liquidity horizon — SMV timing dimension unverified; also operates a bootcamp and software toolsuite alongside the fund,2026-06-06 operator-directed: upgraded to self_id (on-page Elephants-not-Unicorns) + reclassified Nimble->SMV per Ethan ($250-500M acquisition outcomes). Page says 'capital-efficient' (why prior Nimbl | audited 2026-07-02: https://www.startupignition.com/ventures/,United States,yes,"Describes itself as a pre-seed fund ($20M Fund I, $100K-$1M checks, Software & AI, 23+ portfolio companies) backing founders with real customer signal and disciplined execution, positioned as 'Elephants, Not Unicorns' against VCs that chase unicorns.",,
sts-ventures,STS Ventures,Nimble,Nimble,,yes,in_disguise,low,https://sts-ventures.de/about,"chieve capital-efficient, sustainable growth. IN-DISGUISE (Tier 2, S1 camel branding + S2 capital-efficiency preference). Hand-verified on E",needs_review: thin thesis evidence — only revenue/cost-discipline language; Nimble class and band retained but unconfirmed,2026-06-06 re-grounded: S3 verbatim confirmed on /about 'we seek for teams who generate revenues while managing their cost structure'. | audited 2026-07-02: https://sts-ventures.de/about,Germany,yes,"Describes itself as investing €200k-€1m initially (up to €5m total per company) in exceptional teams in the DACH region, preferring to be among the first investors and seeking teams that generate revenues while managing their cost structure; references 'disruptive internet companies'.",,
tinyseed,TinySeed,Nimble,Nimble,,yes,anchor,high,https://tinyseed.com/,"TinySeed Fund 1 Returns Over 100% of Capital in 6 Years, With Most of the Upside Still to Come","remote-first — US HQ via third-party LinkedIn; capital-deploying accelerator (allocator, YouLend-style double-check passed); 6-year figure is realized Fund 1 performance, not a stated target horizon",Micro/capital-efficient accelerator-fund (equity); could be SMV | audited 2026-07-02: https://tinyseed.com/,United States,yes,"Describes itself as the first B2B SaaS accelerator for ambitious bootstrapped founders, offering 'the perfect amount of funding' without the pressure to build a unicorn, positioned as 'SaaS Investing Without the Unicorn-or-Bust Playbook' delivering 'Venture Returns with Less Than Venture Risk'.",,
upsidedown-vc,UpsideDown VC,Nimble,Nimble,5,yes,in_disguise,med,https://www.upsidedown.vc/,the Future Earnings Agreement is considered repaid when the founder has paid back 1.5 times the amount of funding taken from the Investor within 5 years,"needs_review: CFEA is part income-share agreement — borders the revenue-based-lender Under Review rule but retains equity conversion/upside so kept Nimble pending owner call; tech focus not explicit (sector-agnostic early-stage, portfolio appears tech-enabled)",2026-06-06 re-grounded (workflow agent was cost-hook-halted; recovered inline): anti-unicorn-model + S3 verbatim 'unicorn growth model. But there are plenty of phenomenal businesses ... who do not fit | audited 2026-07-02: https://www.upsidedown.vc/,United Kingdom,yes,"Describes itself as backing ambitious founders at the Friends & Family-to-Seed stage 'without throwing 99% of our bets to the wind', using equity plus 'beatable debt' (Convertible Future Earnings Agreement) so founders can retain 100% ownership and pursue either venture-scale growth or a profitable smaller business.",https://upsidedownvc.substack.com/p/cfea-q-and-a,official Substack
capacity-capital,Capacity Capital,Under Review,Nimble,,yes,in_disguise,med,https://www.capacity.is/,"not find detail. Per F4.fund third-party profile: Chattanooga solo-GP revenue-based fund (Jonathan Bragdon), Indie.vc-inspired redeemable eq",owner-ruling 2026-07-03: Under Review (RBF repayment-return question; impact signals noted); website updated to capacity.is,"2026-06-06 re-grounded: UNVERIFIABLE (own page returns empty body, confirmed 2x). No on-page signal. Recommend remove or browser-verify. | audited 2026-07-02: https://www.capacity.is/",United States,yes,"Describes itself as 'Backing obsessed founders creating high-growth, cash-efficient ventures' with early-stage risk capital biased to the Southeast US, highlighting that 64% of its portfolio companies are led by women, founders of color, or veterans and that targets are high-margin with line-of-sight to break-even in 12-18 months.",,
alexandria-capital,Alexandria Capital,Permanent,Permanent,,yes,verified,high,https://alexcapital.co/,"We do not sell our companies after acquisition, as we hold businesses permanently.",needs_review: HQ country not stated on site; one web search inconclusive (name collision with unrelated wealth-management firms also named Alexandria Capital).,audited 2026-07-02: https://alexcapital.co/,Unknown,yes,"Describes itself as a buy-and-hold acquirer of industry-specific B2B software businesses, positioning around 'Long Term Capital' and a 'permanent home for your company' with no reselling after acquisition.",,
banyan-software,Banyan Software,Permanent,Permanent,,yes,verified,high,https://www.banyansoftware.com/about,We don't resell your business down the road,,audited 2026-07-02: https://www.banyansoftware.com/about,United States,yes,"Describes itself as 'the best possible permanent home in the world for successful software companies,' buying and holding enterprise software businesses and growing them for life, with no need or desire to sell down the road.",,
based-holdco,Based,Permanent,Permanent,,yes,verified,med,https://www.basedinc.com/,"tural-permanence broadening per user; mechanism=long-term holding co, buy-and-hold enduring companies] Hand-verified on Exa raw markdown of",No explicit permanent/never-sell or exit-timeline language on page ('long-term holding company' only). HQ not stated on site and one web search inconclusive (possible name collision with basedlimited.com).,audited 2026-07-02: https://www.basedinc.com/,Unknown,yes,"Describes itself as a long-term holding company partnering with entrepreneurial leaders to build, acquire, and grow enduring companies, focusing on owner-led businesses with scalable software in SaaS, Service-as-Software, FinTech, InsurTech, or open-source ecosystems, typically acquiring a controlling stake.",,
big-band-software,Big Band Software,Permanent,Permanent,,yes,verified,med,https://www.bigbandsoftware.com/,"Unlike the private equity model, we buy companies we want to run long term.","Band updated Unknown->Permanent on page evidence. No explicit never-sell/forever language; homepage references investment partners (ParkerGale, Talisman Capital, Dan Martell) as backers.",audited 2026-07-02: https://www.bigbandsoftware.com/,United States,yes,"Describes itself as harmonizing 'capital, culture and teams to buy and grow SaaS companies,' targeting growing, profitable B2B SaaS businesses with $1M-$10M ARR that it wants to run long term, explicitly unlike the private equity model.",,
calm-capital,Calm Capital,Permanent,Permanent,,yes,verified,med,https://www.calmcapital.com/,"Long-term holders, not short-term operators.","Page also says 'All ownership is temporary. Leave it better than you acquired it.' — philosophical tension with long-term-holder framing; no explicit hold horizon stated. Country from third-party chamber listing, not stated on site.",audited 2026-07-02: https://www.calmcapital.com/,United States,yes,"Describes itself as 'a private partnership. Long-term holders, not short-term operators. Not PE. Not venture. Not a search fund. Something different.' that buys and grows essential businesses from founders, looking for owner-operated software and services businesses with durable client relationships.",,
concepts-io,Concepts.io,Permanent,Permanent,,yes,verified,high,https://concepts.io/,We acquire with the intent to hold indefinitely. We are not building a portfolio to flip.,"Also launches internal ventures (studio-like activity) alongside acquisitions, but primary self-description is hold-indefinitely holdco — Permanent stands. Small/young portfolio footprint (several 2026 acquisitions) lowers footprint confidence, not classification.",audited 2026-07-02: https://concepts.io/,United States,yes,"Describes itself as a holding company that 'acquires and operates profitable businesses across software, services, and infrastructure,' built to operate indefinitely and profitably without dependency on favorable markets; it both acquires external businesses and launches internal ventures.",,
croissant,Croissant,Permanent,Permanent,,yes,verified,high,https://croissant.today/,"We buy, optimize, and hold. Forever.","Name collision: croissant.com (US 'guaranteed resale' fintech that raised $28M, Feb 2026) is a DIFFERENT company — do not merge records. Remote-first European operation with no single stated HQ.",audited 2026-07-02: https://croissant.today/,Unknown,yes,"Describes itself as acquiring European B2B SaaS companies and operating them for the long term — 'We buy, optimize, and hold. Forever.' and 'We're not here to flip.' — targeting companies with recurring revenue and a working product.",,
curious,Curious (Curious Holdings),Permanent,Permanent,,yes,verified,high,https://www.curiousholdings.com/,"We're focused on legacy, resilience, and continuous reinvention, not raising additional funds or future exits.",Band updated Unknown->Permanent on page evidence. Own-site announcement of '$16M in Permanent Capital' corroborates allocator status.,audited 2026-07-02: https://www.curiousholdings.com/,United States,yes,"Describes itself as 'a long-term holding company that buys and grows software companies with empathy,' acquiring and building software businesses through permanent capital in the frame of decades, targeting software companies in the $1M-$5M revenue range and paying cash within 60 days.",,
define-capital,Define Capital,Permanent,Permanent,,yes,verified,high,https://definecapital.ca/,"We hold forever. No reselling - Your team, name, and structure stay intact.",,audited 2026-07-02: https://definecapital.ca/,Canada,yes,"Presents itself as a 'Permanent Home for Exceptional Software Companies' — 'operators, buyers, and long-term stewards' acquiring founder-led B2B software and tech-enabled businesses in North America, holding forever with no reselling.",,
emikoly,Emikoly,Excluded-Traditional,Unknown,,no,verified,low,https://emikoly.com/,,"needs_review: emikoly.com returned HTTP 403 on homepage and /about (likely bot protection) — class, allocator status, and tech_enabled all unverified this session; one web search returned only unrelated firms (EMK Capital / EMKO Capital), no third-party profile found. PARKED: non-active class (Excluded-Traditional). allocator=true and tech_enabled=false are carried-over placeholders, not evidence-backed.",Traditional/real-economy: acquires operating businesses and real assets / infrastructure services. Own page 2026-06-03: ,Unknown,yes,Site inaccessible this session (HTTP 403 on homepage and /about); no self-description could be captured.,,
enduring-ventures,Enduring Ventures,Permanent,Permanent,,yes,verified,high,https://www.enduring.ventures/about,we're under no mandate to sell your business in 3-5 years,"multi-sector holdco (software is one vertical among Consumer, Technology, Retail, Industrial, Business Services) — tech_enabled true but not tech-exclusive",audited 2026-07-02: https://www.enduring.ventures/about,United States,yes,"Describes itself as a long-term holding company buying and building 'beautiful businesses' as control cash-flow buyers (51%-100%) across Consumer, Technology, Retail, Industrial, and Business Services — 25+ businesses held with an intent to 'last forever'.",,
everfield,Everfield,Permanent,Permanent,,yes,verified,high,https://everfield.com/,We don't want to disrupt your progress by selling your business at any point in the future.,,audited 2026-07-02: https://everfield.com/,United Kingdom,yes,"Describes itself as a dedicated long-term investor and growth accelerator for mission-critical software companies, operating an ecosystem of acquired European software businesses (Ecologic, Rhebo, Amero, 1Check, HeapsGo) it does not intend to sell.",,
evergreen-ftg,Evergreen Financial Technology Group,Permanent,Permanent,,yes,verified,high,https://evergreenftg.com/,EFTG believes in the value of permanence. EFTG's parent company Evergreen Services Group has acquired over 60 companies and sold zero.,"division of Evergreen Services Group — parent entity evergreen-services-group is also in the atlas (parent/subsidiary overlap; consider dedup or explicit parent-child link); permanence quote sourced from third-party press release, own-site language is 'long-term horizon'",audited 2026-07-02: https://evergreenftg.com/,United States,yes,"Describes itself as 'A Long-term home for great software businesses that serve financial institutions' (400+ institutions, 5.2M members/clients), built by serial acquisition (Bradford-Scott, Sharetec resellers, Lodestar, Global Wave, Infonancial).",,
evergreen-services-group,Evergreen Services Group,Permanent,Permanent,,yes,verified,high,https://www.evergreensg.com/,A Permanent Home for Businesses,backed by committed capital from Alpine Investors (a PE sponsor) — permanence claim rests on sponsor structure; subsidiary EFTG (evergreen-ftg) also in atlas (parent/subsidiary overlap),audited 2026-07-02: https://www.evergreensg.com/,United States,yes,"Positions itself as 'A Permanent Home for Businesses' and a permanent owner buying 100% of technology services companies (managed IT services, government IT services, application software partners), backed by committed capital from Alpine Investors.",,
everhold,Everhold,Permanent,Permanent,,partial,verified,med,https://www.everhold.com/,Everhold to acquire and grow exceptional small businesses—without ever selling them,"needs_review: no completed acquisitions yet ('now evaluating its first acquisition targets in vertical SaaS') — footprint caveat lowers confidence but does not disqualify; DE address is a PMB (mailbox), not an operating office; mixed target set (service providers + vertical SaaS) matches intake tech_enabled='partial'", | 2026-06-17 flagged-pending->partial (operator-confirmed Permanent; still pre-deal/low-conf). | audited 2026-07-02: https://www.everhold.com/,United States,yes,Describes itself as a long-term holding company with the philosophy 'Buy great businesses. Hold them forever. Grow responsibly.' — targeting B2B service providers and vertical SaaS platforms with the stability of permanent capital and freedom to operate without pressure to exit.,,
evermore-ventures,Evermore,Permanent,Permanent,,yes,verified,high,https://evermore-ventures.com/,We buy founder-led software companies and grow them forever.,"band updated Unknown -> Permanent based on 'grow them forever' language; HQ city conflicts across third-party profiles (Oceanside vs San Marcos, CA — both United States); /about returned 404, evidence from homepage only",audited 2026-07-02: https://evermore-ventures.com/,United States,yes,"Describes itself simply as buying founder-led software companies and growing them forever, contrasting its 'Large equity financing' with private equity's 'Debt-heavy financing' and planning 'for decades ahead' with a people-first approach.",,
everroost,Everroost,Permanent,Permanent,,yes,verified,high,https://everroost.com/,"We buy to keep. Every acquisition gets ongoing investment, active development, and years of dedicated care.",band updated Unknown -> Permanent based on 'buy to keep' / long-term stewardship language,audited 2026-07-02: https://everroost.com/,United States,yes,"Describes itself as acquiring apps and SaaS companies from founders who care about what they've built, with 'buy to keep' long-term stewardship: 'We don't strip and flip — we invest, improve, and operate for the long term.'",,
evigrow-software,EviGrow Software,Permanent,Permanent,,yes,verified,high,https://www.evigrowsoftware.com/about,"We never intend to sell a company once it has joined our group. Instead, we build lasting partnerships based on trust, respect and shared success.",band updated Unknown -> Permanent based on explicit never-sell language,audited 2026-07-02: https://www.evigrowsoftware.com/about,Sweden,yes,"Describes itself as 'a lifetime investor in the European vertical-market software (VMS) space' that buys great companies and gives them a permanent home, aiming to assemble Europe's finest portfolio of small- and mid-sized software businesses.",,
exa-capital,Exa Capital,Permanent,Permanent,,yes,verified,high,https://exacapital.co/our-private-equity-acquisition-approach/,"Without pressure to sell portfolio companies, we make decisions that build value over decades",HQ ambiguous: three offices listed (US/Canada/New Zealand) with no explicit HQ designation; US listed first,audited 2026-07-02: https://exacapital.co/our-private-equity-acquisition-approach/,United States,yes,"Describes itself as a permanent capital investor that acquires established enterprise software companies with the intention to hold them indefinitely, providing operational support while preserving founder legacies and company autonomy.",,
flying-founders,Flying Founders,Permanent,Permanent,,yes,verified,high,https://www.flyingfounders.com/,"We hold long-term and grow profitably. There's no fund clock ticking, no LP forcing an exit.","needs_review: HQ country inferred from third-party CEE ecosystem profiles (Slovak founders, Czech/Slovak market focus) - legal domicile not stated on own site",audited 2026-07-02: https://www.flyingfounders.com/,Slovakia,yes,"Positions itself as operator-led sustainable capital for bootstrapped SaaS founders, providing EUR 100k-500k investments with hands-on support and zero pressure to raise again or sell, founded by former SaaS entrepreneurs rather than career investors.",,
gsg-genii,GSG GENII,Permanent,Permanent,,yes,verified,high,https://gsg-genii.com/en/,We do not buy to sell on - and we do not build for the exit.,liquidity_band updated Unknown -> Permanent per explicit no-exit language,audited 2026-07-02: https://gsg-genii.com/en/,Germany,yes,"Describes itself as 'the permanent home of hidden software champions', investing permanent capital in leading European industry-specific software providers with mission-critical, deeply embedded solutions and no exit-driven mandate.",,
heqs-investments,HEQS Investments,Permanent,Permanent,,yes,verified,high,https://www.heqs.com.au/investments,"we invest from our own balance sheet, not a fund with a five-year clock. There is no exit window","needs_review: tech_enabled mismatch - current record says yes, but site targets consumer goods/distribution/light manufacturing/services (IT is only one adjacency arm); likely fails tech-enabled admission filter even though Permanent class is well-evidenced | tech_enabled disagreement: csv=yes audit=no",audited 2026-07-02: https://www.heqs.com.au/investments,Australia,yes,"Describes itself as an operator (not fund manager) acquiring established Australian businesses in consumer goods, distribution, light manufacturing and services ($5M-$30M revenue) for permanent decentralized ownership rather than fund-timeline flipping.",,
