entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes,moved_reason
axial,Axial,Ecosystem/Infrastructure,Search/ETA;Instrument,deal network,https://www.axial.net/,active,public_web,United States,lower middle market,private deal network,marketplace,"lower middle market buyers, sellers, and advisors",candidate supports industry mapping outside or adjacent to classic unicorn VC,deal marketplace,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
bitsfordigits,BitsForDigits,Ecosystem/Infrastructure,Search/ETA,acquisition marketplace,https://bitsfordigits.com/,active,public_web,Global,internet businesses,partial/full acquisition marketplace,marketplace,internet business owners and buyers,candidate supports industry mapping outside or adjacent to classic unicorn VC,acquisition marketplace,72,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
microns,Microns,Ecosystem/Infrastructure,SMV,micro-startup marketplace,https://www.microns.io/,active,public_web,Global,micro-startups,micro-startup acquisition marketplace,marketplace,micro-startup buyers and sellers,candidate supports industry mapping outside or adjacent to classic unicorn VC,acquisition marketplace,70,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
zebras-unite,Zebras Unite,Ecosystem/Infrastructure,Camel Modifier,community/cooperative,https://www.zebrasunite.org/,active,public_web,Global,zebra companies,movement and capital ecosystem,community,founders building for profit and purpose,candidate supports industry mapping outside or adjacent to classic unicorn VC,community and discourse node,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
ai-grant,AI Grant,Ecosystem/Infrastructure,UVC,grant/fund,https://aigrant.org/,active,public_web,Global,AI startups,AI startup grants and investment,grants;equity,AI founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,grant and capital program,72,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
indie-hackers,Indie Hackers,Ecosystem/Infrastructure,Camel Modifier,community,https://www.indiehackers.com/,active,public_web,Global,indie startups,founder community and discourse,community,independent internet founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,community and discourse node,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
eta-london,ETA London,Ecosystem/Infrastructure,Unknown Candidate,software acquisition firm,https://acquisition-entrepreneurs.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,software acquisition firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquisition firm,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
founders-first-cdc,Founders First CDC,Ecosystem/Infrastructure,Unknown Candidate,capital provider / fund / acquirer / platform,https://foundersfirstcdc.org,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
faith-driven-investor,Faith Driven Investor,Ecosystem/Infrastructure,Unknown Candidate,faith-based investor community,https://faithdriveninvestor.org/,active,public_web,Unknown,Unknown,Unknown,unknown,faith-based investor community,candidate supports industry mapping outside or adjacent to classic unicorn VC,faith-based investor community,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
codelaunch,CodeLaunch,Ecosystem/Infrastructure,Unknown Candidate,regional pre-seed accelerator,https://codelaunch.com/,active,public_web,Unknown,Unknown,Unknown,unknown,regional pre-seed accelerator,candidate supports industry mapping outside or adjacent to classic unicorn VC,regional pre-seed accelerator,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
elobau,Elobau,Ecosystem/Infrastructure,Unknown Candidate,steward-owned operating company,https://www.elobau.com/,active,public_web,Unknown,Unknown,Unknown,unknown,steward-owned operating company,candidate supports industry mapping outside or adjacent to classic unicorn VC,steward-owned operating company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
foundry,Foundry,Ecosystem/Infrastructure,Unknown Candidate,venture studio / startup studio / software holding company,https://hbsfoundry.org,unknown,public_web,Unknown,Unknown,Unknown,unknown,venture studio / startup studio / software holding company,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio / startup studio / software holding company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
halcyon-incubator,Halcyon Incubator,Ecosystem/Infrastructure,Unknown Candidate,social entrepreneur fellowship,https://halcyonincubator.org/,active,public_web,Unknown,Unknown,Unknown,unknown,social entrepreneur fellowship,candidate supports industry mapping outside or adjacent to classic unicorn VC,social entrepreneur fellowship,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
mahle,Mahle,Ecosystem/Infrastructure,Unknown Candidate,steward-owned automotive supplier,https://www.mahle.com/,active,public_web,Unknown,Unknown,Unknown,unknown,steward-owned automotive supplier,candidate supports industry mapping outside or adjacent to classic unicorn VC,steward-owned automotive supplier,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
perpetual-wealth-ag,Perpetual Wealth AG,Ecosystem/Infrastructure,Unknown Candidate,patient capital provider / evergreen fund / holding company,https://perpetual-wealth.ch,unknown,public_web,Unknown,Unknown,Unknown,unknown,patient capital provider / evergreen fund / holding company,candidate supports industry mapping outside or adjacent to classic unicorn VC,patient capital provider / evergreen fund / holding company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
qubit-capital,Qubit Capital,Ecosystem/Infrastructure,Unknown Candidate,alternative startup capital advisor,https://qubit.capital/,active,public_web,Unknown,Unknown,Unknown,unknown,alternative startup capital advisor,candidate supports industry mapping outside or adjacent to classic unicorn VC,alternative startup capital advisor,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
theanna,Theanna,Ecosystem/Infrastructure,Unknown Candidate,equity-free accelerator platform,https://theanna.io/,active,public_web,Unknown,Unknown,Unknown,unknown,equity-free accelerator platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,equity-free accelerator platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
the-giin,The GIIN,Ecosystem/Infrastructure,Unknown Candidate,Global Impact Investing Network,https://thegiin.org/,active,public_web,Unknown,Unknown,Unknown,unknown,Global Impact Investing Network,candidate supports industry mapping outside or adjacent to classic unicorn VC,Global Impact Investing Network,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
vc-lab,VC Lab,Ecosystem/Infrastructure,Unknown Candidate,capital provider / fund / acquirer / platform,https://govclab.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
consensys,Consensys,Ecosystem/Infrastructure,Unknown Candidate,venture studio / startup studio / software holding company,https://consensys.io,unknown,public_web,Unknown,Unknown,Unknown,unknown,venture studio / startup studio / software holding company,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio / startup studio / software holding company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
lightship-bootcamp,Lightship Bootcamp,Ecosystem/Infrastructure,Unknown Candidate,capital provider / fund / acquirer / platform,https://www.lightship.foundation/bootcamp,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
fundwell,Fundwell,Ecosystem/Infrastructure,Unknown Candidate,capital provider / fund / acquirer / platform,https://www.fundwell.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
pacific-dental-services,Pacific Dental Services,Ecosystem/Infrastructure,Unknown Candidate,national dental services platform,https://www.pacificdentalservices.com/,active,public_web,Unknown,Unknown,Unknown,unknown,national dental services platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,national dental services platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
the-independent-sponsor-model-or-fundless-sponsor-model,The Independent Sponsor Model or Fundless Sponsor Model,Ecosystem/Infrastructure,Unknown Candidate,search fund investor / ETA platform / acquisition community,https://www.fundlesssponsorcapital.com/the-independent-sponsor-model,unknown,public_web,Unknown,Unknown,Unknown,unknown,search fund investor / ETA platform / acquisition community,candidate supports industry mapping outside or adjacent to classic unicorn VC,search fund investor / ETA platform / acquisition community,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
mars-inc,Mars Inc,Ecosystem/Infrastructure,Unknown Candidate,private family-owned operator,https://www.mars.com/,active,public_web,Unknown,Unknown,Unknown,unknown,private family-owned operator,candidate supports industry mapping outside or adjacent to classic unicorn VC,private family-owned operator,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
munger-tolles-olson-trust,Munger Tolles & Olson Trust,Ecosystem/Infrastructure,Unknown Candidate,trust company,https://www.mto.com/,active,public_web,Unknown,Unknown,Unknown,unknown,trust company,candidate supports industry mapping outside or adjacent to classic unicorn VC,trust company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
vulcan-inc,Vulcan Inc,Ecosystem/Infrastructure,Unknown Candidate,Paul Allen family office,https://www.vulcan.com/,active,public_web,Unknown,Unknown,Unknown,unknown,Paul Allen family office,candidate supports industry mapping outside or adjacent to classic unicorn VC,Paul Allen family office,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
angellist-rolling-funds,AngelList Rolling Funds,Ecosystem/Infrastructure,Unknown Candidate,subscription venture funds,https://www.angellist.com/rolling-funds,active,public_web,Unknown,Unknown,Unknown,unknown,subscription venture funds,candidate supports industry mapping outside or adjacent to classic unicorn VC,subscription venture funds,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
gates-cambridge-trust,Gates Cambridge Trust,Ecosystem/Infrastructure,Unknown Candidate,perpetual scholarship trust,https://www.gatescambridge.org/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual scholarship trust,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual scholarship trust,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
hampton-fund,Hampton Fund,Ecosystem/Infrastructure,Unknown Candidate,founder community + fund,https://www.joinhampton.com/,active,public_web,Unknown,Unknown,Unknown,unknown,founder community + fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,founder community + fund,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
hewlett-foundation,Hewlett Foundation,Ecosystem/Infrastructure,Unknown Candidate,perpetual charitable foundation,https://hewlett.org/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual charitable foundation,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual charitable foundation,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
praxis-labs,Praxis Labs,Ecosystem/Infrastructure,Unknown Candidate,faith-driven accelerator,https://www.praxislabs.org/,active,public_web,Unknown,Unknown,Unknown,unknown,faith-driven accelerator,candidate supports industry mapping outside or adjacent to classic unicorn VC,faith-driven accelerator,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
toniic,Toniic,Ecosystem/Infrastructure,Unknown Candidate,impact investor network,https://www.toniic.com/,active,public_web,Unknown,Unknown,Unknown,unknown,impact investor network,candidate supports industry mapping outside or adjacent to classic unicorn VC,impact investor network,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
eot-advisors,EOT Advisors,Ecosystem/Infrastructure,Unknown Candidate,employee ownership trust advisory / transition firm,https://eotadvisors.com/,active,public_web,Unknown,Unknown,Unknown,unknown,employee ownership trust advisory / transition firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,employee ownership trust advisory / transition firm,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
edge-city-inflection-grants,Edge City (Inflection Grants),Ecosystem/Infrastructure,Unknown Candidate,micro-grant and fellowship for young builders,https://www.edgecity.live/grants-fellowships,active,public_web,Unknown,Unknown,Unknown,unknown,micro-grant and fellowship for young builders,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro-grant and fellowship for young builders,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
foundersboost,FoundersBoost,Ecosystem/Infrastructure,Unknown Candidate,"no-equity, no-fee pre-accelerator",https://foundersboost.com/,active,public_web,Unknown,Unknown,Unknown,unknown,"no-equity, no-fee pre-accelerator",candidate supports industry mapping outside or adjacent to classic unicorn VC,"no-equity, no-fee pre-accelerator",62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
futaleufu-partners,Futaleufu Partners,Ecosystem/Infrastructure,Unknown Candidate,search fund investor,https://futaleufu-partners.com/,active,public_web,Unknown,Unknown,Unknown,unknown,search fund investor,candidate supports industry mapping outside or adjacent to classic unicorn VC,search fund investor,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
hahnbeck,Hahnbeck,Ecosystem/Infrastructure,Unknown Candidate,revenue-based financing advisor / arranger for e-commerce businesses,https://www.hahnbeck.com,active,public_web,Unknown,Unknown,Unknown,unknown,revenue-based financing advisor / arranger for e-commerce businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,revenue-based financing advisor / arranger for e-commerce businesses,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
on-deck-founder-fellowship-odf,On Deck Founder Fellowship (ODF),Ecosystem/Infrastructure,Unknown Candidate,no-equity founder fellowship and community,https://joinodf.com/,active,public_web,Unknown,Unknown,Unknown,unknown,no-equity founder fellowship and community,candidate supports industry mapping outside or adjacent to classic unicorn VC,no-equity founder fellowship and community,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
purpose-purpose-foundation-purpose-us,Purpose (Purpose Foundation / Purpose US),Ecosystem/Infrastructure,Unknown Candidate,steward-ownership transition advisor,https://www.purpose-us.com/,active,public_web,Unknown,Unknown,Unknown,unknown,steward-ownership transition advisor,candidate supports industry mapping outside or adjacent to classic unicorn VC,steward-ownership transition advisor,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
purpose-owned,Purpose Owned,Ecosystem/Infrastructure,Unknown Candidate,perpetual purpose trust / steward-ownership advisor,https://www.purposeowned.com/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual purpose trust / steward-ownership advisor,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual purpose trust / steward-ownership advisor,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
roux-institute-founder-residency,Roux Institute Founder Residency,Ecosystem/Infrastructure,Unknown Candidate,"university founder residency, no equity",https://roux.northeastern.edu/entrepreneurship/founder-residency/,active,public_web,Unknown,Unknown,Unknown,unknown,"university founder residency, no equity",candidate supports industry mapping outside or adjacent to classic unicorn VC,"university founder residency, no equity",62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
startx,StartX,Ecosystem/Infrastructure,Unknown Candidate,equity-free founder community and fellowship,https://web.startx.com/,active,public_web,Unknown,Unknown,Unknown,unknown,equity-free founder community and fellowship,candidate supports industry mapping outside or adjacent to classic unicorn VC,equity-free founder community and fellowship,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
catalytic-climate-finance-facility-cc-facility,Catalytic Climate Finance Facility (CC Facility),Ecosystem/Infrastructure,Unknown Candidate,blended climate-finance acceleration facility,https://www.ccfacility.org/,active,public_web,Unknown,Unknown,Unknown,unknown,blended climate-finance acceleration facility,candidate supports industry mapping outside or adjacent to classic unicorn VC,blended climate-finance acceleration facility,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
co-op-cincy,Co-op Cincy,Ecosystem/Infrastructure,Unknown Candidate,worker-ownership incubator with Business Legacy Fund,https://coopcincy.org/,active,public_web,Unknown,Unknown,Unknown,unknown,worker-ownership incubator with Business Legacy Fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,worker-ownership incubator with Business Legacy Fund,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
convergence,Convergence,Ecosystem/Infrastructure,Unknown Candidate,blended-finance network,https://www.convergence.finance/,active,public_web,Unknown,Unknown,Unknown,unknown,blended-finance network,candidate supports industry mapping outside or adjacent to classic unicorn VC,blended-finance network,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
iconbusinessadvisors,Iconbusinessadvisors,Ecosystem/Infrastructure,Unknown Candidate,search fund investor / ETA platform / acquisition community,https://iconbusinessadvisors.com/esop-exit-strategy,unknown,public_web,Unknown,Unknown,Unknown,unknown,search fund investor / ETA platform / acquisition community,candidate supports industry mapping outside or adjacent to classic unicorn VC,search fund investor / ETA platform / acquisition community,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
newlab-founder-fellowship,Newlab Founder Fellowship,Ecosystem/Infrastructure,Unknown Candidate,deep-tech founder fellowship,https://www.newlab.com,active,public_web,Unknown,Unknown,Unknown,unknown,deep-tech founder fellowship,candidate supports industry mapping outside or adjacent to classic unicorn VC,deep-tech founder fellowship,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
ownerbridge,OwnerBridge,Ecosystem/Infrastructure,Unknown Candidate,search-fund / SME succession platform (Europe),https://ownerbridge.eu/,active,public_web,Unknown,Unknown,Unknown,unknown,search-fund / SME succession platform (Europe),candidate supports industry mapping outside or adjacent to classic unicorn VC,search-fund / SME succession platform (Europe),62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
