entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes
five-elms-capital,Five Elms Capital,SMV,Portfolio Capital,software growth equity firm,https://www.fiveelms.com/,active,public_web,United States / Global,B2B software,growth capital and founder liquidity for founder-owned software businesses,growth_equity;founder_liquidity,founder-owned B2B software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
elsewhere-partners,Elsewhere Partners,SMV,Portfolio Capital,lower middle-market software investor,https://elsewhere.partners/,active,public_web,United States / Global,B2B software,lower middle-market software private equity for bootstrapped or lightly capitalized companies,growth_equity;majority_recap,bootstrapped or lightly capitalized software companies outside traditional capital hubs,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV software investor,85,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
sunstone-partners,Sunstone Partners,SMV,Portfolio Capital,growth private equity firm,https://sunstonepartners.com/,active,public_web,United States,software / tech-enabled services,majority and minority investments in capital-efficient technology companies,growth_equity;majority_equity;minority_equity,technology-enabled services and software businesses with capital-efficient histories,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
expedition-growth-capital,Expedition Growth Capital,SMV,Portfolio Capital,software growth equity firm,https://expedition.capital/,active,public_web,United Kingdom / Europe,software,growth equity for ambitious bootstrapped software companies,growth_equity,bootstrapped software companies seeking growth capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
silversmith-capital-partners,Silversmith Capital Partners,SMV,Portfolio Capital,growth equity firm,https://www.silversmith.com/,active,public_web,United States,technology and healthcare,growth equity for profitable founder-led companies,growth_equity,profitable founder-led technology and healthcare companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
level-equity,Level Equity,SMV,Portfolio Capital,growth equity firm,https://www.levelequity.com/,active,public_web,United States,software / technology-enabled businesses,lower middle-market growth equity for capital-efficient technology businesses,growth_equity,capital-efficient software and technology-enabled businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,81,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
sureswift-capital,SureSwift Capital,Portfolio Capital,SMV;Patient Capital,SaaS holding company,https://www.sureswiftcapital.com/,active,public_web,Canada / United States,bootstrapped SaaS,acquire and operate SaaS businesses,acquisition_capital,bootstrapped SaaS founders seeking exits,candidate supports industry mapping outside or adjacent to classic unicorn VC,SaaS acquirer,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
tiny,Tiny,Portfolio Capital,SMV;Patient Capital,holding company,https://www.tiny.com/,active,public_web,Canada / Global,internet businesses,holding company acquisition and operation,permanent_equity,internet business founders and sellers,candidate supports industry mapping outside or adjacent to classic unicorn VC,holding company,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
constellation-software,Constellation Software,Portfolio Capital,SMV;Patient Capital,software holding company,https://www.csisoftware.com/,active,public_web,Canada / Global,vertical market software,acquire and hold vertical market software,permanent_equity;acquisition_capital,vertical market software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,93,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
volaris-group,Volaris Group,Portfolio Capital,SMV,software acquirer,https://www.volarisgroup.com/,active,public_web,Global,vertical market software,acquire and strengthen software businesses,acquisition_capital,software companies in vertical markets,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,91,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
valsoft,Valsoft,Portfolio Capital,SMV;Patient Capital,software holding company,https://www.valsoftcorp.com/,active,public_web,Canada / Global,vertical software,buy and hold software businesses,permanent_equity,vertical software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,90,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
banyan-software,Banyan Software,Portfolio Capital,SMV;Patient Capital,software holding company,https://www.banyansoftware.com/,active,public_web,United States,enterprise software,permanent home for software businesses,permanent_equity,software founders seeking long-term home,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,90,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
saas-group,saas.group,Portfolio Capital,SMV,SaaS holding company,https://saas.group/,active,public_web,Germany / Global,SaaS,acquire and grow SaaS companies,acquisition_capital,SaaS founders seeking exits,candidate supports industry mapping outside or adjacent to classic unicorn VC,SaaS acquirer,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
everfield,Everfield,Portfolio Capital,SMV,software acquirer,https://everfield.com/,active,public_web,Europe,B2B software,acquire and grow B2B software companies,acquisition_capital,European B2B software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,85,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
lumine-group,Lumine Group,Portfolio Capital,SMV,software holding company,https://www.luminegroup.com/,active,public_web,Global,communications and media software,buy and hold vertical software businesses,permanent_equity,communications and media software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
topicus,Topicus,Portfolio Capital,SMV,software holding company,https://www.topicus.com/,active,public_web,Europe,vertical software,software acquisition and operation,acquisition_capital,vertical software businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
aspire-software,Aspire Software,Portfolio Capital,SMV,software operating group,https://www.aspiresoftware.com/,active,public_web,Global,software,acquire and operate software businesses,acquisition_capital,software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software operating group,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
jonas-software,Jonas Software,Portfolio Capital,SMV,software operating group,https://www.jonassoftware.com/,active,public_web,Global,vertical software,acquire and operate software companies,acquisition_capital,vertical market software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software operating group,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
harris-computer,Harris Computer,Portfolio Capital,SMV,software operating group,https://www.harriscomputer.com/,active,public_web,Global,vertical software,acquire and operate software companies,acquisition_capital,vertical market software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software operating group,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
perseus-group,Perseus Group,Portfolio Capital,SMV,software operating group,https://www.csiperseus.com/,active,public_web,Global,software,acquire and operate software companies,acquisition_capital,software businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,software operating group,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
esw-capital,ESW Capital,Portfolio Capital,SMV,software acquirer,https://www.eswcapital.com/,active,public_web,United States / Global,enterprise software,acquire and operate software companies,acquisition_capital,software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
alpine-software-group,Alpine Software Group,Portfolio Capital,SMV,software holding company,https://www.alpinesg.com/,active,public_web,United States,vertical SaaS,buy and build software businesses,acquisition_capital,vertical SaaS companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
scaleworks,Scaleworks,Portfolio Capital,SMV,venture equity / operator,https://scaleworks.com/,active,public_web,United States,B2B SaaS,acquire and operate B2B SaaS companies,acquisition_capital,B2B SaaS companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,operator-investor,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
greater-sum-ventures,Greater Sum Ventures,Portfolio Capital,SMV,growth equity / acquirer,https://greatersumventures.com/,active,public_web,United States,business software,invest in and scale business software,growth_equity,business software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software investor,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
arcadea-group,Arcadea Group,Portfolio Capital,SMV;Patient Capital,software acquirer,https://www.arcadeagroup.com/,active,public_web,Canada / Global,B2B software,long-duration software acquisition,permanent_equity,software founders seeking permanent capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
tag-software-group,TAG Software Group,Portfolio Capital,SMV;Patient Capital,software acquirer,https://www.tagsoftwaregroup.com/,active,public_web,Global,mission-critical software,permanent home for software businesses,permanent_equity,mission-critical software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
vertus-group,Vertus Group,Portfolio Capital,SMV,software acquirer,https://www.vertusgroup.com/,active,public_web,Europe,software,acquire and develop software companies,acquisition_capital,software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
software-circle,Software Circle,Portfolio Capital,SMV,software acquirer,https://www.softwarecircle.com/,active,public_web,United Kingdom,software,software acquisition and operation,acquisition_capital,software businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
chapters-group,Chapters Group,Portfolio Capital,SMV,holding company,https://www.chaptersgroup.com/,active,public_web,Germany / Europe,software and digital businesses,acquisition holding company,acquisition_capital,small and medium software/digital businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,holding company,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
visma,Visma,Portfolio Capital,SMV,software company/acquirer,https://www.visma.com/,active,public_web,Europe,business software,software acquisition and operation,acquisition_capital,business software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquirer,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
main-capital-partners,Main Capital Partners,Portfolio Capital,SMV,software investor,https://main.nl/,active,public_web,Europe / United States,enterprise software,software private equity,growth_equity;acquisition_capital,software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,software investor,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
edbi,EDBI,Sovereign Capital,UVC,strategic investment arm,https://www.edbi.com/,active,public_web,Singapore / Global,strategic growth sectors,strategic government-linked investment,equity,high-growth technology companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,strategic investor,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
sginnovate,SGInnovate,Sovereign Capital,UVC,deep tech investor/ecosystem,https://www.sginnovate.com/,active,public_web,Singapore,deep tech,state-linked deep tech ecosystem capital,equity;ecosystem_capital,deep tech founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,public ecosystem investor,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
in-q-tel,In-Q-Tel,Sovereign Capital,UVC,strategic venture investor,https://www.iqt.org/,active,public_web,United States,national security technology,strategic venture capital,equity;strategic_capital,technology companies relevant to national security,candidate supports industry mapping outside or adjacent to classic unicorn VC,strategic investor,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
high-alpha,High Alpha,Venture Studio,UVC,venture studio,https://www.highalpha.com/,active,public_web,United States,B2B SaaS,venture studio and venture fund,studio_equity,B2B SaaS company formation,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
atomic,Atomic,Venture Studio,UVC,venture studio,https://atomic.vc/,active,public_web,United States,venture studio,company creation platform,studio_equity,founders building companies from studio concepts,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
expa,Expa,Venture Studio,UVC,startup studio/fund,https://www.expa.com/,active,public_web,United States / Global,startup creation,startup studio and early capital,studio_equity,founders building new startups,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
betaworks,Betaworks,Venture Studio,UVC,startup studio,https://betaworks.com/,active,public_web,United States,internet / media / AI,startup studio and investment,studio_equity,early internet and AI companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
hexa,Hexa,Venture Studio,UVC,startup studio,https://www.hexa.com/,active,public_web,France / Europe,startup studio,startup studio / company builder,studio_equity,founders joining studio-built companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
rocket-internet,Rocket Internet,Venture Studio,UVC,venture builder,https://www.rocket-internet.com/,active,public_web,Germany / Global,internet companies,venture builder,studio_equity,internet company formation,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture builder,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
idealab,Idealab,Venture Studio,UVC,startup studio,https://www.idealab.com/,active,public_web,United States,technology startups,startup studio,studio_equity,technology startup formation,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
pioneer-square-labs,Pioneer Square Labs,Venture Studio,UVC,startup studio,https://www.psl.com/,active,public_web,United States,technology startups,startup studio and venture fund,studio_equity,technology startup founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
science-inc,Science Inc.,Venture Studio,UVC,startup studio,https://www.science-inc.com/,active,public_web,United States,digital businesses,startup studio,studio_equity,digital company founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup studio,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
juxtapose,Juxtapose,Venture Studio,UVC,creation-oriented investment firm,https://www.juxtapose.com/,active,public_web,United States,company creation,company creation and investment,studio_equity,founders building new companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,company creation platform,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
founders-factory,Founders Factory,Venture Studio,UVC,venture studio/accelerator,https://foundersfactory.com/,active,public_web,United Kingdom / Global,startup creation,venture studio and accelerator,studio_equity,founders building with studio support,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
entrepreneur-first,Entrepreneur First,Venture Studio,UVC;LMV,talent investor,https://www.joinef.com/,active,public_web,Global,founder formation,talent investing and company formation,equity,pre-company founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,talent investor,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
antler,Antler,Venture Studio,UVC;LMV,startup generator/investor,https://www.antler.co/,active,public_web,Global,founder formation,company formation and early investment,equity,pre-seed founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,startup generator,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
enhance-ventures,Enhance Ventures,Venture Studio,UVC,venture studio,https://enhance.online/,active,public_web,MENA,digital businesses,venture studio,studio_equity,founders building with studio infrastructure,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
team8,Team8,Venture Studio,UVC;Sovereign Capital,venture group,https://team8.vc/,active,public_web,Israel / United States,cybersecurity / fintech / data,company creation and venture capital,studio_equity;equity,founders building in strategic technology sectors,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture group,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
fractal-software,Fractal Software,Venture Studio,SMV,vertical SaaS studio,https://www.fractalsoftware.com/,active,public_web,United States,vertical SaaS,vertical SaaS company creation,studio_equity,operators building vertical SaaS companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,vertical SaaS studio,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
weekend-fund,Weekend Fund,LMV,UVC,venture fund,https://weekend.fund/,active,public_web,United States / Global,early-stage startups,small early-stage investing,equity,early founders and makers,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro fund,68,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
pioneer,Pioneer,LMV,UVC,founder platform,https://pioneer.app/,active,public_web,Global,early founders,remote startup tournament / funding,grants;equity,early founders and internet-native builders,candidate supports industry mapping outside or adjacent to classic unicorn VC,founder platform,70,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
hf0,HF0,LMV,UVC,AI residency/fund,https://www.hf0.com/,active,public_web,United States,AI startups,AI founder residency and funding,equity,AI-native founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,AI startup program,72,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
venture10x,Venture10X,LMV,Unknown Candidate,venture growth firm,https://www.venture10x.co,unknown,public_web,Unknown,Unknown,Unknown,unknown,venture growth firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture growth firm,62,candidate_evidence,2026-05-23,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
curious,Curious,Portfolio Capital,Unknown Candidate,software holding company / acquirer,https://www.curiousholdings.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,software holding company / acquirer,candidate supports industry mapping outside or adjacent to classic unicorn VC,software holding company / acquirer,62,candidate_evidence,2026-05-23,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
apex-point-equity,Apex Point Equity,Portfolio Capital,Unknown Candidate,micro private equity firm,https://apexpointequity.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,micro private equity firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro private equity firm,62,candidate_evidence,2026-05-23,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
