fund_id,name,liquidity_signal,horizon_years,exit_size_usd,evidence_quote,evidence_url,source_tier,confidence,current_class,proposed_band,proposed_reclass,needs_review,audited_at
everhold,Everhold,none,,,no-PE / hold-forever / no-exit self-ID ('without ever selling them'; 'permanent capital ... without pressure to exit'). Allocator: private h,https://www.everhold.com/,language,high,Permanent,Permanent,,False,2026-06-09
evermore-ventures,Evermore,unknown,,,,https://evermore-ventures.com/,language,low,Permanent,Unknown,,True,2026-06-09
everroost,Everroost,unknown,,,,https://everroost.com/,language,low,Permanent,Unknown,,True,2026-06-09
evigrow-software,EviGrow Software,unknown,,,,https://www.evigrowsoftware.com/about,language,low,Permanent,Unknown,,True,2026-06-09
exa-capital,Exa Capital,none,,,ns that build value over decades'; founder testimonials cite 'buy and hold forever model.' Allocator: acquires enterprise software companies,https://exacapital.co/our-private-equity-acquisition-approach/,language,high,Permanent,Permanent,,False,2026-06-09
flying-founders,Flying Founders,none,,,"& Zdenko Zvada (Slovakia). Diversity: adds EU geography (archetype = buy-and-hold holdco, saturated). Note: also offers exit-prep for found",https://www.flyingfounders.com/,language,high,Permanent,Permanent,,False,2026-06-09
gsg-genii,GSG GENII,unknown,,,,https://gsg-genii.com/en/,language,low,Permanent,Unknown,,True,2026-06-09
heqs-investments,HEQS Investments,none,,1e+08,"om our own balance sheet, not a fund with a five-year clock. There is no exit window and no pressure to flip. Hand-verified on Exa raw markd",https://www.heqs.com.au/investments,language,high,Permanent,Permanent,,False,2026-06-09
inversion-capital,Inversion Capital,none,,,We raised permanent capital. No fund. No timeline. No mandate to sell. The only,https://www.inversioncap.com/,language,high,Permanent,Permanent,,False,2026-06-09
jonas-software,Jonas Software,none,,,5+ companies). Explicit no-sell self-ID: 'Buy & Hold Forever: We have never sold a business'; 'we never sell the businesses we acquire.' NOT,https://jonassoftware.com/being-acquired,language,high,Permanent,Permanent,,False,2026-06-09
kastellet-holdings,Kastellet Holdings,unknown,,,,https://www.kastholdings.com/,language,low,Permanent,Unknown,,True,2026-06-09
leo-software-group,Leo Software Group,none,,,o buy and operate software businesses that we want to own forever.'; 'buy-and-hold strategy'. Positive permanence + short-term-gains contras,https://www.leosoftwaregroup.com/,language,high,Permanent,Permanent,,False,2026-06-09
long-tail-ventures,Long Tail Ventures,unknown,,,,https://ltv.so/,language,low,Permanent,Unknown,,True,2026-06-09
micro-saas-capital,Micro SaaS Capital,none,,,"We build for the long-term with permanent capital - our holding period is forever (we do not ""flip"").",https://microsaascapital.com/,language,high,Permanent,Permanent,,False,2026-06-09
mosaic-software-group,Mosaic Software Group,none,,,"Our buy-and-hold philosophy, underpinned by our permanent capital base, ensures that we act in the long-term best inte",https://www.mosaicsoftwaregroup.com/,language,high,Permanent,Permanent,,False,2026-06-09
permanent-corp,Permanent Corp,none,,,"Permanent Corporation acquire profitable, niche B2B businesses and never sells. Hand-verified on Exa raw markdown of permanentcorp.com. P",https://permanentcorp.com/,language,high,Permanent,Permanent,,False,2026-06-09
permanent-equity,Permanent Equity,none,,,We invest with no intention of selling (and have never sold a portfolio company). Han,https://www.permanentequity.com/,language,high,Permanent,Permanent,,False,2026-06-09
quadra-group,Quadra Group,none,,,"Quadra Group is a permanent capital holding company, primarily focused on the acquisitio",https://www.quadragroup.co.uk/,language,high,Permanent,Permanent,,False,2026-06-09
rainmatter,Rainmatter (by Zerodha),none,,,"er announcement (Z-Connect, Nithin Kamath) + rainmatter.com. Explicit evergreen/no-exit: 'a perennial structure or with the ability to stay",https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,language,high,Permanent,Permanent,,False,2026-06-09
shop-circle,Shop Circle,unknown,,,,https://shopcircle.co/,language,low,Permanent,Unknown,,True,2026-06-09
sidenote,Sidenote,none,,,"acquiring tiny profitable SaaS ($25K-150K ARR, 85%+ gross margin) to hold forever (Daniel & Alfredo). Calm/indie-aligned. Tier 1 strict (ho",https://sidenotehq.com/,language,high,Permanent,Permanent,,False,2026-06-09
software-combined,Software Combined,unknown,,,,https://softwarecombined.com/,language,low,Permanent,Unknown,,True,2026-06-09
solen-software-group,Solen Software Group,none,,,"As a holding company with an indefinite time horizon, we have no intention of selling your business. When we invest in a company, we",https://www.solensoftwaregroup.com/why-solen,language,high,Permanent,Permanent,,False,2026-06-09
sureswift-capital,SureSwift Capital,unknown,,,,https://www.sureswiftcapital.com/blog/the-sureswift-model,language,low,Permanent,Unknown,,True,2026-06-09
tag-software-group,TAG Software Group,none,,,ll. Own-page literal text (curl) 2026-06-03: 'we don't buy to sell'; 'Permanent capital: We provide stability and brand protection with no p,https://www.tagsoftwaregroup.com/,language,high,Permanent,Permanent,,False,2026-06-09
teixo,Teixo,unknown,,,,https://teixo.co/,language,low,Permanent,Unknown,,True,2026-06-09
teoh-capital,Teoh Capital,none,,,"te equity firms, we invest without a fixed time horizon.'; 'flexible, permanent capital'. Cross-class = permanent-capital INVESTOR (not a ho",https://teohcapital.com/,language,high,Permanent,Permanent,,False,2026-06-09
tiny,Tiny,fast,4,,"me-and-reject). Names VC '10-100X returns' + PE 'flip your company in 3-5 years', positions Tiny as 'Holds companies for the long term'; 'we",https://www.tiny.com/,stated,med,Permanent,Nimble,Permanent->Nimble,False,2026-06-09
upliift,Upliift,none,,,on Exa raw markdown of upliift.com homepage + own blog post 'What is Permanent Equity?' (Co-CEO Alex Myers). Homepage names+rejects flip (',https://upliift.com/,language,high,Permanent,Permanent,,False,2026-06-09
waverock-software,Waverock Software,unknown,,,,https://waverocksoftware.com/,language,low,Permanent,Unknown,,True,2026-06-09
bridges-evergreen,Bridges Evergreen Holdings,none,,,"its, it can act as a permanent source of capital and support'; 'a new permanent capital vehicle.' Allocator: makes equity/quasi-equity inves",https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,language,high,Permanent,Permanent,,False,2026-06-09
lasting-ventures-capital,Lasting Ventures Capital,none,,,l' (want to leave the VC path); section header 'Sem Pressao de Exit' (No Exit Pressure); seeks a long-term partner 'nao apenas um investimen,https://lastingventures.capital/,language,high,Permanent,Permanent,,False,2026-06-09
malpani-ventures,Malpani Ventures,none,,,"nt-ownership VC; India. Diversity: regional patient-capital VC, not a buy-and-hold holdco. 2026-06-08 user-directed reclass Permanent->Nimbl",https://www.malpaniventures.com/blog/a-quiet-reorientation,language,high,Nimble,Permanent,Nimble->Permanent,False,2026-06-09
purpose-evergreen-capital,Purpose Evergreen Capital,none,,,Purpose Evergreen Capital is an evergreen investment fund without pressure to,https://purpose-economy.org/en/pec/,language,high,Permanent,Permanent,,False,2026-06-09
purpose-ventures,Purpose Ventures,none,,,act line confirmed on page; differs from the agent's original quote). Steward-ownership investor; liquidity without sale/exit. Sovereign-can,https://purpose-economy.org/en/investment/,language,high,Permanent,Permanent,,False,2026-06-09
software-circle,Software Circle,unknown,,,,https://softwarecircle.com/,language,low,Permanent,Unknown,,True,2026-06-09
5x-capital,5X Capital,unknown,,,,https://fivexcapital.com/,language,low,Permanent,Unknown,,True,2026-06-09
ascendant-ventures,Ascendant Ventures,unknown,,,,https://ascendantventures.com/,language,low,Excluded-Traditional,Unknown,,True,2026-06-09
perpetuity-project,The Perpetuity Project,unknown,,,,https://www.theperpetuityproject.com/,language,low,Permanent,Unknown,,True,2026-06-09
microsaas-io,MicroSaaS.io,unknown,,,,https://microsaas.io/,language,low,Studio,Unknown,,True,2026-06-09
next-wave-partners,Next Wave Partners,none,,,"eement for Future Equity with Repurchase = revenue-based repurchase, 'no exit required'; founders keep control and buy back equity). Diversi",https://nextwave.partners/building-forever-businesses/,language,high,Studio,Permanent,Studio->Permanent,False,2026-06-09
village-capital,Village Capital,unknown,,,,https://www.vilcap.com/,language,low,Reserved,Unknown,,True,2026-06-09
zebra-impact-ventures,Zebra Impact Ventures,unknown,,,,https://zebraventures.ch/,language,low,Reserved,Unknown,,True,2026-06-09
zebras-and-company,Zebras and Company,unknown,,,,https://www.zebrasand.co.jp/en/,language,low,Reserved,Unknown,,True,2026-06-09
noosa-labs,Noosa Labs,none,,,"e improve the product, support your customers and build on top of it. Buy-and-hold SaaS acquirer 60%+ profit excl founder salary; explicit a",https://noosalabs.com,language,high,Permanent,Permanent,,False,2026-06-09
arising-ventures,Arising Ventures,unknown,,,,https://arisingventures.com,language,low,Permanent,Unknown,,True,2026-06-09
impro-ventures,Impro Ventures,unknown,,,,https://impro.ventures/,language,low,Reserved,Unknown,,True,2026-06-09
delta-fund,Delta Fund,unknown,,,,https://www.delta-fund.org/,language,low,Reserved,Unknown,,True,2026-06-09
orbit-ventures,Orbit Ventures,unknown,,7.5e+07,,https://orbitventures.com/,language,low,Reserved,Unknown,,True,2026-06-09
mainsail-partners,Mainsail Partners,medium,,,invests in founder-led bootstrapped software companies). Tech-enabled growth equity. Inline-verified; no disqualifier. reservoir-r1 2026-06-,https://mainsailpartners.com/,language,low,SMV,SMV,,True,2026-06-09
union-group-fund,Union Group Fund,unknown,,,,https://www.uniongroupfund.com/,language,low,Nimble,Unknown,,True,2026-06-09
serent-capital,Serent Capital,medium,,,-r1 2026-06-06: S2 deal-profile (bootstrapped founders). Tech-enabled growth equity. Inline-verified; no disqualifier. || REAUDIT-FLAG: $6B-,https://serentcapital.com/why-serent/,language,low,SMV,SMV,,True,2026-06-09
tvc-capital,TVC Capital,unknown,,,,https://tvccapital.com/fund-focus/,language,low,SMV,Unknown,,True,2026-06-09
expedition-growth-capital,Expedition Growth Capital,unknown,,,,https://expedition.capital/,language,low,SMV,Unknown,,True,2026-06-09
timia-capital,TIMIA Capital,fast,,,ithout dilution reservoir-r2 2026-06-06: explicit alternative-to-VC + non-dilutive for bootstrapped/lightly-capitalized B2B tech (Lighter Ca,https://timiacapital.com/,language,med,Nimble,Nimble,,False,2026-06-09
saas-group,saas.group,unknown,,,,https://saas.group/,language,low,Permanent,Unknown,,True,2026-06-09
silversmith-capital,Silversmith Capital Partners,medium,,,nvestment criterion; backs constrained-resource growth). Tech-enabled growth equity. Inline-verified on /approach; no power-law disqualifier,https://www.silversmith.com/approach,language,low,SMV,SMV,,True,2026-06-09
invictus-growth,Invictus Growth Partners,unknown,,,,https://www.invictusgrowth.com/,language,low,SMV,Unknown,,True,2026-06-09
updata-partners,Updata Partners,medium,,,"ightly-capitalized software, capital-efficiency thesis). Tech-enabled growth equity. Inline-verified; no disqualifier. discovery-r6 2026-06-",https://updata.com/approach/,language,low,SMV,SMV,,True,2026-06-09
apex-point-equity,Apex Point Equity,unknown,,,,https://apexpointequity.com,language,low,SMV,Unknown,,True,2026-06-09
argentum-group,Argentum Group,medium,,,capital-efficient entrepreneurs building B2B software). Tech-enabled growth equity. Inline-verified; no disqualifier. intake-r8 2026-06-06:,https://argentumgroup.com/about,language,low,SMV,SMV,,True,2026-06-09
long-holding-company,Long Holding Company,unknown,,,,https://www.longholdco.com/,language,low,Permanent,Unknown,,True,2026-06-09
beacon-software,Beacon Software,unknown,,,,https://beaconsoftware.com/,language,low,Permanent,Unknown,,True,2026-06-09
penntech-holdings,PennTech Holdings,unknown,,,,https://www.penn-tech.com/,language,low,Permanent,Unknown,,True,2026-06-09
workhorse-capital,Workhorse Capital,unknown,,,,https://workhorsegrowth.com/,language,low,SMV,Unknown,,True,2026-06-09
xo-capital,XO Capital,unknown,,,,https://www.xo.capital/,language,low,Permanent,Unknown,,True,2026-06-09
tangle-ventures,Tangle Ventures,unknown,,,,https://tangleventures.io/,language,low,Permanent,Unknown,,True,2026-06-09
tatonic-ventures,Tatonic Ventures,none,,,"in founder-led businesses for the long term, not the exit. We buy and hold forever. No forced exits, no artificial timelines... We invest in",https://www.tatonic.net/,language,high,Permanent,Permanent,,False,2026-06-09
junagal,Junagal,none,,,"inates, funds, and operates AI-native products - with a single owner, permanent capital, and no exit timeline. ... No LP pressure, no fund l",https://junagal.com/,language,high,Studio,Permanent,Studio->Permanent,False,2026-06-09
acadian-software,Acadian Software,unknown,,,,https://www.acadiansoftware.com/,language,low,SMV,Unknown,,True,2026-06-09
nyo-capital,NYO Capital,medium,,,NYO Capital is a growth equity firm with a specialized focus on nurturing and investing,https://nyocapital.com/,language,low,SMV,SMV,,True,2026-06-09
noygear,Noygear (Aware Partners),none,,,Permanent capital means no liquidation pressure. Winners run on their,https://noygear.ai/,language,high,Studio,Permanent,Studio->Permanent,False,2026-06-09
edited-capital,Edited Capital,small-tech buyout; 7yr fund term,7,$3M+ ARR targets,Fund Term: 7 years (with possible extensions),https://editedcapital.com/fund-iii/,public_web,medium,SMV,SMV,,no,2026-07-01
skoyen-software,Skoyen Software,none,,,"Permanent' claim from a flip-PE titan deserves scrutiny; no explicit 'never sell'. Tech: UK/European B2B SaaS, £1-10M rev. Surface to Ethan;",https://skoyensoftware.com/,language,high,Permanent,Permanent,,False,2026-06-09
gearbox-capital,Gearbox Capital,unknown,10,,"at any cost... we prioritize 15-30% growth sustained over a decade'; '10 year growth horizon'; focus 'Bootstrapped and founder led software,",https://www.gearboxcap.com/,stated,low,SMV,Unicorn,SMV->Unicorn,False,2026-06-09
recur-software,Recur Software,unknown,,,,https://recurgrowth.com/,language,low,Permanent,Unknown,,True,2026-06-09
govsoft-holdings,GovSoft Holdings,build_from_within,,,l private equity or venture capital investors that need a quick win - we build companies to last. ... value for your equity is created over,https://govsoftholdings.com/,language,high,Permanent,Studio,Permanent->Studio,False,2026-06-09
raptor-collective,Raptor Collective,none,,,"e needs of our partners over the need for an exit. ... founder-first, buy-and-hold approach. HELD genuineness-pending 2026-06-07. Strong exp",https://www.raptorcollective.com/,language,high,Permanent,Permanent,,False,2026-06-09
pender-software-holdings,Pender Software Holdings,none,,,"our company for a quick profit. Backed by Pender Growth Fund, we have permanent capital, which means a stable home for your team and that we",https://pendersoftwareholdings.com/,language,high,Permanent,Permanent,,False,2026-06-09
software-holdings-au,Software Holdings,unknown,,,,https://www.softwareholdings.com.au/,language,low,Permanent,Unknown,,True,2026-06-09
sacramento-labs,Sacramento Labs,build_from_within,,,cator: self-funded company creation + rev-share collabs. Rejects the 'venture studio' LABEL (means it doesn't bet on external teams) but IS,https://sacramentolabs.com/our-philosophy/,language,high,Studio,Studio,,False,2026-06-09
waythor,Waythor,none,,,"g them permanently. Unlike venture capital or private equity, we have no exit timelines and no external investors to satisfy. ... We don't f",https://waythor.com/,language,high,Studio,Permanent,Studio->Permanent,False,2026-06-09
brooks-keitt,Brooks & Keitt,none,,,": 'Operate, don't flip'; 'No outside investors'; 'no exit strategy... not for sale.' Self-describes 'a holding company - not a studio, not a",https://brookskeitt.com/,language,high,Permanent,Permanent,,False,2026-06-09
peakspan-capital,PeakSpan Capital,slow,,,all-costs narrative'; philosophy pieces 'Dont Go Chasing Unicorns' + 'Power Law: Why Portfolio Theory Stinks for Most Entrepreneurs.' Deal p,https://www.peakspancapital.com/why-peakspan,language,med,SMV,Unicorn,SMV->Unicorn,False,2026-06-09
finis-ventures,Finis Ventures,build_from_within,,,fied on Exa raw markdown of finis.ventures (own homepage). Applied-AI venture studio / 'holding company for software businesses' that builds,https://finis.ventures/,language,high,Studio,Studio,,False,2026-06-09
lojik-labs,Lojik Labs,unknown,,,,https://wearelojik.com/,language,low,Studio,Unknown,,True,2026-06-09
sequel-capital,Sequel Capital,explicit fast-exit; anti-10yr-fund,2-3,,We're not a 10-year fund. Our 2-3 year model is built for founders ready to scale and exit — not wait.,https://www.sequel-capital.com/,public_web,high,Nimble,Nimble,SMV->Nimble,no,2026-07-01
ascendx-ventures,AscendX Ventures AG,build-to-sell; 12mo exit,1,,"We acquire, build, and exit — targeting full returns within 12 months.",https://ascendx.ventures/,public_web,high,Nimble,Nimble,,no,2026-07-01
ltv-saas-fund,LTV SaaS Fund,micro-SaaS acquire-grow-sell,3-5,,"LTV SaaS Fund V seeks medium-term investment opportunities, with a return rate of approximately 174% over a 3-5 year term.",https://ltv.fund/fund-category/ltv-saas-growth-v/,public_web,medium,Nimble,Nimble,,no,2026-07-01
redbud-vc,Redbud VC,nimble VC 2yr material exit,2,,"Redbud VC had a material exit in two years, selling to a Series A investor",https://redbud.beehiiv.com/p/liquid-future-nimble-vcs-have-a-liquidity-advantage,public_web,high,Nimble,Nimble,LMV->Nimble,no,2026-07-01
the2410,The2410,build-to-sell micro-SaaS,2-4,EUR150K-450K/asset,"Most projects run for 24-48 months before exit, but selling isn't mandatory - if there's strong upside, we continue scaling.",https://2410.ee/en/service/invest-in-saas,public_web,medium,Nimble,Nimble,,no,2026-07-01
futurefirst,FutureFirst,vertical-AI seed; medium exits,4-6,several hundred million,A company that is sold for several hundred million dollars after two or three years is a great outcome for a fund like ours.,https://www.calcalistech.com/ctechnews/article/hy9uxu3ubx,public_web,high,Nimble,Nimble,border-SMV,yes,2026-07-01
mirai-ventures,Mirai Ventures,lean AI-native; 24-36mo exits,2-3,,"By focusing on ventures that can achieve strategic exits within 24 to 36 months, we maximize IRR for our Limited Partners, capitalizing on the current corporate FOMO as large incumbents race to buy rather than build.",https://miraiventures.substack.com/p/how-mirai-ventures-delivers-superior,public_web,medium,Nimble,Nimble,self-published,yes,2026-07-01
firstfounders,FirstFounders (F2),AI studio; acquire within 36mo,3,$7.5M fund,"The goal is not just to grow companies, but to get them acquired within 36 months.",https://thecondia.com/partners/firstfounders-africa-venture-studio-startup/,public_web,medium,Nimble,Nimble,,no,2026-07-01
napkin-ventures,Napkin Ventures,B2B SaaS studio; ~5yr exit,5,$20M+ target,"Napkin Ventures will exit the primary management role of these engagements within 5 years by either raising additional capital from a larger preferred investor, the sale of the company or a company buyback of Napkin Ventures' interest.",https://www.napkinventures.fund/,public_web,medium,Nimble,Nimble,,no,2026-07-01
favcy-bts,Favcy Build-to-Sell,India build-to-sell; 36-48mo,3-4,~$215K cohort,We co-build these ventures with entrepreneurs in residence (EIRs) from the ground up to exit via acquisition over a 36-48 months time period.,https://www.favcybts.com/btsfoundertribe,public_web,high,Nimble,Nimble,,no,2026-07-01
cocreatd,Cocreatd,UK studio; executed 8mo exit,<1,GBP100M+ portfolio yr1,"Cocreatd achieved a creation-to-exit timeline of just eight months for its System7 acquisition, and took its security venture from concept to LSE listing in six months.",https://startupsmagazine.co.uk/article-cocreatd-achieves-ps100m-portfolio-value-first-year,public_web,high,Nimble,Nimble,,no,2026-07-01
