asset_class,class_name,name,tier,sector_pending,target_economy,geography,self_id_quote_or_note,evidence_url
Permanent,Permanent Capital,Software Circle,in_disguise,,tech,"UK, AIM:SFT","Providing a permanent home for their teams, management talent and culture.",https://softwarecircle.com/
Permanent,Permanent Capital,Software Combined,verified,,tech,Europe & Oceania,"Whether you think of us as an invested strategic advisor, or a 'forever home' for your business, we will make long-term commitment to your vision and your people.",https://softwarecombined.com/
Permanent,Permanent Capital,Solen Software Group,verified,,tech,,"As a holding company with an indefinite time horizon, we have no intention of selling your business. When we invest in a company, we go 'all in' for the long haul.",https://www.solensoftwaregroup.com/why-solen
Permanent,Permanent Capital,SureSwift Capital,verified,,tech,,we're not looking to flip businesses or maximize profits at the cost of long-term viability... we never assume an expiration date... we buy businesses with the expectation that we'll be operating them in the long run.,https://www.sureswiftcapital.com/blog/the-sureswift-model
Permanent,Permanent Capital,TAG Software Group,verified,,tech,,TAG provides a permanent home for software companies — we don't buy to sell.,https://www.tagsoftwaregroup.com/
Permanent,Permanent Capital,Teoh Capital,verified,,mixed,,"But unlike most private equity firms, we invest without a fixed time horizon.",https://teohcapital.com/
Permanent,Permanent Capital,Tiny,verified,,mixed,,[on-page comparison table] Venture Capital: 'Pressure to provide 10-100X returns'; Private Equity: 'Typically flip your company in 3-5 years'; Tiny: 'Holds companies for the long term.',https://www.tiny.com/
Permanent,Permanent Capital,Upliift,verified,,tech,,"We're here to help your business thrive, not flip it.",https://upliift.com/
Permanent,Permanent Capital,Waverock Software,verified,,tech,US/Canada,A long-term home for niche software businesses — not a fund waiting to flip them.,https://waverocksoftware.com/
Permanent,Permanent Capital,Everhold,verified,yes,mixed,,to acquire exceptional small businesses and hold them forever. We're not a private equity firm.,https://www.everhold.com/
Permanent,Permanent Capital,Kastellet Holdings,verified,yes,mixed,US/Denmark,Private equity buys companies to sell them again in three to seven years... Kastellet is different. Our capital is permanent.,https://www.kastholdings.com/
Permanent,Permanent Capital,Teixo,verified,yes,mixed,Portugal,We buy good Portuguese businesses and hold them indefinitely. No fund cycle. No forced exit. No financial engineering.,https://teixo.co/
Permanent,Permanent Capital,The Perpetuity Project,in_disguise,yes,mixed,Europe,"We are a holding company dedicated to acquiring and growing solid small and medium-sized businesses across Europe, with a long-term, perpetual investment horizon.",https://www.theperpetuityproject.com/
Studio,Studio Capital,MicroSaaS.io,verified,,tech,Copenhagen/Finland,"We build products meant to last - not to flip... No outside pressure, no growth-at-all-costs mentality.",https://microsaas.io/
Studio,Studio Capital,Next Wave Partners,verified,,tech,US,The power law logic of venture capital has reached its breaking point.,https://nextwave.partners/building-forever-businesses/
Reserved,Reserved — Sovereign / Operator candidates,Village Capital,provenance,,mixed,US/global,"Impact accelerator/fund; foundational provenance. Current site impact-focused (climate, economic mobility), no explicit anti-unicorn self-ID; flagged.",https://www.vilcap.com/
Reserved,Reserved — Sovereign / Operator candidates,Zebra Impact Ventures,in_disguise,,mixed,Switzerland,This business model is framed as an alternative to the disrupting and profit-focused unicorn model.,https://zebraventures.ch/
Reserved,Reserved — Sovereign / Operator candidates,Zebras and Company,in_disguise,,mixed,Japan,"we not only invest in and participate in the management of zebra companies but also collaborate with governments, financial institutions, and academic institutions both in Japan and overseas to create a movement and community that support zebras.",https://www.zebrasand.co.jp/en/
