name,current_class,page_type,evidence
The GIIN,Sovereign Capital,non_allocator,"'The Global Impact Investing Network, Inc. (GIIN) is the leading industry body for impact investing.' A nonprofit standards/membership body providing research ("
VC Lab,LMV,non_allocator,'Free 14-week accelerator with 800+ funds launched'; mission is to 'Launch a VC firm. Raise institutional capital. Start a VC career.' It trains others to start
Consensys,Patient Capital,non_allocator,"consensys.io is a software/product company (MetaMask, Infura, Linea, protocol dev) preparing for an IPO with JPMorgan/Goldman. Its former venture arm 'ConsenSys"
Lightship Bootcamp,Patient Capital,non_allocator,"Homepage: 'Everything you need to move closer to your first million, delivered in 3 focused days. No cost to attend.' It is a free educational/mentorship progra"
Fundwell,SMV,non_allocator,"Despite the 'Embedded Capital Solutions' tagline and 'Our funding' language, Fundwell is explicitly a broker/marketplace, not a principal: 'Fundwell is a loan m"
Pacific Dental Services,Patient Capital,non_allocator,"PDS Health is a fee-based service organization, not a capital allocator. Its 'specialist ownership model' lets specialists 'own their own practice' while PDS pr"
The Independent Sponsor Model or Fundless Sponsor Model,Search/ETA,non_allocator,"The site (Access Capital Partners / fundlesssponsorcapital.com) is an intermediary, not a principal: 'Access Capital Partners is an Investment Bank Focused on R"
Mars Inc,Patient Capital,non_allocator,"mars.com is a global operating CPG manufacturer (Petcare, Food & Nutrition, Snacking). It does fund a corporate-VC vehicle ('Companion Fund II, a $300 million v"
Munger Tolles & Olson Trust,Patient Capital,non_allocator,"mto.com is a law firm: 200+ lawyers across Los Angeles, San Francisco, and Washington, D.C., described as 'an intimate, yet formidable litigation department.' N"
Vulcan Inc,Patient Capital,non_allocator,vulcan.com 308-redirects to vulcanrealestate.com: 'We design and deliver imaginative places that propel human progress. Through responsible real estate developm
AngelList Rolling Funds,LMV,non_allocator,"The page sells AngelList's fund-admin infrastructure to GPs: 'Manage fund operations from your central GP dashboard,' offering 'Fund administration,' 'Fund bank"
Gates Cambridge Trust,Patient Capital,non_allocator,'Postgraduate scholarships at the University of Cambridge for scholars with a commitment to changing the world for the better.' Funds individual students' educa
Hampton Fund,Patient Capital,non_allocator,"joinhampton.com self-describes as a private peer network: 'Membership involves an annual investment that many of our members deduct as a business expense,' deli"
Hewlett Foundation,Patient Capital,non_allocator,"'We make grants across a number of program areas' (Education, Environment, U.S. Democracy, etc.) via a 'Grantee Center' for nonprofit partners. It is a grant-ma"
Praxis Labs,Patient Capital,non_allocator,praxislabs.org redirects to praxis.co. Praxis is a nonprofit venture-building ecosystem of mentorship-driven accelerators/fellowships. Its own impact metric rea
Toniic,Sovereign Capital,non_allocator,"'Our members consist of around 500 high net wealth individuals, family office, and foundation asset owners.' Toniic 'match[es] members with relevant co-investme"
EOT Advisors,Patient Capital,non_allocator,"""We assist business owners with the sale of their company to an Employee Ownership Trust."" Services listed are advisory: structuring, tax planning, valuation, d"
Edge City (Inflection Grants),LMV,non_allocator,"All described programs are non-repayable, non-equity grants/fellowships: Inflection Grants '$2,000 to build from anywhere' with 'opportunities for follow-on fun"
FoundersBoost,LMV,non_allocator,"""Requiring no equity and no fees, our 6-week program is designed for busy founders with limited budgets."" No checks written, no capital invested, no equity take"
Futaleufu Partners,Search/ETA,non_allocator,"Founder David Dodson ""has never viewed his role as writing a check."" The fund exists to ""use the idea of an investment fund to organize talent to support search"
Hahnbeck,SMV,non_allocator,"M&A advisor/broker: provides 'M&A STRATEGY,' 'support & valuable advice,' and 'A strategic approach to close the deal at the highest price,' matching sellers wi"
On Deck Founder Fellowship (ODF),LMV,non_allocator,"""Non-dilutive - We don't take any equity."" Value is a community platform, networking, and partner perks (Mercury, AWS, Stripe Atlas). No capital deployed via eq"
Purpose (Purpose Foundation / Purpose US),Patient Capital,non_allocator,"""Purpose US supports business and community leaders to adopt steward-ownership"" via 'education and accelerator programs.' Site explicitly states ""Commercial tra"
Purpose Owned,Patient Capital,non_allocator,"""We work with business owners to codify purpose in their legal structures using Purpose Trusts"" and 'help businesses align their ownership design with their val"
Roux Institute Founder Residency,LMV,non_allocator,"Program is 'free to attend, with no fees or equity requirements'; provides mentorship, legal/design services, workspace and 9 months free incubator membership p"
StartX,LMV,non_allocator,"Homepage states 'StartX takes no equity and charges no fees' and 'No equity or fees required.' It is a non-investing accelerator/community providing mentorship,"
Catalytic Climate Finance Facility (CC Facility),Sovereign Capital,non_allocator,"Provides 'grants and conditionally recoverable grants of up to USD 500,000' plus technical assistance to help blended climate-finance STRUCTURES 'become investa"
Co-op Cincy,Patient Capital,non_allocator,"The Business Legacy Fund's $3M 'was raised by Seed Commons, a national financial cooperative'; Co-op Cincy provides 'up to $20,000 worth of technical assistance"
Convergence,Sovereign Capital,non_allocator,"Self-describes as 'The Global Network for Blended Finance' offering 'Data, Intelligence, & Deal Flow.' Its Blended Finance Accelerator (formerly Design Funding)"
Iconbusinessadvisors,Search/ETA,non_allocator,"Self-describes as 'Tech-enabled M&A and capital advisory for lower middle market business owners,' advising on 'exit strategy including ESOP evaluation, sell-si"
Newlab Founder Fellowship,Patient Capital,non_allocator,"Newlab is a membership innovation platform providing 'technical labs, shops, pilot sites & workspaces,' commercialization projects, and an 'aligned network of v"
OwnerBridge,Search/ETA,non_allocator,"Page explicitly states 'This is an introduction platform, not a brokerage service' and describes its role as 'create connections between owners and vetted partn"
Stryber,Portfolio Capital,non_allocator,Stryber is a venture-building / corporate-innovation SERVICES firm: 'We design and operate venture studios and investment structures that allow organizations to
The Awesome Foundation,Patient Capital,non_allocator,"Distributes '$1,000 grants, no strings attached, to projects and their creators' funded by donations pooled from ~10 self-organizing 'micro-trustees' per chapte"
gBETA,LMV,non_allocator,"gBETA page: 'No catch! gBETA is generously paid for by our program partners, which makes it free for you. We don't take any fees or equity.' It is a free 7-week"
