instrument_id,instrument_name,provider_entity_id,provider_name,asset_class,description,source_url,evidence_status,notes
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,tvc-capital,TVC Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://tvccapital.com/fund-focus/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,d2-fund,D2 Fund,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.d2.fund/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,seedtwo-capital,SeedTwo Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.seedtwo.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,sequel-capital,Sequel Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.sequel-capital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,mainsail-partners,Mainsail Partners,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://mainsailpartners.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,serent-capital,Serent Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://serentcapital.com/why-serent/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,mamba-growth,Mamba Growth,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.mambagrowth.com/investment-criteria/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,five-elms-capital,Five Elms Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.fiveelms.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,elsewhere-partners,Elsewhere Partners,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://elsewhere.partners/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,sunstone-partners,Sunstone Partners,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://sunstonepartners.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,expedition-growth-capital,Expedition Growth Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://expedition.capital/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,silversmith-capital-partners,Silversmith Capital Partners,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.silversmith.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,level-equity,Level Equity,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://www.levelequity.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,banyan-software,Banyan Software,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.banyansoftware.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,valsoft,Valsoft,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.valsoftcorp.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,constellation-software,Constellation Software,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.csisoftware.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,arcadea-group,Arcadea Group,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.arcadeagroup.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,tag-software-group,TAG Software Group,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.tagsoftwaregroup.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,permanent-equity,Permanent Equity,Patient Capital,Long-duration or no-forced-exit equity ownership.,https://www.permanentequity.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
permanent_equity,Permanent equity,tiny,Tiny,Portfolio Capital,Long-duration or no-forced-exit equity ownership.,https://www.tiny.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
search_capital,Search capital,pacific-lake-partners,Pacific Lake Partners,Search/ETA,Capital used to fund searchers and acquisitions in ETA/search fund models.,https://www.pacificlake.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
search_capital,Search capital,relay-investments,Relay Investments,Search/ETA,Capital used to fund searchers and acquisitions in ETA/search fund models.,https://www.relayinvestments.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
search_capital,Search capital,anacapa-partners,Anacapa Partners,Search/ETA,Capital used to fund searchers and acquisitions in ETA/search fund models.,https://www.anacapapartners.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
search_capital,Search capital,search-fund-partners,Search Fund Partners,Search/ETA,Capital used to fund searchers and acquisitions in ETA/search fund models.,https://www.searchfunds.net/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
search_capital,Search capital,next-coast-eta,Next Coast ETA,Search/ETA,Capital used to fund searchers and acquisitions in ETA/search fund models.,https://www.nextcoasteta.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,high-alpha,High Alpha,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://www.highalpha.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,atomic,Atomic,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://atomic.vc/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,expa,Expa,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://www.expa.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,hexa,Hexa,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://www.hexa.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,founders-factory,Founders Factory,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://foundersfactory.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
studio_equity,Studio equity,fractal-software,Fractal Software,Portfolio Capital,Equity created through venture studios or company formation platforms.,https://www.fractalsoftware.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
