fund_id,name,niche,admitted_via,self_id_quote,evidence_url,hand_verified,status,discovered_round,notes,target_economy
inversion-capital,Inversion Capital,permanent-capital holdco (fintech-modernized),self_id,We raised permanent capital. No fund. No timeline. No mandate to sell. The only way we make money is if the business does well for a very long time.,https://www.inversioncap.com/,YES,verified,batch3,"Hand-verified on Exa raw markdown of homepage. Explicit fund-clock/exit rejection ('No fund. No timeline. No mandate to sell'; 'we own them forever'; 'we dont replace your team or flip your company'). Allocator: buys majority of profitable businesses ($1M+ EBITDA), modernizes financial infrastructure. CONTEXT (transparency): VC-seeded ($26.5M; Dragonfly/VanEck/ParaFi), crypto/blockchain-adjacent, Berkshire-style holdco; nascent. Nearly false-rejected on news framing - on-page self-ID is genuine.",mixed
everroost,Everroost,long-term software acquirer (AI-native),self_id,"We don't strip and flip - we invest, improve, and operate for the long term.",https://everroost.com/,YES,verified,batch3-bonus,"Hand-verified on Exa raw markdown of homepage. Bonus net-new discovery (surfaced alongside Everhold search). Explicit anti-strip-and-flip + 'We buy to keep.' Allocator: acquires apps/SaaS from founders (12+ products, 96% retention); AI-native operating tools. Nascent/early-stage.",tech
curious,Curious (Curious Holdings),permanent-capital software holdco,self_id,"We're focused on legacy, resilience, and continuous reinvention, not raising additional funds or future exits.",https://www.curiousholdings.com/,YES,verified,batch3,"Hand-verified via Exa page extract (curiousholdings.com homepage + /approach + 2025 shareholder letter). Explicit fund-clock/exit rejection ('not raising additional funds or future exits'; 'long-term holding company'; 'a long term home for startups that get abandoned by VCs'). Allocator: acquires software cos ($0.5-5M ARR; 5 companies, $10M+ ARR, profitable). Seattle; Andrew Dumont (ex-Curious Capital); raised $16M as permanent-capital holdco.",tech
malpani-ventures,Malpani Ventures,patient-capital VC (India),self_id,"It means we don't have a forced exit clause in our term sheets. It means when we talk to a founder about the next five years, we're actually thinking about the next fifteen.",https://www.malpaniventures.com/blog/a-quiet-reorientation,YES,verified,batch4,"Hand-verified on Exa raw markdown of the firm's own /blog/a-quiet-reorientation thesis page. Explicit model-rejection: 'no forced exit clause in our term sheets'; rejects 'Growth-at-all-costs mandate, Fund lifecycle clock... pressure to flip the business'; on VC's power law ('a fund needs its one or two outliers to return the entire fund') says 'We're happy to let others chase them.' Allocator: equity investor in Indian companies (early investment IKS Healthcare IPO'd after 15 yrs of patient capital). Patient Capital / permanent-ownership VC; India. Diversity: regional patient-capital VC, not a buy-and-hold holdco.",tech
hasan-vc,HASAN.VC,camel VC (Southeast Asia / Islamic VC),self_id,HASAN.VC prioritizes the cultivation of Camel startups over the pursuit of speculative Unicorns.,https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,YES,verified,batch4,"Hand-verified on Exa raw markdown of hasan.vc's own Camel-Framework essay + /camel-manifesto. Explicit open-camel self-ID (like the Gorilla anchor); also 'we however prefer a more balanced and sustainable approach' vs Unicorns, framing the unicorn path as 'growth at all cost.' Allocator: people-powered/angel-collective VC, 'our Fund 1 targets to invest in 40 to 50 startups.' SE Asia (Malaysia; Umar Munshi / Ethis Group); Shariah-aligned. NASCENT (launched 2024; angel-syndicate structure). Diversity: regional camel-VC, not a holdco.",tech
buyback-ventures,BuyBack Ventures,reverse-venture / redeemable-equity (US),self_id,"In traditional venture capital, you have to give up ownership as you grow. With Buyback Ventures, use your profits to buy back your equity and own more of your company as you grow.",https://buyback.vc/,YES,verified,batch4,"Hand-verified on Exa raw markdown of buyback.vc homepage (own site). On-page header 'The Traditional VC Model is Broken'; rejects the dilution + 'growing fast or failing fast' model; explicitly excludes 'Startups planning to raise Venture Capital.' Allocator: invests $50K-$500K into bootstrapped LLCs via redeemable equity (founders buy back to own up to 98%; return capped 1-5x + 2-5% residual). Distinct instrument = archetype diversity (not holdco/RBF-lender/steward/camel-VC). NASCENT (2025 first cohort; co-investment vehicle of Keshif Ventures + Crescent Ridge Partners, San Diego; Andy White & Maria Gonzalez-Blanch). US-only, Delaware LLCs.",tech
lasting-ventures-capital,Lasting Ventures Capital,distribution-based / anti-VC-path (Brazil),self_id,"Não buscamos venda futura. Nossa remuneração vem da distribuição de resultados da operação, junto aos fundadores e time, alinhando nossos interesses com o crescimento sustentável do seu negócio.",https://lastingventures.capital/,YES,verified,batch4,"Hand-verified on Exa raw markdown of lastingventures.capital homepage (own site, Portuguese). Translation: 'We do not seek a future sale. Our compensation comes from the distribution of the operation results, alongside the founders and team, aligning our interests with the sustainable growth of your business.' Also: invests in B2B enterprise cos that 'desejam sair do caminho de Venture Capital' (want to leave the VC path); section header 'Sem Pressao de Exit' (No Exit Pressure); seeks a long-term partner 'nao apenas um investimento para saida rapida' (not just a quick-exit investment). Allocator: 20-40% minority stakes, target R$10-20MM revenue, converts startups into cash-generating tech cos. Sao Paulo, Brazil. Diversity: LatAm, distribution/profit-based, explicitly anti-VC-path (not a holdco).",mixed
flying-founders,Flying Founders,buy-and-hold SaaS holdco (EU / Slovakia),self_id,"Hold long-term, focus on profitable growth and dividends, no pressure to raise or exit.",https://www.flyingfounders.com/,YES,verified,batch4,"Hand-verified on Exa raw markdown of flyingfounders.com homepage (own site). Also on-page: founders seeking 'a hands-on partner for the next phase of profitable growth... Not a VC.' Press corroboration (Czech): 'misto nahanenia miliardovych jednorozcov' = instead of chasing billion-dollar unicorns, build long-term healthy profitable businesses. Allocator: invests EUR100k-600k (growth capital and/or buyout) into SaaS at EUR100k-2m ARR; portfolio of 5-10; holds for dividends. Founders Michal Truban & Zdenko Zvada (Slovakia). Diversity: adds EU geography (archetype = buy-and-hold holdco, saturated). Note: also offers exit-prep for founders who want to sell (often to Flying Founders as the buy-and-hold home).",tech
next-wave-partners,Next Wave Partners,venture studio + Safer (revenue-repurchase) (US),self_id,The power law logic of venture capital has reached its breaking point.,https://nextwave.partners/building-forever-businesses/,YES,verified,batch4,"Hand-verified on Exa raw markdown of nextwave.partners/building-forever-businesses + /safer. Explicit power-law/unicorn rejection: 'a model that demands 100 failures for every one unicorn'; 'graveyard of unicorn carcasses'; 'Companies should be built to last, not liquidated at the convenience of fund cycles.' Allocator: venture studio deploying capital via the Safer instrument (Simple Agreement for Future Equity with Repurchase = revenue-based repurchase, 'no exit required'; founders keep control and buy back equity). Diversity: distinct instrument/structure (studio + Safer), not a holdco. NASCENT (Reg 506(c); clusters in climate / applied-AI / infrastructure).",tech
rainmatter,Rainmatter (by Zerodha),perennial / evergreen own-capital investor (India),self_id,Patient capital with no exit mandates that founders can benefit from when building an enterprise.,https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,YES,verified,batch4,"Hand-verified on Exa raw markdown of Zerodha's official Rainmatter announcement (Z-Connect, Nithin Kamath) + rainmatter.com. Explicit evergreen/no-exit: 'a perennial structure or with the ability to stay invested forever'; 'Patient capital with no exit mandates'; own site says they are 'patient long-term investors and aren't in it for quick exits' (never thought of themselves as a fund). Allocator: Zerodha's own-capital investment arm, ~Rs400Cr across 80+ startups (fintech/health/climate/media); Rs50L-Rs100Cr checks, NO board seats, minority stakes; profits reinvested into Rainmatter Foundation ($200M). India. Diversity: corporate evergreen 'perennial' own-capital giving-forward investor, not a holdco or typical VC. [QUOTE UPGRADED 2026-06-03 to on-page name-and-reject; also 'without pressure to grow quickly'; perennial own-capital structure.]",tech
five19-holdings,Five19 Holdings,committed-capital permanent buyer (Canada),self_id,We are not private equity. We acquire businesses to operate and grow them for the long term — not to pursue short-term transactions or quick exits.,https://five19holdings.com/,YES,pending_verification,batch4,"HELD pending first acquisition - allocator test (deploys capital INTO companies) not yet met: zero deals closed; the self-ID quote IS hand-verified but Five19 is a pre-deal search vehicle, not yet a confirmed allocator. Hand-verified on Exa raw markdown of five19holdings.com homepage. Also: 'Not to flip it... run it for the long term'; 'No fund timelines - We are not a fund. There is no deadline, no outside pressure, and no plan to sell.' Allocator: committed-capital buyer (own balance sheets) acquiring one Canadian business (manufacturing/distribution/industrial, $1.5-5M EBITDA); Curtis McGrath CPA, Guelph ON. CANADA. NASCENT: single-acquisition searcher, pre-first-deal (committed capital ready, no deal closed yet).",unclear
bridges-evergreen,Bridges Evergreen Holdings,evergreen permanent-capital holdco (UK impact),self_id,"It is structured as a holding company rather than a fund so it can provide ongoing support over the long term, with no exit requirement.",https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,YES,verified,batch4,"Hand-verified on Exa raw markdown of Bridges Fund Management's own launch announcement. Also: 'With no requirement to seek exits, it can act as a permanent source of capital and support'; 'a new permanent capital vehicle.' Allocator: makes equity/quasi-equity investments in profit-with-purpose cos, public-sector spin-outs, social-sector orgs, employee-owned businesses (launched 2016 with GBP23m; Big Society Capital cornerstone). UK. Like the admitted Purpose Evergreen, an impact/mission-led vehicle whose STRUCTURAL self-ID (holding company not a fund, no exit requirement) clears the gate. CAVEAT: evidence is the 2016 launch announcement on Bridges' own domain - Bridges is a large active impact manager; reconfirm current Evergreen vehicle status before paper use.",mixed
camel-ventures-egypt,Camel Ventures,camel-VC / venture debt (Egypt fintech) [IN-DISGUISE],in_disguise,"We believe in Camels (not only potential Unicorns) – the embodiment of the characteristics we look for, and nurture, in our partners - the startups.",https://www.camel.ventures/,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S1 camel-vocabulary). Hand-verified on Exa raw markdown of camel.ventures homepage. Adopts the camel framing but keeps unicorns in scope ('not only potential Unicorns') = textbook in-disguise / not_outright_anti_unicorn. Allocator: first FRA-licensed Egyptian fintech-focused VC + venture debt company; 10+ investments, EGP 500M+ AUM; backed by dfin Holding & Al Ahly Capital. Egypt/MENA, Africa/Asia expansion. Per user 2026-06-03: keep - adopts camels as the new wave even though it doesn't exclude unicorns.",tech
pemba-capital,Pemba Capital Partners,camel-thesis PE buyout (Australia) [IN-DISGUISE],in_disguise,"Instead of the unicorn, the camel is the more fitting mascot for what we look for.",https://pemba.com.au/hunt-camels-rather-than-unicorns/,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S1 camel-vocabulary + S2 deal profile). Hand-verified on Exa raw markdown of pemba.com.au. Also: 'we typically back founder-owned tech businesses that have been bootstrapped... profitable and usually cash generative.' DISGUISE: a PE buyout firm that PURSUES EXITS (touts helping camels achieve 'ASX listings... transformational acquisitions') - not outright anti-unicorn, but explicit camel-thesis + bootstrapped-profitable deal profile. Australia. Per user 2026-06-03: include with in-disguise flag (high camel talk; candidate that may be in the industry in disguise). || REAUDIT-FLAG: main page = standard Australian mid-market PE ($2b funds, 'liquidity for shareholders', 200+ buy&build). Admitted off a one-off 'hunt camels rather than unicorns' BLOG, not firm positioning. Likely false-positive - re-review.",tech
buentrip-ventures,BuenTrip Ventures,camel-thesis / capital-efficiency VC (LatAm) [IN-DISGUISE],in_disguise,We seek founders who can achieve outsized results with limited capital by focusing on profitability and efficient scaling.,https://www.buentrip.vc/blog/navigatingventurecapital,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S1 camel-vocabulary + S2 capital-efficiency thesis). Hand-verified on Exa raw markdown of buentrip.vc/blog. Also verbatim: 'Successful startups in Latin America often resemble Camels rather than Unicorns. They prioritize sustainable growth and operate with discipline and resourcefulness'; rejects the 'growth at all costs' approach. DISGUISE: still pursues early-ownership/compounding returns + liquidity (LatAm VC, 10yr; portfolio AltScore/Picker/Mercately/Kriptos) - not outright anti-unicorn. Ecuador/LatAm. Per user 2026-06-03: add as flagged in-disguise entity.",mixed
startup-ignition-ventures,Startup Ignition Ventures,revenue-first pre-seed fund (US / Utah) [IN-DISGUISE],self_id,"Elephants, Not Unicorns. [Other VCs] Chase unicorns. Celebrate fundraises. Subtly market the old trophy-hunting, growth-at-all-costs model. [SIV] Capital-efficient businesses. Validated models. Sustainable profitability. We back companies built to last - not just to raise the next round.",https://www.startupignition.com/ventures/,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S3 revenue-first thesis + Ethan provenance). Hand-verified on Exa raw markdown of startupignition.com/ventures + /about. Approach: 'Drive to revenue, not the next round of financing. Get profitable and self-sufficient as quickly as possible. Raise capital when it's earned, not when it's available'; backs 'Capital-efficient businesses... Sustainable profitability.' ALLOCATOR TEST PASSED: a real $20M pre-seed venture fund ($100K-1M first checks), distinct from its bootcamp / AI ToolSuite ecosystem. DISGUISE: not anti-unicorn (touts portfolio 'unicorn' outcomes); Ethan flags it a hidden SMV. Utah/USA; John & Tyler Richards. Per user 2026-06-03: add (Ethan thinks hidden-in-disguise SMV). | 2026-06-06 UPGRADE in_disguise->self_id (operator-directed, Ethan): on-page 'Elephants, Not Unicorns' anti-unicorn self-ID on /ventures (Ethan: 'sometimes it is a bit hidden but it is there'). Ethan classifies SMV (success = $250-500M acquisitions).",tech
sts-ventures,STS Ventures,camel-branded capital-efficiency VC (DACH) [IN-DISGUISE],in_disguise,"Sure, like most VCs, we welcome unicorn start-ups with hockey stick growth. But, we really love start-ups that achieve capital-efficient, sustainable growth.",https://sts-ventures.de/portfolio/,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S1 camel branding + S2 capital-efficiency preference). Hand-verified on Exa raw markdown of sts-ventures.de/portfolio. The 'welcome unicorns... BUT really love capital-efficient sustainable growth' line is the textbook in-disguise marker. Camel branding (S1) documented: STS is widely known as a 'camel startup' investor (foundersleague.de 'Fokus auf Camel Start-Ups'; startuprad.io 'STS Ventures camel playbook'; own 'camels not unicorns' essay on a draft /founders/blog-test page). Allocator: DACH pre-seed/seed VC, 60+ startups (Stephan Schubert, Cologne); exit-heavy portfolio (EQT/Amazon/Spotify) = genuinely in-disguise, not anti-unicorn. Per user 2026-06-03 gate expansion.",mixed
saasholic,SaaSholic,capital-efficiency LatAm SaaS VC [IN-DISGUISE],in_disguise,"Capital efficiency beats hyper-growth. Because in Latam, every dollar matters and competition is thinner. Lower CACs let distribution be won with limited burn; ROI beats growth at all costs.",https://blog.saasholic.com/p/doing-it-wrong-again-saasholics-next,YES,verified,batch4-disguise,"IN-DISGUISE (Tier 2, S2/S3 capital-efficiency thesis). Hand-verified on Exa raw markdown of blog.saasholic.com (own Substack). Also: 'We're not like other VCs'; 'A global exit is the upside case, not the underwriting assumption'; 'Champion capital efficiency. Every dollar matters.' DISGUISE: pursues Nasdaq/US exits + AI-native high-growth and discusses unicorn outcomes - not anti-unicorn, but explicit capital-efficiency-over-hypergrowth thesis. Allocator: LatAm SaaS VC, 2 funds, leads pre-seed/seed rounds + studio (Diego Gomes / William Cordeiro). Brazil/LatAm.",tech
concepts-io,Concepts.io,permanent-capital holdco (US software/services/infra),self_id,We acquire with the intent to hold indefinitely. We are not building a portfolio to flip.,https://concepts.io/,YES,verified,batch5,"Hand-verified on Exa raw markdown of concepts.io homepage. Also: 'No exit pressure - only durable returns'; 'No Venture Capital'; 'Most companies are built to be sold. Ours are built to operate - indefinitely, profitably.' Allocator: holding company (est 2015, NJ S-Corp, $0 outside capital) acquiring profitable founder-led B2B businesses ($500K-5M earnings, EBITDA+ 24mo), 6 operating units. Operator-led, hold-forever. Tier 1 strict.",mixed
long-tail-ventures,Long Tail Ventures,permanent-hold online-business acquirer (US),self_id,"We acquire businesses to operate them, not to flip them. If an exceptional exit opportunity arises, we may pursue it — but exits are optional, not required.",https://ltv.so/,YES,verified,batch5,"Hand-verified on Exa raw markdown of ltv.so homepage. Also: 'not a typical private equity fund. We don't operate under fixed fund timelines, forced exits, or pressure to manufacture liquidity'; 'No forced exits, no artificial timelines.' Allocator: holding company acquiring profitable online/internet businesses (10+ acquired; asset-backed, deal-by-deal capital). Operators not flippers. Tier 1 strict (no forced exits).",tech
evermore-ventures,Evermore,buy-and-hold software acquirer (forever),self_id,We buy founder-led software companies and grow them forever.,https://evermore-ventures.com/,YES,verified,batch5,"Hand-verified on Exa raw markdown of evermore-ventures.com homepage. Explicit contrast table: Evermore 'Build with a long-term mindset' vs Private Equity 'Flip your company in 3-5 years'; 'People > Profits.' Allocator: acquires founder-led software companies (10+ yrs, 90%+ retention, modest growth/healthy margins) to hold for decades (Danny & Scott; e.g. Software4Nonprofits, Quipu, Scaura). Tier 1 strict (grow forever vs flip). [STRICT CONFIRMED 2026-06-03 via on-page comparison table: 'Evermore: build with a long-term mindset' vs 'Private Equity Firms: Flip your company in 3-5 years'; criteria 'A path to build up, not strip down.' Names+rejects the PE-flip model.]",tech
sidenote,Sidenote,micro-SaaS buy-and-hold holdco (bootstrapped),self_id,"We buy, build, and grow, micro SaaS businesses to hold and love forever.",https://sidenotehq.com/,YES,verified,batch5,"[PROMOTED 2026-06-03 in_disguise->self_id: structural-permanence broadening per user; mechanism=buy-and-hold micro-SaaS, 'hold and love forever'] [DEMOTED 2026-06-03 strict->in_disguise: uniform name-and-reject re-audit. 'hold and love forever' + 'calmer/self-funding' = assertion; never names the alternative model. Genuine micro-SaaS acquirer (allocator); reversible.] Hand-verified on Exa raw markdown of sidenotehq.com homepage. Also: 'a bootstrapped holding company... grow using (mostly) our own cash flow, because we think that's a calmer, more sustainable approach'; 'small is beautiful and self-funding is the best way to grow.' Allocator: bootstrapped holdco acquiring tiny profitable SaaS ($25K-150K ARR, 85%+ gross margin) to hold forever (Daniel & Alfredo). Calm/indie-aligned. Tier 1 strict (hold forever). NASCENT/micro.",tech
4d-ventures,4D Ventures,anti-blitzscale patient SaaS VC (Europe) [IN-DISGUISE],self_id,"We are investing our own money; hence, we have no exit pressure ... we want to stay on board as long as possible so founders can build up their companies ... We are here for the very long run (if needed by a generation) without any exit pressure.",https://www.4d.ventures/investment-thesis,YES,verified,batch5-disguise,"IN-DISGUISE (Tier 2, S2/S3 anti-blitzscale + patient). Hand-verified on Exa raw markdown of 4d.ventures/investment-thesis. Also: 'We are investing our own money; hence, we have no exit pressure... we want to stay on board as long as possible'; 'we are patient capital & if it takes a few years longer, so be it.' Allocator: European late-seed B2B SaaS VC (>25K MRR), solo GP; backs growth but anti-blitzscale, no-exit-pressure (own money). In-disguise (growth-SaaS VC with a strong bootstrap/patient thesis; doesn't reject unicorns outright). | 2026-06-06 UPGRADE in_disguise->self_id: Tier1 'no exit pressure ... very long run (if needed by a generation)' verbatim on /investment-thesis (re-ground, inline-verified).",tech
henq,henQ,capital-efficiency B2B VC (Europe) [IN-DISGUISE],in_disguise,We are fine if you want to build a sustainable business without ever raising VC funding again.,https://www.henq.vc/,YES,verified,batch5-disguise,"IN-DISGUISE (Tier 2, S2/S3 capital-efficiency thesis). Hand-verified on Exa raw markdown of henq.vc homepage. Also: 'henQ companies use less funding and dilute less to grow to 60M ARR than the average VC-backed business'; 'no spray and pray.' Allocator: European B2B VC, initial tickets up to EUR10M, concentrated (~2 deals/yr), exit-bearing portfolio. In-disguise (conventional VC structure + capital-efficiency / sustainable-business thesis; doesn't reject unicorns).",tech
zebra-impact-ventures,Zebra Impact Ventures,zebra / impact VC (Switzerland) [IN-DISGUISE],in_disguise,This business model is framed as an alternative to the disrupting and profit-focused unicorn model.,https://zebraventures.ch/,YES,verified,batch5-disguise,"IN-DISGUISE (Tier 2, S1 zebra-vs-unicorn vocabulary). Hand-verified on Exa raw markdown of zebraventures.ch. Full: 'Zebra companies are both profitable and work to improve society... double bottom line... an alternative to the disrupting and profit-focused unicorn model.' Allocator: Swiss impact VC/PE boutique, early-to-growth tech (agri-food, decarbonization, water; led AgroSpheres $37M Series B; BCorp). In-disguise (zebra/impact, still growth/Series-B investing; doesn't reject unicorns outright).",mixed
zebras-and-company,Zebras and Company,zebra-company investor (Japan) [IN-DISGUISE],in_disguise,"we not only invest in and participate in the management of zebra companies but also collaborate with governments, financial institutions, and academic institutions both in Japan and overseas to create a movement and community that support zebras.",https://www.zebrasand.co.jp/en/,YES,verified,batch5-disguise,"IN-DISGUISE (Tier 2, S1 zebra-vs-unicorn). Hand-verified on Exa raw markdown of zebrasand.co.jp/en. Signal: 'The term of zebra was born as an antithesis to unicorn which aims to monopolize the market... and maximize market capitalization'; zebra companies 'pursue both social and economic goals.' Allocator: Japanese zebra investor (invests in + participates in management of zebra companies; 'Zebra Investment Scheme LIFE type1' independent of IPO plans). Tokyo. In-disguise (zebra movement; deploys capital into zebra companies).",mixed
waverock-software,Waverock Software,vertical software permanent holdco (US/Canada),self_id,A long-term home for niche software businesses — not a fund waiting to flip them.,https://waverocksoftware.com/,YES,verified,batch6,"Hand-verified on Exa raw markdown of waverocksoftware.com. Founder-led holding company (CEO Mike Rozenfeld, ex-Attainia/TA Associates) acquiring + operating niche vertical software ($2-15M ARR) for permanent hold. Explicit no-flip self-ID: 'We are not a fund. We are a home'; 'Most acquirers of vertical software operate on a four-to-six year clock. We do not'; Don't-list includes 'Quick flips or financial engineering', 'Milk companies for short-term cash', 'Chase vanity metrics or growth-at-all-costs.' Allocator: deploys acquisition capital, 20% founder equity rollover. Strict self_id.",tech
mosaic-software-group,Mosaic Software Group,permanent-capital software acquirer (US/Canada),self_id,"Our buy-and-hold philosophy, underpinned by our permanent capital base, ensures that we act in the long-term best interests for the team, customers, and company itself.",https://www.mosaicsoftwaregroup.com/,YES,verified,batch6,"[PROMOTED 2026-06-03 in_disguise->self_id: structural-permanence broadening per user; mechanism=permanent capital base + buy-and-hold] [DEMOTED 2026-06-03 strict->in_disguise: uniform name-and-reject re-audit. 'permanent capital / forever home / decades not quarters' = assertion; no explicit flip/sell/exit/fund-clock disclaimer. Genuine VMS acquirer (allocator); reversible.] Hand-verified on Exa raw markdown of mosaicsoftwaregroup.com. Permanent-capital investment firm (founding team started+exited their own enterprise software cos) acquiring B2B vertical / niche-horizontal software ($1-10M ARR), majority-to-100% ownership. Self-ID: 'Forever home'; 'buy-and-hold philosophy, underpinned by our permanent capital base'; value #1 'We take the long view... We think in decades, not quarters or years. We do not manage our business for short term results.' Explicitly contrasts vs PE (no team stability) and strategic acquirers (no cultural continuity). Strict self_id.",tech
jonas-software,Jonas Software,buy-and-hold software acquirer (Constellation/CSI group),self_id,"At Jonas, we buy and hold forever. This is our ""Software for Life"" promise that we never sell the businesses we acquire.",https://jonassoftware.com/being-acquired,YES,verified,batch6,"Hand-verified on Exa raw markdown of jonassoftware.com/being-acquired. Buy-and-hold acquirer of vertical-market software (owns 175+ companies). Explicit no-sell self-ID: 'Buy & Hold Forever: We have never sold a business'; 'we never sell the businesses we acquire.' NOTE: Jonas is an operating group of Constellation Software (CSI / TSX:CSU); admitted as the CONSTELLATION-FAMILY REPRESENTATIVE. Siblings Volaris, Vertus, Corvus, Andromeda carry identical explicit 'never sold a core business' language and are FLAGGED in blueprint (single-parent concentration) rather than each counted toward 50. Allocator: deploys acquisition capital. Strict self_id.",tech
