entity_id,name,website,assigned_verdict,page_type,self_described_class,class_match,note,final_status
d2-fund,D2 Fund,https://www.d2.fund/,genuine_misclassified,allocator,LMV,False,"Self-describes as a hands-on VC 'Funding capital-efficient software businesses' at pre-seed/seed with up to £2M checks plus debt & grants — an early-stage micro/indie VC (LMV), not the growth-stage 'm",genuine_flag_reclassify
seedtwo-capital,SeedTwo Capital,https://www.seedtwo.com/,genuine_misclassified,allocator,LMV,False,"Runs a Venture Fund for early-stage vertical SaaS+AI founders ('founders who've thought of an idea, built something real') alongside a growth fund; the seed/early-stage venture posture fits LMV rather",genuine_flag_reclassify
sequel-capital,Sequel Capital,https://www.sequel-capital.com/,genuine_correct,allocator,SMV,True,"Describes itself as a growth equity firm: 'We invest in and partner with Agentic B2B SaaS companies, helping them accelerate growth and maximise value at exit,' targeting bootstrapped capital-efficien",genuine_correct
mainsail-partners,Mainsail Partners,https://mainsailpartners.com/,genuine_correct,allocator,SMV,True,"Page states it is a 'growth equity firm investing in B2B software and AI-enabled companies' focused on founder-led, bootstrapped companies — non-unicorn growth equity consistent with the SMV bucket.",genuine_correct
serent-capital,Serent Capital,https://serentcapital.com/why-serent/,genuine_correct,allocator,SMV,True,Self-describes as a 'Private Equity Investment Firm for Software Companies' pairing capital with operating expertise across 70+ founder-led B2B software companies ($6B AUM); growth/PE allocator on boo,genuine_correct
mamba-growth,Mamba Growth,https://www.mambagrowth.com/investment-criteria/,genuine_correct,allocator,SMV,True,"States 'Mamba makes minority investments in exceptional founder and management-owned software companies,' deploying $5-15M+ into capital-efficient, bootstrapped/lightly-capitalized B2B software — grow",genuine_correct
five-elms-capital,Five Elms Capital,https://www.fiveelms.com/,genuine_correct,allocator,SMV,True,"Growth equity firm ($3B AUM) that invests $15-150M+ into founder-owned B2B software ('We invest in B2B software founders'); explicitly growth-oriented and software-focused, consistent with SMV.",genuine_correct
elsewhere-partners,Elsewhere Partners,https://elsewhere.partners/,genuine_correct,allocator,SMV,True,Describes itself as 'Lower Middle Market Software Private Equity' providing 'Growth Capital for B2B Software & Services Companies' to bootstrapped firms that 'have achieved a lot with a little' — non-,genuine_correct
sunstone-partners,Sunstone Partners,https://sunstonepartners.com/,genuine_correct,allocator,SMV,True,Self-describes as a 'growth-oriented private equity firm' often acting as 'their first institutional capital partner' to accelerate organic growth and fund acquisitions in tech-enabled services/softwa,genuine_correct
expedition-growth-capital,Expedition Growth Capital,https://expedition.capital/,genuine_correct,allocator,SMV,True,"Self-describes as growth-equity 'specialist partners for rapidly growing software & AI companies with a use for capital, not a need for it,' targeting bootstrapped founders — defensibly SMV (non-dilut",genuine_correct
silversmith-capital-partners,Silversmith Capital Partners,https://www.silversmith.com/,genuine_correct,allocator,SMV,True,Growth-equity investor partnering with profitable growth-stage tech/healthcare entrepreneurs ('growth equity is more than just capital'); it is a clear allocator and the SMV tag is defensible given it,genuine_correct
level-equity,Level Equity,https://www.levelequity.com/,genuine_correct,allocator,SMV,True,Self-describes as a 'lower middle market growth capital firm' providing minority/majority growth equity plus structured equity & credit ($6.5B AUM) to software companies — a non-classic-VC growth allo,genuine_correct
sureswift-capital,SureSwift Capital,https://www.sureswiftcapital.com/,genuine_correct,allocator,Portfolio Capital,True,"Page states 'Acquirers and Managers of Exceptional Businesses' whose model is to 'own and grow businesses' — a SaaS holding company / acquirer, correctly Portfolio Capital, not a broker.",genuine_correct
tiny,Tiny,https://www.tiny.com/,genuine_correct,allocator,Portfolio Capital,True,"Self-describes as 'We buy wonderful businesses' and 'Holds companies for the long term' with a family of 35+ owned businesses — a long-hold holding company, correctly Portfolio Capital.",genuine_correct
constellation-software,Constellation Software,https://www.csisoftware.com/,genuine_correct,allocator,Portfolio Capital,True,"Describes itself as 'Acquiring, Managing & Building Market-Leading Software' that 'acquires and supports vertical market software companies for the long term' — the canonical VMS serial acquirer/holdc",genuine_correct
volaris-group,Volaris Group,https://www.volarisgroup.com/,genuine_correct,allocator,Portfolio Capital,True,"States 'After completing hundreds of acquisitions, Volaris Group has never sold a business' and provides 'a permanent home' for software companies — a buy-and-hold VMS acquirer, correctly Portfolio Ca",genuine_correct
valsoft,Valsoft,https://www.valsoftcorp.com/,genuine_correct,allocator,Portfolio Capital,True,"Says 'We acquire mission-critical software companies and support them for the long term' across 150+ companies 'with a permanent capital mindset' — a serial VMS acquirer/holding company, correctly Por",genuine_correct
banyan-software,Banyan Software,https://www.banyansoftware.com/,genuine_correct,allocator,Portfolio Capital,True,"States 'We acquire leading software companies... in a permanent ownership model' and 'Over 100 companies acquired. Zero sold' — a permanent-hold software acquirer, correctly Portfolio Capital.",genuine_correct
saas-group,saas.group,https://saas.group/,genuine_correct,allocator,Portfolio Capital,True,"Self-describes as 'saas.group acquires SaaS companies with a bootstrapper mindset' and operates a portfolio/'family' of acquired SaaS products — a SaaS holding company/acquirer, correctly Portfolio Ca",genuine_correct
everfield,Everfield,https://everfield.com/,genuine_correct,allocator,Portfolio Capital,True,"Describes a 'decentralized holding model' as a 'long-term investor' for 40+ European B2B software businesses that it commits never to sell — a buy-and-hold software acquirer, correctly Portfolio Capit",genuine_correct
lumine-group,Lumine Group,https://www.luminegroup.com/,genuine_correct,allocator,Portfolio Capital,True,"States it 'acquires, strengthens, and builds communications and media software companies' with a 'buy-and-hold philosophy... we never sell' — a publicly traded VMS serial acquirer/holdco, correctly Po",genuine_correct
topicus,Topicus,https://www.topicus.com/,genuine_correct,allocator,Portfolio Capital,True,"Page states they ""build, acquire and manage industry specific software businesses,"" a pan-European vertical-market-software serial acquirer/holdco — squarely Portfolio Capital.",genuine_correct
aspire-software,Aspire Software,https://www.aspiresoftware.com/,genuine_correct,allocator,Portfolio Capital,True,"""Buy. Enhance. Grow."" model investing capital/resources into acquired software companies (NedFox, Jazzware, CORE Cashless) that run independently — a software serial acquirer.",genuine_correct
jonas-software,Jonas Software,https://www.jonassoftware.com/,genuine_correct,allocator,Portfolio Capital,True,"Self-describes as ""a leading acquirer of mission-critical vertical market software companies"" with a permanent buy-and-hold (""never sold a business"") model — Portfolio Capital.",genuine_correct
harris-computer,Harris Computer,https://www.harriscomputer.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden on both attempts, so no page text could be reviewed to confirm or classify the entity.",unverifiable_keep_flag
perseus-group,Perseus Group,https://www.csiperseus.com/,genuine_correct,allocator,Portfolio Capital,True,"Page calls them ""an experienced acquirer of software businesses"" under parent Constellation Software, buy-and-hold-forever — a software serial acquirer / Portfolio Capital.",genuine_correct
esw-capital,ESW Capital,https://www.eswcapital.com/,unverifiable,other,none,False,"Homepage returned HTTP 500 Internal Server Error on both fetch attempts, so no page content was available to verify the business or its class.",unverifiable_keep_flag
alpine-software-group,Alpine Software Group,https://www.alpinesg.com/,genuine_correct,allocator,Portfolio Capital,True,"Page: ""we acquire market-leading vertical SaaS companies and build them into world-class platforms"" (~60 acquisitions), companies run independently — a vertical-SaaS serial acquirer.",genuine_correct
scaleworks,Scaleworks,https://scaleworks.com/,genuine_correct,allocator,Portfolio Capital,True,"Page headline ""We Invest In & Operate B2B SaaS Companies"" with a 17+ company portfolio of acquired-and-operated software firms — a buy-and-operate holdco, defensibly Portfolio Capital.",genuine_correct
greater-sum-ventures,Greater Sum Ventures,https://greatersumventures.com/,genuine_correct,allocator,Portfolio Capital,True,"""Growth-focused investment firm... backed by our own capital—no formal funds and no forced finish lines,"" buy-and-build of vertical software — a self-capitalized holdco/acquirer, Portfolio Capital.",genuine_correct
arcadea-group,Arcadea Group,https://www.arcadeagroup.com/,genuine_correct,allocator,Portfolio Capital,True,"Self-described as ""Long-duration Vertical Software Growth Partners"" / ""VSaaS Experts"" with permanent-hold portfolio companies — a long-hold vertical-software acquirer, Portfolio Capital.",genuine_correct
tag-software-group,TAG Software Group,https://www.tagsoftwaregroup.com/,genuine_correct,allocator,Portfolio Capital,True,"Page: ""investors and operators dedicated to acquiring, enhancing, and growing mission-critical software companies"" and ""a permanent home... we don't buy to sell"" (under Valsoft) — Portfolio Capital.",genuine_correct
vertus-group,Vertus Group,https://www.vertusgroup.com/,unverifiable,other,none,False,"WebFetch returned empty/no page content on both attempts (likely JS-only render), so no text was available to verify the entity or its assigned class.",unverifiable_keep_flag
software-circle,Software Circle,https://www.softwarecircle.com/,genuine_correct,allocator,Portfolio Capital,True,"Homepage: 'Software Circle plc... is a UK based serial acquirer of great vertical market software businesses' — a serial acquirer/holdco buying software companies, squarely Portfolio Capital.",genuine_correct
chapters-group,Chapters Group,https://www.chaptersgroup.com/,genuine_correct,allocator,Portfolio Capital,True,"Homepage: 'CHAPTERS GROUP is a holding company investing in attractive small- and mid-sized enterprises' with permanent capital across 55+ operating companies — a holdco/serial acquirer, Portfolio Cap",genuine_correct
visma,Visma,https://www.visma.com/,genuine_correct,allocator,Portfolio Capital,True,"Homepage: 'We own and shape business software companies into market leaders' operating 150+ companies, with 'acquisition is the beginning of a new chapter... the backing of our capital' — a software s",genuine_correct
main-capital-partners,Main Capital Partners,https://main.nl/,genuine_correct,allocator,Portfolio Capital,True,"Homepage: 'invests exclusively in Enterprise Software companies' with 56 active software groups and 46 PE transactions in 2024 — an enterprise-software PE/serial-acquirer building software groups, def",genuine_correct
searchfunder,Searchfunder,https://www.searchfunder.com/,junk_not_allocator,network_or_membership,none,False,"Homepage: 'Searchfunder.com is an online community of searchers, investors, lenders, brokers and other professionals' — a community/network platform that deploys no capital itself, not an allocator.",confirmed_ecosystem_nonallocator
search-fund-alliance,Search Fund Alliance,https://www.searchfundalliance.org/,junk_not_allocator,network_or_membership,none,False,"Homepage: 'The Search Fund Alliance is a non-profit organization comprised of members... in the traditional search fund community' — an industry association/network for mentorship and best practices, ",confirmed_ecosystem_nonallocator
stanford-search-fund-center,Stanford Search Fund Center,https://www.gsb.stanford.edu/experience/about/centers-institutes/ces/research/search-funds,junk_not_allocator,other,none,False,"Page is Stanford GSB's Grousbeck-Holloway CES, which 'has conducted a series of studies on the performance of search funds' — an academic research center publishing studies, not an entity that invests",confirmed_ecosystem_nonallocator
pacific-lake-partners,Pacific Lake Partners,https://www.pacificlake.com/,genuine_correct,allocator,Search/ETA,True,Homepage frames itself around supporting/guiding search fund entrepreneurs ('We support ambitious search fund entrepreneurs in their journey to success'); it is a canonical search fund investor (large,genuine_correct
relay-investments,Relay Investments,https://www.relayinvestments.com/,genuine_correct,allocator,Search/ETA,True,Homepage: 'Relay acts as a lead investor in the majority of the search funds... investing $1M-$3.5M into the equity check for the searcher's future acquisition' — an explicit search fund capital alloc,genuine_correct
anacapa-partners,Anacapa Partners,https://www.anacapapartners.com/,genuine_correct,allocator,Search/ETA,True,"Homepage describes funding the search fund vehicle and acquiring businesses as 'patient investors' focused on 'long-term appreciation' — a search fund investor, Search/ETA.",genuine_correct
search-fund-partners,Search Fund Partners,https://www.searchfunds.net/,genuine_correct,allocator,Search/ETA,True,"Homepage: 'Investing in talented leaders on a quest to find, acquire, and lead a great company' via 'a bespoke... approach to search fund investing' — a search fund investor that backs and funds searc",genuine_correct
trilogy-search-partners,Trilogy Search Partners,https://www.trilogysearch.com/,unverifiable,other,none,False,"trilogysearch.com 302-redirects to a Sedo domain-parking/'domain for sale' lander, so the firm's site is dead and its business model cannot be verified from the page.",removed_non_entity
next-coast-eta,Next Coast ETA,https://www.nextcoasteta.com/,genuine_correct,allocator,Search/ETA,True,"nextcoasteta.com 301-redirects to nclpartners.com, which describes itself as a search-fund/operating firm that provides 'capital, technology, and operational support' to entrepreneurs acquiring lower-",genuine_correct
wsc-company,WSC & Company,https://www.wscandcompany.com/,genuine_correct,allocator,Search/ETA,True,"Site says 'We partner with extraordinary people to acquire enduring businesses' and centers on entrepreneurship-through-acquisition with $2-10M EBITDA targets, a direct equity ETA allocator.",genuine_correct
ambit-partners,Ambit Partners,https://www.ambit.partners/,genuine_correct,allocator,Patient Capital,True,"Describes 'supporting the world's best acquisition entrepreneurs with patient capital as they find, buy, and grow exceptional businesses' — they self-label 'patient capital' but functionally back ETA ",genuine_correct
miramar-equity-partners,Miramar Equity Partners,https://www.miramarequity.com/,genuine_correct,allocator,Search/ETA,True,"Runs both 'Miramar Private Equity' and 'Miramar Search Partners' and states 'MEP partners with passionate executives and operators to invest in industry-leading mid-sized businesses,' deploying family",genuine_correct
hunter-search-capital,Hunter Search Capital,https://www.huntersearchcapital.com/,genuine_correct,allocator,Search/ETA,True,States it has 'partnered with over 100 talented entrepreneurs... through a traditional search fund or an alternative Entrepreneurship through Acquisition (ETA) structure' and invested in 80+ companies,genuine_correct
alza-capital-partners,Alza Capital Partners,https://www.alzacapital.com/,unverifiable,other,none,True,"WebFetch failed with ERR_TLS_CERT_ALTNAME_INVALID on both www.alzacapital.com and alzacapital.com, so the homepage could not be read and the classification cannot be confirmed.",unverifiable_keep_flag
acquira,Acquira,https://www.acquira.com/,unverifiable,other,none,True,"acquira.com returned HTTP 403 Forbidden to WebFetch, so the page could not be read and the Search/ETA classification cannot be confirmed from the site.",unverifiable_keep_flag
mainshares,Mainshares,https://mainshares.com/,genuine_correct,allocator,Search/ETA,True,"mainshares.com 301-redirects to americanoperator.com, which states 'American Operator acquires small businesses from retiring owners and partners with the next-generation of proven industry operators'",genuine_correct
teamshares,Teamshares,https://www.teamshares.com/,genuine_correct,allocator,Patient Capital,True,Self-describes as 'a tech-enabled acquiror... We programmatically acquire companies with $0.5-5 million of EBITDA from retiring owners' and converts them to employee ownership — a buy-and-hold steward,genuine_correct
permanent-equity,Permanent Equity,https://www.permanentequity.com/,genuine_correct,allocator,Patient Capital,True,States they 'invest out of 30-year funds' and 'invest with no intention of selling (and have never sold a portfolio company)' — textbook permanent/patient capital.,genuine_correct
capitalpad,CapitalPad,https://capitalpad.com/,genuine_correct,allocator,Search/ETA,True,"Describes itself as 'a private equity co-investment group' that 'invests $1M to $2.5M in equity alongside experienced independent sponsors' and post-LOI search-fund deals, earning 20% carry (no fees t",genuine_correct
acquire-com,Acquire.com,https://acquire.com/,junk_not_allocator,marketplace_or_broker,none,False,"Self-describes as 'The largest marketplace to buy and sell profitable online businesses,' facilitating buyer/seller transactions with LOIs/escrow and buyer-side fees — a marketplace/broker that deploy",confirmed_ecosystem_nonallocator
flippa,Flippa,https://flippa.com/,junk_not_allocator,marketplace_or_broker,none,False,"Page self-describes as a global marketplace to 'List, connect, and sell your business' and 'Buy & Sell Online Businesses' earning transaction/listing fees, not deploying its own capital.",confirmed_ecosystem_nonallocator
empire-flippers,Empire Flippers,https://empireflippers.com/,junk_not_allocator,marketplace_or_broker,none,False,Calls itself the '#1 largest curated M&A marketplace' that vets and migrates online businesses between buyers and sellers for a fee; it does not invest its own capital.,confirmed_ecosystem_nonallocator
fe-international,FE International,https://feinternational.com/,junk_not_allocator,consultancy_or_advisor,none,False,"Self-describes as 'an award-winning strategic advisor for technology businesses' offering M&A/advisory services for fees, not an allocator deploying capital.",confirmed_ecosystem_nonallocator
quiet-light,Quiet Light,https://quietlight.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden on a single WebFetch, so the page could not be judged.",unverifiable_keep_flag
bizbuysell,BizBuySell,https://www.bizbuysell.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden on a single WebFetch, so the page could not be judged.",unverifiable_keep_flag
bizquest,BizQuest,https://www.bizquest.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden on a single WebFetch, so the page could not be judged.",unverifiable_keep_flag
axial,Axial,https://www.axial.net/,junk_not_allocator,network_or_membership,none,False,"Self-describes as 'a private deal network serving professionals who own, advise, and invest in North American lower middle market companies' — connective infrastructure, not a capital deployer.",confirmed_ecosystem_nonallocator
bitsfordigits,BitsForDigits,https://bitsfordigits.com/,junk_not_allocator,marketplace_or_broker,none,False,"Domain now 301-redirects to flippa.com ('The #1 Platform to Buy & Sell Online Businesses'), confirming it is a buyer-seller marketplace, not an allocator.",confirmed_ecosystem_nonallocator
microns,Microns,https://www.microns.io/,junk_not_allocator,marketplace_or_broker,none,False,Self-describes as a platform to 'Acquire profitable online businesses with confidence' listing micro-startups for sale between buyers and sellers; it does not deploy its own capital.,confirmed_ecosystem_nonallocator
acumen,Acumen,https://acumen.org/,genuine_correct,allocator,Patient Capital,True,"States 'We invest in entrepreneurs and help them build a more inclusive world' and explicitly characterizes its approach as 'patient capital,' matching the assigned Patient Capital class.",genuine_correct
founders-first-capital-partners,Founders First Capital Partners,https://foundersfirstcapitalpartners.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden on a single WebFetch, so the revenue-based-financing claim could not be verified from the page.",unverifiable_keep_flag
purpose-ventures,Purpose Ventures,https://purpose.ventures/,genuine_misclassified,allocator,UVC,False,Page describes a $55M early-stage VC fund investing Pre-Seed through Series B ('We back founders who are chasing after their life cause') with no evidence of permanent/evergreen or steward-ownership s,genuine_flag_reclassify
candide-group,Candide Group,https://candidegroup.com/,genuine_correct,allocator,Patient Capital,True,"Page describes an SEC-registered impact investment advisor that supports 'families, foundations, and other institutions who want their money flowing to social justice companies and funds building a ne",genuine_correct
rsf-social-finance,RSF Social Finance,https://rsfsocialfinance.org/,genuine_correct,allocator,Patient Capital,True,"Page states it has 'channeled over $1 billion into businesses and nonprofits' via loans and Social Investment Fund notes, i.e. a direct mission-driven lender/investor consistent with Patient Capital.",genuine_correct
common-future,Common Future,https://www.commonfuture.co/,genuine_correct,allocator,Patient Capital,True,"Page states 'We invest capital and provide back-office support to economic justice organizations,' so despite its 'systems catalyst/intermediary' framing it does deploy mission-driven capital, fitting",genuine_correct
zebras-unite,Zebras Unite,https://www.zebrasunite.org/,junk_not_allocator,network_or_membership,none,False,"Page describes 'a founder-led, cooperatively owned global movement' whose 'primary way of working is through providing fiscal sponsorship,' not deploying investment capital, so it is a movement/commun",confirmed_ecosystem_nonallocator
village-capital,Village Capital,https://vilcap.com/,genuine_correct,allocator,LMV,True,"Page states it unlocks capital 'by structuring, managing, and deploying funds through a variety of financing structures (such as equity, debt, and revenue-share)' for impact startups, an investing acc",genuine_correct
collab-capital,Collab Capital,https://collab.capital/,genuine_correct,allocator,Patient Capital,True,"Page states 'Collab Capital invests financial, human, and social capital to grow businesses' with $125M+ AUM across 40+ portfolio companies, a founder-led ownership-focused impact investor consistent ",genuine_correct
