entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes
wayra,Wayra,Patient Capital,Unknown Candidate,telco corporate venture capital,https://wayra.com/,active,public_web,Unknown,Unknown,Unknown,unknown,telco corporate venture capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,telco corporate venture capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
boxer-capital,Boxer Capital,Patient Capital,Unknown Candidate,venture_capital,https://www.boxercap.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
flare-capital-partners,Flare Capital Partners,Patient Capital,Unknown Candidate,venture_capital,https://www.flarecapital.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
hatteras-venture-partners,Hatteras Venture Partners,Patient Capital,Unknown Candidate,venture_capital,https://hatterasvp.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
lrvhealth,LRVHealth,Patient Capital,Unknown Candidate,venture_capital,https://www.lrvhealth.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
maverick-ventures,Maverick Ventures,Patient Capital,Unknown Candidate,venture_capital,https://maverickcapital.com/ventures,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
springtide-ventures,SpringTide Ventures,Patient Capital,Unknown Candidate,venture_capital,https://www.springtide.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
transformation-capital,Transformation Capital,Patient Capital,Unknown Candidate,venture_capital,https://transformcap.com/,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
synthesis-capital,Synthesis Capital,Patient Capital,Unknown Candidate,venture_capital,https://synthesis.capital,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
acton-capital,Acton Capital,Patient Capital,Unknown Candidate,venture_capital,https://www.actoncapital.com,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
capnamic-ventures,Capnamic Ventures,Patient Capital,Unknown Candidate,venture_capital,https://www.capnamic.com,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
elevator-ventures,Elevator Ventures,Patient Capital,Unknown Candidate,venture_capital,https://elevator-ventures.com,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
f2-venture-capital,F2 Venture Capital,Patient Capital,Unknown Candidate,micro_vc,https://www.f2vc.com/,active,public_web,Unknown,Unknown,Unknown,unknown,micro_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
mangrove-capital-partners,Mangrove Capital Partners,Patient Capital,Unknown Candidate,micro_vc,https://www.mangrove.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,micro_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
samaipata,Samaipata,Patient Capital,Unknown Candidate,venture_capital,https://samaipata.vc,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
slingshot-ventures,Slingshot Ventures,Patient Capital,Unknown Candidate,micro_vc_fund,https://www.slingshot.ventures,active,public_web,Unknown,Unknown,Unknown,unknown,micro_vc_fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro_vc_fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
smartfin,SmartFin,Patient Capital,Unknown Candidate,growth_equity_fund,https://smartfinvc.com,active,public_web,Unknown,Unknown,Unknown,unknown,growth_equity_fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,growth_equity_fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
verve-ventures,Verve Ventures,Patient Capital,Unknown Candidate,venture_capital,https://verve.vc,active,public_web,Unknown,Unknown,Unknown,unknown,venture_capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture_capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
xange,XAnge,Patient Capital,Unknown Candidate,micro_vc_fund,https://www.xange.vc,active,public_web,Unknown,Unknown,Unknown,unknown,micro_vc_fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro_vc_fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
2150,2150,Patient Capital,Unknown Candidate,urban-stack climate-hardware VC (Europe),https://2150.vc,active,public_web,Unknown,Unknown,Unknown,unknown,urban-stack climate-hardware VC (Europe),candidate supports industry mapping outside or adjacent to classic unicorn VC,urban-stack climate-hardware VC (Europe),62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
genesis-capital,Genesis Capital,Patient Capital,Unknown Candidate,Australia/NZ healthcare-specialty PE,https://genesiscapital.com.au/,active,public_web,Unknown,Unknown,Unknown,unknown,Australia/NZ healthcare-specialty PE,candidate supports industry mapping outside or adjacent to classic unicorn VC,Australia/NZ healthcare-specialty PE,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
hcvc-hardware-club,HCVC (Hardware Club),Patient Capital,Unknown Candidate,hardware / robotics / aerospace seed VC,https://www.hcvc.co,active,public_web,Unknown,Unknown,Unknown,unknown,hardware / robotics / aerospace seed VC,candidate supports industry mapping outside or adjacent to classic unicorn VC,hardware / robotics / aerospace seed VC,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
mercury-capital,Mercury Capital,Portfolio Capital,Unknown Candidate,Australia mid-market PE firm,https://www.mercurycapital.com.au/,active,public_web,Unknown,Unknown,Unknown,unknown,Australia mid-market PE firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,Australia mid-market PE firm,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
regen-ventures,ReGen Ventures,Patient Capital,Unknown Candidate,climate / programmable matter early-stage VC,https://www.regen.vc,active,public_web,Unknown,Unknown,Unknown,unknown,climate / programmable matter early-stage VC,candidate supports industry mapping outside or adjacent to classic unicorn VC,climate / programmable matter early-stage VC,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
