entity_id,name,atlas_layer,reason
visma,Visma,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
main-capital-partners,Main Capital Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pacific-lake-partners,Pacific Lake Partners,background,not in 258 tech base / non-tech
relay-investments,Relay Investments,background,not in 258 tech base / non-tech
anacapa-partners,Anacapa Partners,background,not in 258 tech base / non-tech
search-fund-partners,Search Fund Partners,background,not in 258 tech base / non-tech
next-coast-eta,Next Coast ETA,background,not in 258 tech base / non-tech
wsc-company,WSC & Company,background,not in 258 tech base / non-tech
ambit-partners,Ambit Partners,background,not in 258 tech base / non-tech
miramar-equity-partners,Miramar Equity Partners,background,not in 258 tech base / non-tech
hunter-search-capital,Hunter Search Capital,background,not in 258 tech base / non-tech
alza-capital-partners,Alza Capital Partners,background,not in 258 tech base / non-tech
acquira,Acquira,background,not in 258 tech base / non-tech
mainshares,Mainshares,background,not in 258 tech base / non-tech
teamshares,Teamshares,background,not in 258 tech base / non-tech
permanent-equity,Permanent Equity,background,not in 258 tech base / non-tech
capitalpad,CapitalPad,background,not in 258 tech base / non-tech
acumen,Acumen,background,not in 258 tech base / non-tech
founders-first-capital-partners,Founders First Capital Partners,background,not in 258 tech base / non-tech
rsf-social-finance,RSF Social Finance,background,not in 258 tech base / non-tech
common-future,Common Future,background,not in 258 tech base / non-tech
village-capital,Village Capital,background,not in 258 tech base / non-tech
collab-capital,Collab Capital,background,not in 258 tech base / non-tech
boston-impact-initiative,Boston Impact Initiative,background,not in 258 tech base / non-tech
temasek,Temasek,background,not in 258 tech base / non-tech
gic,GIC,background,not in 258 tech base / non-tech
mubadala,Mubadala,background,not in 258 tech base / non-tech
sanabil-investments,Sanabil Investments,background,not in 258 tech base / non-tech
public-investment-fund,Public Investment Fund,background,not in 258 tech base / non-tech
qatar-investment-authority,Qatar Investment Authority,background,not in 258 tech base / non-tech
bpifrance,Bpifrance,background,not in 258 tech base / non-tech
british-business-bank,British Business Bank,background,not in 258 tech base / non-tech
eic-fund,EIC Fund,background,not in 258 tech base / non-tech
european-investment-fund,European Investment Fund,background,not in 258 tech base / non-tech
nato-innovation-fund,NATO Innovation Fund,background,not in 258 tech base / non-tech
kfw-capital,KfW Capital,background,not in 258 tech base / non-tech
edbi,EDBI,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sginnovate,SGInnovate,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
khazanah-nasional,Khazanah Nasional,background,not in 258 tech base / non-tech
israel-innovation-authority,Israel Innovation Authority,background,not in 258 tech base / non-tech
innovate-uk,Innovate UK,background,not in 258 tech base / non-tech
in-q-tel,In-Q-Tel,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
high-alpha,High Alpha,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
atomic,Atomic,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
expa,Expa,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
betaworks,Betaworks,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
hexa,Hexa,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
rocket-internet,Rocket Internet,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
idealab,Idealab,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pioneer-square-labs,Pioneer Square Labs,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
human-ventures,Human Ventures,background,not in 258 tech base / non-tech
science-inc,Science Inc.,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
wilbur-labs,Wilbur Labs,background,not in 258 tech base / non-tech
juxtapose,Juxtapose,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
founders-factory,Founders Factory,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
entrepreneur-first,Entrepreneur First,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
antler,Antler,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
enhance-ventures,Enhance Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
team8,Team8,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
fractal-software,Fractal Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
weekend-fund,Weekend Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pioneer,Pioneer,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
hf0,HF0,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
venture10x,Venture10X,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
curious,Curious,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
apex-point-equity,Apex Point Equity,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
alley-street,Alley & Street,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
soft-equities,Soft Equities,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
river-saas-capital,River Saas Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
saas-growth-ventures,SaaS Growth Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
golden-section,Golden Section,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
novaspark-holdings,NovaSpark Holdings,background,not in 258 tech base / non-tech
entrepreneurship-through-acquisition-and-search-fund-resource-library,Entrepreneurship Through Acquisition and Search Fund Resource Library,background,not in 258 tech base / non-tech
evergreen-evergreensg-com,Evergreen (evergreensg.com),core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
everhold,Everhold,background,not in 258 tech base / non-tech
fund-for-employee-ownership,Fund for Employee Ownership,background,not in 258 tech base / non-tech
gt-entrepreneurs,GT Entrepreneurs,background,not in 258 tech base / non-tech
hold-co,HOLD.co,background,not in 258 tech base / non-tech
perpetual,Perpetual,background,not in 258 tech base / non-tech
perpetual-capital,Perpetual Capital,background,not in 258 tech base / non-tech
purpose-evergreen-capital,Purpose Evergreen Capital,background,not in 258 tech base / non-tech
search-fund-accelerator,Search Fund Accelerator,background,not in 258 tech base / non-tech
search-funds,Search Funds,background,not in 258 tech base / non-tech
springwater,Springwater,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sundance-growth,Sundance Growth,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
uk-sovereign-ai-fund,UK Sovereign AI Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
upliift,Upliift,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
meritholdings,Meritholdings,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
mosaic,Mosaic,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
office-of-strategic-capital-osc,Office of Strategic Capital (OSC),core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
float-finance,Float Finance,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
re-cap,Re:cap,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
red-forest-capital,Red Forest Capital,background,not in 258 tech base / non-tech
eta-equity,ETA Equity,background,not in 258 tech base / non-tech
nobody-studios,Nobody Studios,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
wildfront,Wildfront,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
itrinity,itrinity,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
asseco-group,Asseco Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
carlson-private-capital-partners,Carlson Private Capital Partners,background,not in 258 tech base / non-tech
funds-for-good,Funds For Good,background,not in 258 tech base / non-tech
macarthur-foundation,MacArthur Foundation,background,not in 258 tech base / non-tech
mission-driven-finance,Mission Driven Finance,background,not in 258 tech base / non-tech
mozilla-foundation,Mozilla Foundation,background,not in 258 tech base / non-tech
novo-nordisk-foundation,Novo Nordisk Foundation,background,not in 258 tech base / non-tech
pohlad-companies,Pohlad Companies,background,not in 258 tech base / non-tech
pritzker-group,Pritzker Group,background,not in 258 tech base / non-tech
bending-spoons,Bending Spoons,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
better-ventures,Better Ventures,background,not in 258 tech base / non-tech
forum-ventures,Forum Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
south-park-commons,South Park Commons,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
smb-investor-network,SMB Investor Network,background,not in 258 tech base / non-tech
sovereign-tech-fund,Sovereign Tech Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
the-builders-fund,The Builders Fund,background,not in 258 tech base / non-tech
aligned-climate-capital,Aligned Climate Capital,background,not in 258 tech base / non-tech
risefi,RiseFi,background,not in 258 tech base / non-tech
settle,Settle,background,not in 258 tech base / non-tech
83k-capital,83K Capital,background,not in 258 tech base / non-tech
andromeda,Andromeda,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
atlasview-equity,Atlasview Equity,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
broadtree-partners,Broadtree Partners,background,not in 258 tech base / non-tech
brydon-group,Brydon Group,background,not in 258 tech base / non-tech
dvg-partners,DVG Partners,background,not in 258 tech base / non-tech
patagonia-works,Patagonia Works,background,not in 258 tech base / non-tech
perpetua-capital,Perpetua Capital,background,not in 258 tech base / non-tech
founder-institute,Founder Institute,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
onesixone-ventures,OneSixOne Ventures,background,not in 258 tech base / non-tech
beacon-oral-specialists,Beacon Oral Specialists,background,not in 258 tech base / non-tech
heartland-dental,Heartland Dental,background,not in 258 tech base / non-tech
hummock-capital,Hummock Capital,background,not in 258 tech base / non-tech
snell-ventures,Snell Ventures,background,not in 258 tech base / non-tech
impact,Impact,background,not in 258 tech base / non-tech
vela-software-group,Vela Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
bridges-fund-management,Bridges Fund Management,background,not in 258 tech base / non-tech
fika-ventures,Fika Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
ford-foundation,Ford Foundation,background,not in 258 tech base / non-tech
founder-collective,Founder Collective,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
generation-investment-management,Generation Investment Management,background,not in 258 tech base / non-tech
heron-foundation,Heron Foundation,background,not in 258 tech base / non-tech
homebrew,Homebrew,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
iconiq-capital,Iconiq Capital,background,not in 258 tech base / non-tech
koch-industries,Koch Industries,background,not in 258 tech base / non-tech
kresge-foundation,Kresge Foundation,background,not in 258 tech base / non-tech
leapfrog-investments,LeapFrog Investments,background,not in 258 tech base / non-tech
long-journey-ventures,Long Journey Ventures,background,not in 258 tech base / non-tech
marlin-equity-partners,Marlin Equity Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
wefunder,"Wefunder,  ...",core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
prime-coalition,Prime Coalition,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
solen-software-group,Solen Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
hyperplane-venture-capital,Hyperplane Venture Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
apex-capital-group,Apex Capital Group,background,not in 258 tech base / non-tech
astia,Astia,background,not in 258 tech base / non-tech
caisse-de-d-p-t-et-placement-du-qu-bec,Caisse de dépôt et placement du Québec,background,not in 258 tech base / non-tech
calpers,CalPERS,background,not in 258 tech base / non-tech
calm-storm-ventures,Calm/Storm Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
capricorn-investment-group,Capricorn Investment Group,background,not in 258 tech base / non-tech
climate-investment-fund,Climate Investment Fund,background,not in 258 tech base / non-tech
diploma-plc,Diploma plc,background,not in 258 tech base / non-tech
green-climate-fund,Green Climate Fund,background,not in 258 tech base / non-tech
liberty-media,Liberty Media,background,not in 258 tech base / non-tech
loews-corporation,Loews Corporation,background,not in 258 tech base / non-tech
markel-ventures,Markel Ventures,background,not in 258 tech base / non-tech
norges-bank-investment-management,Norges Bank Investment Management,background,not in 258 tech base / non-tech
skoll-foundation,Skoll Foundation,background,not in 258 tech base / non-tech
sovereign-s-capital,Sovereign's Capital,background,not in 258 tech base / non-tech
aspect-investors,Aspect Investors,background,not in 258 tech base / non-tech
berkshire-partners-acquisitions,Berkshire Partners Acquisitions,background,not in 258 tech base / non-tech
caltius-equity-partners,Caltius Equity Partners,background,not in 258 tech base / non-tech
emerson-collective,Emerson Collective,background,not in 258 tech base / non-tech
national-investment-infrastructure-fund-india,National Investment & Infrastructure Fund (India),background,not in 258 tech base / non-tech
north-park-group,North Park Group,background,not in 258 tech base / non-tech
revtek-capital,RevTek Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
trilogy-software,Trilogy Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
enduring-ventures,Enduring Ventures,background,not in 258 tech base / non-tech
evermore-industries,Evermore Industries,background,not in 258 tech base / non-tech
lab-one-capital,Lab One Capital,background,not in 258 tech base / non-tech
long-holding-company,Long Holding Company,background,not in 258 tech base / non-tech
opalkadia,OpalKadia,background,not in 258 tech base / non-tech
sig-partners,SIG Partners,background,not in 258 tech base / non-tech
sagamore-mountain,Sagamore Mountain,background,not in 258 tech base / non-tech
saturn-five,Saturn Five,background,not in 258 tech base / non-tech
stoiclane,StoicLane,background,not in 258 tech base / non-tech
stonehelm-group,StoneHelm Group,background,not in 258 tech base / non-tech
traction,Traction,background,not in 258 tech base / non-tech
impro-ventures,Impro Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
startup-ignition,Startup Ignition,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
aij-global-holdings,AIJ Global Holdings,background,not in 258 tech base / non-tech
aegis-ventures,Aegis Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
align-capital-partners,Align Capital Partners,background,not in 258 tech base / non-tech
apis-heritage-capital-partners,Apis & Heritage Capital Partners,background,not in 258 tech base / non-tech
appalachian-capital,Appalachian Capital,background,not in 258 tech base / non-tech
arada-capital-partners,Arada Capital Partners,background,not in 258 tech base / non-tech
bow-river-capital,Bow River Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cofides,COFIDES,background,not in 258 tech base / non-tech
cranemere,Cranemere,background,not in 258 tech base / non-tech
crestmont-capital,Crestmont Capital,background,not in 258 tech base / non-tech
development-bank-of-southern-africa-dbsa,Development Bank of Southern Africa (DBSA),background,not in 258 tech base / non-tech
efficient-capital-labs,Efficient Capital Labs,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
fonsis-fonds-souverain-d-investissements-strat-giques,FONSIS (Fonds Souverain d'Investissements Stratégiques),background,not in 258 tech base / non-tech
garden-city-equity,Garden City Equity,background,not in 258 tech base / non-tech
grupo-santa-marta,Grupo Santa Marta,background,not in 258 tech base / non-tech
hoban-family-office,Hoban Family Office,background,not in 258 tech base / non-tech
impact-fund-denmark-ifu,Impact Fund Denmark (IFU),background,not in 258 tech base / non-tech
innesto-partners,Innesto Partners,background,not in 258 tech base / non-tech
ireland-strategic-investment-fund-isif,Ireland Strategic Investment Fund (ISIF),background,not in 258 tech base / non-tech
legacy-holdings,Legacy Holdings,background,not in 258 tech base / non-tech
legacy-search-partners,Legacy Search Partners,background,not in 258 tech base / non-tech
maharlika-investment-corporation-mic,Maharlika Investment Corporation (MIC),background,not in 258 tech base / non-tech
milk-street-ventures,Milk Street Ventures,background,not in 258 tech base / non-tech
moonbase-capital,Moonbase Capital,background,not in 258 tech base / non-tech
newton-equity-partners,Newton Equity Partners,background,not in 258 tech base / non-tech
nigeria-sovereign-investment-authority-nsia,Nigeria Sovereign Investment Authority (NSIA),background,not in 258 tech base / non-tech
norfund-norwegian-investment-fund-for-developing-countries,Norfund (Norwegian Investment Fund for Developing Countries),background,not in 258 tech base / non-tech
obran-cooperative,Obran Cooperative,background,not in 258 tech base / non-tech
patona-partners,Patona Partners,background,not in 258 tech base / non-tech
project-equity,Project Equity,background,not in 258 tech base / non-tech
pula-fund-bank-of-botswana,Pula Fund (Bank of Botswana),background,not in 258 tech base / non-tech
recurring-capital-partners,Recurring Capital Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
remote-first-capital,Remote First Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
smeventures,SMEVentures,background,not in 258 tech base / non-tech
spectra-investments,Spectra Investments,background,not in 258 tech base / non-tech
spectrum-equity,Spectrum Equity,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
superangel-fund,SuperAngel.Fund,background,not in 258 tech base / non-tech
ttcer-partners,TTCER Partners,background,not in 258 tech base / non-tech
tembo-search-partners,Tembo Search Partners,background,not in 258 tech base / non-tech
tet-ventures,Tet Ventures,background,not in 258 tech base / non-tech
vesta-software-group,Vesta Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
vibe-capital,Vibe Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
visible-hands-vhnyc-fellowship,Visible Hands (VHNYC Fellowship),core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
vistara-growth,Vistara Growth,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
volition-capital,Volition Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
wad-capital,WAD Capital,background,not in 258 tech base / non-tech
zero-1,Zero 1,background,not in 258 tech base / non-tech
base-case-capital,base case capital,background,not in 258 tech base / non-tech
alaska-permanent-fund-corporation,Alaska Permanent Fund Corporation,background,not in 258 tech base / non-tech
align-collaborate,Align Collaborate,background,not in 258 tech base / non-tech
alleyway-capital,Alleyway Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
american-operator,American Operator,background,not in 258 tech base / non-tech
apex-service-partners,Apex Service Partners,background,not in 258 tech base / non-tech
avon-river-ventures,Avon River Ventures,background,not in 258 tech base / non-tech
bahrain-mumtalakat-holding-company,Bahrain Mumtalakat Holding Company,background,not in 258 tech base / non-tech
bay-grove,Bay Grove,background,not in 258 tech base / non-tech
beacon-software,Beacon Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
big-band-software,Big Band Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
blenheim-chalcot,Blenheim Chalcot,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
blue-like-an-orange-sustainable-capital,Blue like an Orange Sustainable Capital,background,not in 258 tech base / non-tech
bluejay-capital,Bluejay Capital,background,not in 258 tech base / non-tech
british-columbia-investment-management-corporation-bci,British Columbia Investment Management Corporation (BCI),background,not in 258 tech base / non-tech
cpc,CPC,background,not in 258 tech base / non-tech
cake-ventures,Cake Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cephas-partners,Cephas Partners,background,not in 258 tech base / non-tech
cicero-capital,Cicero Capital,background,not in 258 tech base / non-tech
climate-fund-managers,Climate Fund Managers,background,not in 258 tech base / non-tech
coho-growth-capital,Coho Growth Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
continua,Continua,background,not in 258 tech base / non-tech
cornisa-capital,Cornisa Capital,background,not in 258 tech base / non-tech
cottonwood-acquisitions,Cottonwood Acquisitions,background,not in 258 tech base / non-tech
define-capital,Define Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
diagram,Diagram,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
empowered-ventures,Empowered Ventures,background,not in 258 tech base / non-tech
encore-one,Encore One,background,not in 258 tech base / non-tech
exa-capital,Exa Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
forum-family-office,FORUM Family Office,background,not in 258 tech base / non-tech
faith-driven-vc,Faith Driven VC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
fenix-holdco,Fenix Holdco,background,not in 258 tech base / non-tech
foundation-investment-partners,Foundation Investment Partners,background,not in 258 tech base / non-tech
fullsteam,Fullsteam,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
fundsquire,Fundsquire,background,not in 258 tech base / non-tech
greybull-stewardship,Greybull Stewardship,background,not in 258 tech base / non-tech
guardians-of-new-zealand-superannuation-nz-super-fund,Guardians of New Zealand Superannuation (NZ Super Fund),background,not in 258 tech base / non-tech
hanover-partners,Hanover Partners,background,not in 258 tech base / non-tech
hashed-health,Hashed Health,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
hassan-equity,Hassan Equity,background,not in 258 tech base / non-tech
