fund_id,name,tier,asset_class,confidence,flag,evidence_url,tech_enabled
startup-ignition-ventures,Startup Ignition Ventures,verified,SMV,high,2026-06-06 operator-directed: upgraded to self_id (on-page Elephants-not-Unicorns) + reclassified Nimble->SMV per Ethan ($250-500M acquisition outcomes). Page says 'capital-efficient' (why prior Nimble) but instrument=equity + venture-scale outcome => SMV.,https://www.startupignition.com/ventures/,yes
sts-ventures,STS Ventures,in_disguise,Nimble,high,2026-06-06 re-grounded: S3 verbatim confirmed on /about 'we seek for teams who generate revenues while managing their cost structure'.,https://sts-ventures.de/about,yes
tinyseed,TinySeed,anchor,Nimble,med,Micro/capital-efficient accelerator-fund (equity); could be SMV,https://tinyseed.com/,yes
upsidedown-vc,UpsideDown VC,in_disguise,Nimble,high,"2026-06-06 re-grounded (workflow agent was cost-hook-halted; recovered inline): anti-unicorn-model + S3 verbatim 'unicorn growth model. But there are plenty of phenomenal businesses ... who do not fit that mould'; revenue-based 'only repay when earning over GBP 2,500/month'.",https://www.upsidedown.vc/,yes
capacity-capital,Capacity Capital,in_disguise,Nimble,low,"2026-06-06 re-grounded: UNVERIFIABLE (own page returns empty body, confirmed 2x). No on-page signal. Recommend remove or browser-verify.",https://capacitycapital.co/,yes
alexandria-capital,Alexandria Capital,verified,Permanent,high,,https://alexcapital.co/,yes
banyan-software,Banyan Software,verified,Permanent,high,,https://www.banyansoftware.com/about,yes
based-holdco,Based,verified,Permanent,high,,https://www.basedinc.com/,yes
big-band-software,Big Band Software,verified,Permanent,high,,https://www.bigbandsoftware.com/,yes
calm-capital,Calm Capital,verified,Permanent,high,,https://www.calmcapital.com/,yes
collab-holdings,Collab Holdings,verified,Excluded-Traditional,high,"Traditional/real-economy: focuses on consumer brands (CPG/luxury), not software/tech-enabled. Own page 2026-06-03: 'A Di",https://collabfund.com/blog/collab-holdings/,review
concepts-io,Concepts.io,verified,Permanent,high,,https://concepts.io/,yes
croissant,Croissant,verified,Permanent,high,,https://croissant.today/,yes
curious,Curious (Curious Holdings),verified,Permanent,high,,https://www.curiousholdings.com/,yes
define-capital,Define Capital,verified,Permanent,high,,https://definecapital.ca/,yes
emikoly,Emikoly,verified,Excluded-Traditional,high,Traditional/real-economy: acquires operating businesses and real assets / infrastructure services. Own page 2026-06-03: ,https://emikoly.com/,review
enduring-ventures,Enduring Ventures,verified,Permanent,high,,https://www.enduring.ventures/about,yes
everfield,Everfield,verified,Permanent,high,,https://everfield.com/,yes
evergreen-ftg,Evergreen Financial Technology Group,verified,Permanent,high,,https://evergreenftg.com/,yes
evergreen-services-group,Evergreen Services Group,verified,Permanent,high,,https://www.evergreensg.com/,yes
everhold,Everhold,verified,Permanent,high, | 2026-06-17 flagged-pending->partial (operator-confirmed Permanent; still pre-deal/low-conf).,https://www.everhold.com/,partial
evermore-ventures,Evermore,verified,Permanent,high,,https://evermore-ventures.com/,yes
everroost,Everroost,verified,Permanent,high,,https://everroost.com/,yes
evigrow-software,EviGrow Software,verified,Permanent,high,,https://www.evigrowsoftware.com/about,yes
exa-capital,Exa Capital,verified,Permanent,high,,https://exacapital.co/our-private-equity-acquisition-approach/,yes
flying-founders,Flying Founders,verified,Permanent,high,,https://www.flyingfounders.com/,yes
gsg-genii,GSG GENII,verified,Permanent,high,,https://gsg-genii.com/en/,yes
heqs-investments,HEQS Investments,verified,Permanent,high,,https://www.heqs.com.au/investments,yes
inversion-capital,Inversion Capital,verified,Permanent,high,,https://www.inversioncap.com/,yes
jonas-software,Jonas Software,verified,Permanent,high,,https://jonassoftware.com/being-acquired,yes
kastellet-holdings,Kastellet Holdings,verified,Permanent,high,,https://www.kastholdings.com/,flagged-pending
leo-software-group,Leo Software Group,verified,Permanent,high,,https://www.leosoftwaregroup.com/,yes
long-tail-ventures,Long Tail Ventures,verified,Permanent,high,,https://ltv.so/,yes
micro-saas-capital,Micro SaaS Capital,verified,Permanent,high,,https://microsaascapital.com/,yes
mosaic-software-group,Mosaic Software Group,verified,Permanent,high,,https://www.mosaicsoftwaregroup.com/,yes
permanent-corp,Permanent Corp,verified,Permanent,high,,https://permanentcorp.com/,yes
permanent-equity,Permanent Equity,verified,Permanent,high,,https://www.permanentequity.com/,yes
quadra-group,Quadra Group,verified,Permanent,high,,https://www.quadragroup.co.uk/,yes
rainmatter,Rainmatter (by Zerodha),verified,Permanent,high,,https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,yes
shop-circle,Shop Circle,verified,Permanent,high,,https://shopcircle.co/,yes
sidenote,Sidenote,verified,Permanent,high,,https://sidenotehq.com/,yes
software-combined,Software Combined,verified,Permanent,high,,https://softwarecombined.com/,yes
solen-software-group,Solen Software Group,verified,Permanent,high,,https://www.solensoftwaregroup.com/why-solen,yes
sureswift-capital,SureSwift Capital,verified,Permanent,high,,https://www.sureswiftcapital.com/blog/the-sureswift-model,yes
tag-software-group,TAG Software Group,verified,Permanent,high,,https://www.tagsoftwaregroup.com/,yes
teoh-capital,Teoh Capital,verified,Permanent,high,,https://teohcapital.com/,yes
tiny,Tiny,verified,Permanent,high,,https://www.tiny.com/,yes
upliift,Upliift,verified,Permanent,high,,https://upliift.com/,yes
waverock-software,Waverock Software,verified,Permanent,high,,https://waverocksoftware.com/,yes
bridges-evergreen,Bridges Evergreen Holdings,verified,Impact Capital,med,Sovereign-candidate (impact) | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward).,https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,yes
lasting-ventures-capital,Lasting Ventures Capital,verified,Permanent,med,No future sale + distribution-based; could be Nimble,https://lastingventures.capital/,yes
malpani-ventures,Malpani Ventures,verified,Nimble,med,"2026-06-08 user-directed reclass Permanent->Nimble: early-stage capital-efficient equity micro-PE (INR 3-10cr first check; 'durability over blitz-scaling'; real portfolio Nexxio/Doco/Clodura.AI), NOT a buy-and-hold holdco. Subject to pending Ethan SMV/Nimble reconciliation.",https://www.malpaniventures.com/blog/a-quiet-reorientation,yes
purpose-evergreen-capital,Purpose Evergreen Capital,verified,Impact Capital,med,Sovereign-candidate (steward/impact) | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward).,https://purpose-economy.org/en/pec/,yes
purpose-ventures,Purpose Ventures,verified,Impact Capital,med,Sovereign-candidate (steward/impact) — revisit when Sovereign defined | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward).,https://purpose-economy.org/en/investment/,yes
software-circle,Software Circle,in_disguise,Permanent,high,"2026-06-06 re-grounded: permanent-hold S2 verbatim confirmed 'permanent home for their teams, management talent and culture'.",https://softwarecircle.com/,yes
5x-capital,5X Capital,provenance,Permanent,low,Patient no-forced-exit; provenance (no verbatim quote),https://fivexcapital.com/,yes
ascendant-ventures,Ascendant Ventures,in_disguise,Excluded-Traditional,low,"Traditional/Operator-candidate: generalist small-business ETA buyer; own-page priority sectors 'business services, energ",https://ascendantventures.com/,review
perpetuity-project,The Perpetuity Project,in_disguise,Permanent,low,Perpetual holdco; target economy possibly traditional,https://www.theperpetuityproject.com/,flagged-pending
microsaas-io,MicroSaaS.io,verified,Studio,high,Studio/acquirer/micro-seed — user-directed to Studio,https://microsaas.io/,yes
next-wave-partners,Next Wave Partners,verified,Studio,high,Venture studio + Safer — user-directed to Studio,https://nextwave.partners/building-forever-businesses/,yes
village-capital,Village Capital,provenance,Impact Capital,med,Sovereign-candidate (impact accelerator); provenance — not searched yet | 2026-06-17 reclass -> Impact Capital (impact accelerator; web-verify pending).,https://www.vilcap.com/,yes
zebra-impact-ventures,Zebra Impact Ventures,in_disguise,Impact Capital,low,"2026-06-06 re-grounded: signal WEAK (name-based 'rethinking growth'; no explicit verbatim camel/zebra-vs-unicorn quote). Stays Reserved (impact/Sovereign-candidate, parked). | 2026-06-17 reclass -> Impact Capital (impact + anti-PL signal; signal still weak, conf low).",https://zebraventures.ch/,yes
zebras-and-company,Zebras and Company,in_disguise,Reserved,low,"2026-06-06 re-grounded: UNVERIFIABLE (page JS-rendered / won't fetch via curl). Reserved, parked; needs browser fetch.",https://www.zebrasand.co.jp/en/,yes
noosa-labs,Noosa Labs,verified,Permanent,high,,https://noosalabs.com,yes
arising-ventures,Arising Ventures,verified,Permanent,high,,https://arisingventures.com,yes
impro-ventures,Impro Ventures,provenance,Reserved,low,"2026-06-06 ADDED operator-directed (Ethan-vouched, in-disguise group w/ Startup Ignition). BUT own page shows NO anti-unicorn signal: Africa/LATAM/SEA pre-seed-Series A sustainability venture; seeks 'category definer or global scalability'; a GP bio cites 'scaling startups to unicorn status'. not_outright_anti_unicorn; class pending operator clarification.",https://impro.ventures/,yes
delta-fund,Delta Fund,provenance,Impact Capital,low,"2026-06-06 ADDED operator-directed. Ethan: 'impact fund, related to our work but not the focus; deserves a mention'. Own page = economic-justice / community-wealth / 100% employee-ownership; rejects 'market rate returns'. NOT tech-enabled; adjacent-movement mention, not core admit. | 2026-06-17 reclass -> Impact Capital (operator/Ethan-vouched EXCEPTION: tech=no but admitted by directive; going-forward Impact requires tech-enabled).",https://www.delta-fund.org/,no
orbit-ventures,Orbit Ventures,provenance,Reserved,low,"2026-06-06 ADDED operator-directed. Ethan: 'impact fund, related but not the focus; mention'. Own page = emerging/frontier-market tech accelerator-VC ($75M invested) but GROWTH+EXIT oriented ('sustained, profitable high growth', 'Eight Companies, Eight Exits') - NOT anti-unicorn on own page. Adjacent mention, not core.",https://orbitventures.com/,yes
mainsail-partners,Mainsail Partners,in_disguise,SMV,high,reservoir-r1 2026-06-06: S2 deal-profile (invests in founder-led bootstrapped software companies). Tech-enabled growth equity. Inline-verified; no disqualifier.,https://mainsailpartners.com/,yes
union-group-fund,Union Group Fund,in_disguise,Nimble,high,"reservoir-r1 2026-06-06: S2 deal-profile (bootstrapped vertical SaaS, solopreneurs, livable/viable growth). Capital-efficient/modest -> Nimble. Inline-verified; no disqualifier.",https://www.uniongroupfund.com/,yes
serent-capital,Serent Capital,in_disguise,SMV,low,REAUDIT-FLAG: $6B-AUM growth-equity PE that exits ('celebrated our first exit'); genuine 'bootstrapped founders' focus but standard PE return model. Borderline - re-review.,https://serentcapital.com/why-serent/,yes
tvc-capital,TVC Capital,in_disguise,SMV,low,REAUDIT-FLAG: software growth-equity PE; 'capital-efficient $3M+ ARR' sourcing but does take-privates/roll-ups/recaps (exit model). Borderline - re-review.,https://tvccapital.com/fund-focus/,yes
expedition-growth-capital,Expedition Growth Capital,in_disguise,SMV,med,"reservoir-r1 2026-06-06: S2 deal-profile (bootstrapped software/AI founders). Mild growth lean (""category leadership"") -> conf med. Tech-enabled; no hard disqualifier.",https://expedition.capital/,yes
timia-capital,TIMIA Capital,in_disguise,Nimble,high,reservoir-r2 2026-06-06: explicit alternative-to-VC + non-dilutive for bootstrapped/lightly-capitalized B2B tech (Lighter Capital archetype). Nimble. Inline-verified; no disqualifier.,https://timiacapital.com/,yes
saas-group,saas.group,in_disguise,Permanent,high,reservoir-r4 2026-06-06: permanent-hold acquirer of bootstrapped SaaS (S2 deal-profile + bootstrapper mindset). Tech-enabled. Overturns stale prior-reject on current on-page evidence. Inline-verified.,https://saas.group/,yes
silversmith-capital,Silversmith Capital Partners,in_disguise,SMV,low,"REAUDIT-FLAG: large growth-equity PE ($20-125M checks, $2B+); genuine 'capital efficient / breakeven or profitable' criterion but exit-driven fund. Borderline - re-review.",https://www.silversmith.com/approach,yes
invictus-growth,Invictus Growth Partners,in_disguise,SMV,high,"discovery-r6 2026-06-06: S2 deal-profile (invests in bootstrapped OR capital-efficient B2B SaaS, $10M+ ARR). Tech-enabled. Inline-verified on own page; no power-law disqualifier.",https://www.invictusgrowth.com/,yes
updata-partners,Updata Partners,in_disguise,SMV,high,"discovery-r6 2026-06-06: S2 deal-profile (bootstrapped or lightly-capitalized software, capital-efficiency thesis). Tech-enabled growth equity. Inline-verified; no disqualifier.",https://updata.com/approach/,yes
apex-point-equity,Apex Point Equity,in_disguise,SMV,high,"intake-r8 2026-06-06: S2 deal-profile (invests in bootstrapped $500k+ ARR SaaS, SMB/PLG). Tech-enabled. Inline-verified; no disqualifier.",https://apexpointequity.com,yes
argentum-group,Argentum Group,in_disguise,SMV,high,"intake-r8 2026-06-06: S2 deal-profile (supports bootstrap, capital-efficient entrepreneurs building B2B software). Tech-enabled growth equity. Inline-verified; no disqualifier.",https://argentumgroup.com/about,yes
long-holding-company,Long Holding Company,in_disguise,Permanent,med,"reservoir-r13 2026-06-06: strong permanent-hold signal (we acquire forever / permanent home / no intention to sell). Acquires B2B information brands (publications, data, live events) + software -> tech-enablement PARTIAL/flagged (media+software mix). conf med. Inline-verified; no DQ. | 2026-06-17 flagged-pending->partial (operator-confirmed Permanent; footprint media-heavy).",https://www.longholdco.com/,partial
beacon-software,Beacon Software,in_disguise,Permanent,high,reservoir-r14 2026-06-06: permanent-hold software acquirer with explicit anti-PE-flip rejection (Unlike traditional private equity ... not to resell ... 3-5 years that jeopardize long-term). Tech-enabled (Main Street software). Inline-verified; no DQ.,https://beaconsoftware.com/,yes
penntech-holdings,PennTech Holdings,in_disguise,Permanent,high,reservoir-r15 2026-06-07: permanent-hold acquirer of profitable B2B technology companies w/ explicit anti-PE-flip. Tech-enabled. Inline-verified; no DQ.,https://www.penn-tech.com/,yes
workhorse-capital,Workhorse Capital,in_disguise,SMV,high,"reservoir-r15 2026-06-07: explicit anti-unicorn self-positioning (unicorn is mythical) + bootstrapper focus, software. SMV. Inline-verified; the unicorn mentions are anti-unicorn, not power-law.",https://workhorsegrowth.com/,yes
xo-capital,XO Capital,in_disguise,Permanent,high,"reservoir-r15 2026-06-07: buy-and-operate (permanent-hold) micro-SaaS holdco targeting bootstrapped/indie companies. Tech-enabled. Inline-verified; unicorn mention is podcast context, not model.",https://www.xo.capital/,yes
tangle-ventures,Tangle Ventures,in_disguise,Permanent,high,"proxy-r19 2026-06-07: permanent-hold digital/software acquirer, compounds over decades, capital-efficient, Companies Held 8. JS-rendered (verified via reader proxy). Tech-enabled.",https://tangleventures.io/,yes
tatonic-ventures,Tatonic Ventures,verified,Permanent,high,"Hand-verified on Exa raw markdown of tatonic.net (own homepage). Explicit permanent-hold self-ID: 'permanent holding company... not the exit'; 'We buy and hold forever. No forced exits'; '0 Forced Exits - We hold forever'; 'founders who are building businesses they never want to sell.' Allocator: 'We provide capital'; 50+ total investments, 9 active companies, est. 2018 Bozeman MT. DIVERSIFIED holdco - tech sleeve (AI/SaaS: FluencyAI, TaskForgeAI, Quarry Labs, FUND Montana) plus finance and hospitality/professional services (Death & Co, Jack Johnson Entertainment); tech_enabled=PARTIAL. Not Constellation-affiliated.",https://www.tatonic.net/,yes
junagal,Junagal,verified,Studio,med,"Hand-verified on Exa raw markdown of junagal.com (own homepage). Build-to-keep AI venture studio. Explicit no-exit self-ID: 'single owner, permanent capital, and no exit timeline'; 'Ownership is permanent. Dilution is not the plan.'; 'No LP pressure, no fund lifecycle, no deadline to sell'; 'Not optics, not exits, not the next fund cycle.' Allocator: 'originates, funds, and operates... deploy capital'; owns 4 AI products (ThirdRetail computer-vision, ASN Junagal, Career by Junagal, Celestia). FLAG: NASCENT/solo - London UK, est. 2024, single principal owner (Anil Junagal); past pre-first-deal (4 named operating products) but small. Fills thin Studio class.",https://junagal.com/,yes
acadian-software,Acadian Software,in_disguise,SMV,high,"Hand-verified on Exa raw markdown of acadiansoftware.com (own homepage + Who We Are). S2+S3: invests in proven, capital-efficient SaaS 'without consuming large amounts of equity capital' and holds 'for many years'; 'best companies dont need tens of millions'; 'bootstrapped SaaS businesses are a capital-efficient, profitable means of growth over the long-term.' Allocator: $2-30M equity, minority/majority; REAL bootstrapped portfolio (Klaviyo cash-flow breakeven, Convoke profitable no-further-equity, Roller, CaseGlide, SureCost, Style Arcade, Legible AI). Board incl. William Thorndike (author The Outsiders). Tech: SaaS. Offices Arlington VA + Boston.",https://www.acadiansoftware.com/,yes
nyo-capital,NYO Capital,in_disguise,SMV,med,"Hand-verified on Exa raw markdown of nyocapital.com (own About page). S2 bootstrapped deal-profile (Mainsail/Sequel archetype): 'specialized focus on... investing in bootstrapped, founder-led software companies'; 'empower growth-oriented, bootstrapped software companies... retaining their founding spirit'; 'growth equity and growth buyout partners... sustainable growth strategies.' Allocator: growth equity/buyout. Tech: software. FLAG: thin site, no portfolio shown -> med confidence; deal-profile explicit and on-archetype.",https://nyocapital.com/,yes
noygear,Noygear (Aware Partners),in_disguise,Studio,low,"Hand-verified on Exa raw markdown of noygear.ai (own homepage). Build-to-keep venture-studio arm of Aware Partners (single family-office-controlled PE fund). Structural no-forced-exit signal: 'Permanent capital means no liquidation pressure. Winners run on their own timeline'; 'No fund clock'; 'long-term ownership as the default'; 'Operator-owned - not software sold around them or on top of them.' Allocator: funds studio-originated software cos from one balance sheet (pre-seed $125K-500K). Tech: real-economy software (Casa/Casita CRE, med-tech, ed-tech). FLAGS: NASCENT (ventures launching 2026, several stealth); founder Al Buda is a unicorn/exit veteran (nineteen unicorns, two SaaS exits) though firm structure is permanent-capital/no-fund-clock; co-invests w/ outside capital at seed. LOW confidence - surface to Ethan.",https://noygear.ai/,yes
edited-capital,Edited Capital,in_disguise,SMV,med,"Hand-verified on Exa raw markdown of editedcapital.com (own homepage). S2/S3 deal-profile + anti-unicorn framing: 'small tech buyout space... underserved by VC and larger PE firms'; 'what if a startups potential wasnt measured by how fast it could grow, but by how much value it created'; 'rewrite the narrative of venture by changing the definition of success.' Exa-search of /about+/fund-iii surfaced supporting line: 'overlooked asset class: companies with proven revenue... that dont fit todays unicorn-or-bust model.' Criteria: B2B Tech + tech-enabled services, $3M+ rev, 50%+ gross margin, North America; control buyouts 50-75% equity. FLAG: closed-end PE fund (Fund III $150M, 7-yr term, 3-4x MOIC target) -> exits for returns; anti-unicorn framing is deal-profile (like Mainsail/Serent/TVC), not permanent-hold. Med confidence.",https://editedcapital.com/,yes
skoyen-software,Skoyen Software,in_disguise,Permanent,low,HELD_FOR_REVIEW: sitting HgCapital chairman pedigree; permanent claim needs scrutiny,https://skoyensoftware.com/,yes
gearbox-capital,Gearbox Capital,in_disguise,SMV,high,"Hand-verified on Exa raw markdown of gearboxcap.com (own homepage). Explicit S2+S3: 'Growth Capital for Bootstrapped Businesses'; 'We reject the notion of growth at any cost... we prioritize 15-30% growth sustained over a decade'; '10 year growth horizon'; focus 'Bootstrapped and founder led software, data or technology enabled services, $5MM+ rev, break-even or beyond.' Allocator: growth investments/recapitalizations - real portfolio (Greenshades recap, Office Timeline, Visme, DaySmart). Tech: SMB software/data. Founder Omair Sarwar (ex-SFW Capital). High confidence.",https://www.gearboxcap.com/,yes
recur-software,Recur Software,in_disguise,Permanent,med,"Hand-verified on Exa raw markdown of recurgrowth.com (own homepage). In_disguise signal: 'An enduring home for Wonderful Software Companies'; 'Patient capital. Careful stewardship. Lasting growth'; 'Not growth at all costs - growth that lasts'; 'We protect what founders built.' Acquires mission-critical vertical software ($1-10M ARR, 'Profitable, or close to it'); $650M+ deployed, $1B+ combined ARR, referenceable founders (Statii). Tech: vertical SaaS. FLAG: soft/marketing language + 'venture heritage'/institution-backed (no explicit never-sell, structural permanence unconfirmed) -> med confidence. Permanent-lean acquirer.",https://recurgrowth.com/,yes
govsoft-holdings,GovSoft Holdings,verified,Permanent,high,"Hand-verified on Exa raw markdown of govsoftholdings.com (own homepage). Explicit self-ID: 'capital is truly patient... long-term partners... over decades... we dont have to worry about... prepping for a sale'; 'we do not have traditional PE or VC investors that need a quick win - we build companies to last'; 'value... created over multiple cycles rather than a single exit'; decisions 'not to meet quarterly earnings reports or artificial fund deadlines.' Allocator: acquires GovTech/public-safety software - real named portfolio (Permitium [Dax Coan testimonial], Bludot [Sophia Zheng testimonial]). Tech: GovTech software/IT-enabled. Vertical-specific permanent holdco. NOTE: '0+' homepage stats are count-up animation placeholders; real portfolio confirms operating.",https://govsoftholdings.com/,yes
raptor-collective,Raptor Collective,self_id,Permanent,low,"HELD: strong self-ID + real team but NO named portfolio (allocator unconfirmed, pre-deal)",https://www.raptorcollective.com/,yes
pender-software-holdings,Pender Software Holdings,verified,Permanent,med,"Hand-verified on Exa raw markdown of pendersoftwareholdings.com (own homepage). Explicit permanent self-ID: 'A permanent home... not just an exit'; 'We're not here to flip your company for a quick profit. Backed by Pender Growth Fund, we have permanent capital... invested for the long haul... not finding a way out.' Allocator: acquires+operates software businesses ('our operating companies'). External corroboration: backed by Pender Growth Fund (PenderFund Capital Management, Vancouver; TSX-listed PGF). Tech: software acquirer. FLAG: no named portfolio shown on page (footprint rests on the public-fund backing) -> med confidence.",https://pendersoftwareholdings.com/,yes
software-holdings-au,Software Holdings,verified,Permanent,med,"Hand-verified on Exa raw markdown of softwareholdings.com.au (own homepage). Family office: 'partners with bootstrapped and profitable software companies'; 'raise once, get to profitability, and grow sustainably over time. We aim to be long-term holders of these businesses, reinvesting dividends back into growth.' Stats: 50+ yrs advisory, 30+ yrs investing in software, 16+ active portfolio companies (real footprint + longevity). Tech: software. Bootstrapped-founder focus; long-term holder => Permanent (family-office/patient). Australia.",https://www.softwareholdings.com.au/,yes
sacramento-labs,Sacramento Labs,verified,Studio,high,Hand-verified on Exa raw markdown of sacramentolabs.com/our-philosophy (own page). Build-to-keep studio: 'We build the products ourselves-from scratch... We don't hand off. We operate.' Explicit anti-unicorn/no-exit self-ID. Niche $15-50M/yr products too small for VC. Allocator: self-funded company creation + rev-share collabs. Rejects the 'venture studio' LABEL (means it doesn't bet on external teams) but IS systematic build-to-keep creation per our Studio def.,https://sacramentolabs.com/our-philosophy/,yes
waythor,Waythor,verified,Studio,med,"Hand-verified on Exa raw markdown of waythor.com (own homepage). Named portfolio: Scallin (infra automation), Horigam (creative-ops workflow), Dexotal (studio division). Explicit anti-flip + permanent: 'We don't flip companies. We run them. We buy to hold. No exit timelines.' Taxonomy rule #3 re-eligible studio. Allocator: builds+holds software cos. NOTE: builds AND acquires -> classed Studio per taxonomy designation; Studio<->Permanent borderline.",https://waythor.com/,yes
brooks-keitt,Brooks & Keitt,verified,Permanent,med,"Hand-verified on Exa raw markdown of brookskeitt.com (own homepage). Sion, Switzerland, est. 2021, 4 products, flagship ProntoID v4.0 (real footprint). Explicit anti-flip: 'Operate, don't flip'; 'No outside investors'; 'no exit strategy... not for sale.' Self-describes 'a holding company - not a studio, not a fund' -> classed PERMANENT (no-exit holdco that BUILDS rather than acquires), NOT Studio, to avoid miscategorization. Off-focus Permanent admitted as a clean stumble-upon, not mined.",https://brookskeitt.com/,yes
peakspan-capital,PeakSpan Capital,in_disguise,SMV,med,"Hand-verified on Exa raw markdown of peakspancapital.com/why-peakspan. Explicit anti-unicorn on-page: 'Scale with discipline... not the growth-at-all-costs narrative'; philosophy pieces 'Dont Go Chasing Unicorns' + 'Power Law: Why Portfolio Theory Stinks for Most Entrepreneurs.' Deal profile: Applied-AI B2B software $3-15M+ ARR, capital-efficient (75% growth), <$20M raised; 'durability over headlines.' Sub-unicorn outcomes (results $150-500M acquisitions/recaps) = SMV band; 57 partnerships. FLAG: dedicated 'Exit Preparation / PeakSpan Ascent' function + 150+ PE-firm relationships -> exit-driven growth equity (like Edited/Serent); anti-unicorn self-ID real but model seeks medium exits -> in_disguise/med. Tech: Applied-AI B2B software.",https://www.peakspancapital.com/why-peakspan,yes
finis-ventures,Finis Ventures,in_disguise,Studio,med,2026-06-08 promoted from held (user ruling: build-their-own studios count). Build-and-hold applied-AI studio; FLAG no announced portfolio -> footprint unverifiable.,https://finis.ventures/,yes
lojik-labs,Lojik Labs,in_disguise,Studio,med,"Hand-verified on Exa raw markdown of wearelojik.com (own homepage). Build-and-own vertical software studio (Madison/San Diego, founded 2024, self-funded, founder-owned 'No outside capital'). Explicit small-market/anti-unicorn thesis: 'niches too small for big tech... Target TAM $5M-$50M ARR. Big enough to own, small enough to be ignored.' Allocator: builds + owns IP of 11 products (Movee 2.4k users UW-Madison, MediVoz 3 clinics, TheProtocol live App Store 4.7star, Parlay Tracker). Builder-type studio (valid per 2026-06-08 ruling). FLAG: young (2024), many products beta/pilot, small/solo-ish + builder rev-share model -> med conf. Tech: vertical SaaS/AI.",https://wearelojik.com/,yes
sprinter-studio,Sprinter Studio,verified,Studio,med,"2026-06-17 admitted (re-filter of 2026-06-15 finds): build-and-own AI venture factory; anti-PL on core page 'we run dozens of experiments... only scale what works' + 'owned and operated forever'; named SaaS products (GetFoundInChat, ProtocolRank, Shreddify); 'every number is real and verifiable'. Tech=yes; allocator=build-and-own studio.",https://sprinter.studio/,yes
