lead_id,verdict,page_type,self_described_class,class_match,final_action,note
intake-curated2-fba083d0aced,genuine_correct,allocator,Patient Capital,True,keep_promotion_eligible,"Homepage frames foundation as 'ein Partner für visionäre und exzellente Wissenschaft' deploying capital via research professorships, project funding and scholarships — a perpetual purpose foundation deploying its endowment, consistent with "
intake-curated2-bff3af2a3b03,genuine_correct,allocator,Patient Capital,True,keep_promotion_eligible,"Homepage describes 'eine der großen unternehmensverbundenen Stiftungen in Europa' following 'das Vermächtnis von Robert Bosch' for 60 years, deploying capital via grant programs across health, education and global issues — perpetual charita"
intake-curated2-cc6839ee808a,junk_not_allocator,other,none,False,confirmed_junk,"Employee-owned operating retailer; homepage says 'Owned by partners, driven by strategy' — runs John Lewis/Waitrose stores, does not deploy capital into other companies."
intake-curated2-f64baff94c9e,junk_not_allocator,other,none,False,confirmed_junk,"Actual OGC site (organicgrown.com, not the lead's domain) calls itself 'the nation's only purpose driven, trust owned marketer of premium organic produce' — a purpose-trust operating distributor, not an allocator."
intake-curated2-9e55d7d883bf,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"Self-describes as delivering 'interaktive Datenanalysen, Planungs- und Simulationsinstrumente' for hospital strategy — software/analytics vendor, not a holdco that acquires companies."
intake-curated2-5531ce4c893f,unverifiable,other,none,False,keep_flag_unverifiable,"rebelcapital.io is a parked GoDaddy landing page (window.LANDER_SYSTEM='PW', adsense/domains script) that redirects to /lander — no firm content to verify."
intake-curated2-5ebd2e859ca9,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"'Entrepreneurs at heart, investors by profession' — DACH PE taking majority stakes in bootstrapped €5–50M software companies; fits Portfolio Capital roll-up thesis."
intake-curated2-20172c4b948e,unverifiable,other,none,False,keep_flag_unverifiable,"perpetualinvestors.com / www.perpetualinvestors.com fully unreachable (ECONNREFUSED, no HTTP response, no headers) — cannot judge allocator status."
intake-curated2-7af0c42a24ae,junk_not_allocator,marketplace_or_broker,none,False,confirmed_junk,"Homepage explicitly: 'Upstart is not the lender. All loans on Upstart's marketplace are made by regulated financial institutions' — AI matching marketplace, not a balance-sheet originator."
intake-web-df9bb2021804,junk_not_allocator,accelerator_no_capital,none,False,confirmed_junk,501(c)(3) nonprofit accelerator that 'takes no equity from the startups it supports' and funds operations via corporate sponsorships — zero capital deployment.
intake-web-d2a27101eef1,genuine_misclassified,allocator,Portfolio Capital,False,keep_flag_classification,"Self-describes as 'a software holding company focused on managing, building, and acquiring vertical market software' — Portfolio Capital, not SMV."
intake-web-4838ed4af0c4,junk_not_allocator,consultancy_or_advisor,none,False,confirmed_junk,"Homepage states 'We partner with Fortune 500 companies, private equity firms... to meet mission-critical hiring needs' — a financial recruitment / executive search firm, not an allocator; the URL itself is also an article path."
intake-curated3-474782a1c4e4,genuine_correct,allocator,Patient Capital,True,keep_promotion_eligible,"Self-financed permanent-equity holdco that 'intend[s] to own the companies we acquire — typically from retiring owners — indefinitely', acquiring small/medium businesses for the long term."
intake-curated3-81157666fa88,unverifiable,other,none,False,keep_flag_unverifiable,"Domain redirects to HugeDomains parking page stating 'OneOutdoor.com is for sale' at $9,295 — no live firm content to judge."
intake-curated3-67fed9219595,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,Operates as an aggregator/roll-up acquiring and owning brands across '150 retailers and marketplaces' with 'products... in over 80 million households' — classic e-commerce Portfolio Capital.
intake-curated3-b1b01e849b16,unverifiable,other,none,False,keep_flag_unverifiable,evermoreequity.com returns no fetchable content (empty body across homepage and /about) and no SERP results confirm this specific domain — cannot verify whether it is an allocator or which 'Evermore' entity it actually is.
intake-curated3-e2cc9075f200,genuine_correct,allocator,Sovereign Capital,True,keep_promotion_eligible,"Issues the Community Investment Note and Cut Carbon Note, 'mobilized more than $5 billion' to mission-driven funds, and is 'one of the most active private investors in blended finance' partnering with IDB/DFIs in first-loss/catalytic positi"
intake-curated3-062f455e62f8,genuine_misclassified,allocator,Patient Capital,False,keep_flag_classification,"Self-describes as 'a global, independent, specialist impact investor' with Private Equity, Private Credit, and PE Partnerships funds owned by the Blue Earth Foundation — a mission/impact long-hold private allocator (Patient Capital), not a "
intake-curated3-613ab39b69b2,unverifiable,other,none,False,keep_flag_unverifiable,"Homepage renders only the tagline 'HUMAIN | The end of limits' via JS; no investment, fund, PIF, or capital-deployment language is fetchable from /, /about, /our-vision, /news (all 404 or thin) so the page cannot be judged."
intake-curated3-e4d795beed4c,unverifiable,other,none,False,keep_flag_unverifiable,"perpetual-capital.com returns ECONNREFUSED on https/http and /about — domain is unreachable, so allocator status cannot be verified from the homepage."
intake-article-ee510cfe547d,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"carta.com homepage returns HTTP 403 to fetchers, but Carta is the cap-table/equity-management SaaS platform for issuers and fund admins — it does not deploy its own/LP capital into companies; target LMV is wrong."
intake-article-e362676e16df,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"Homepage self-describes as a directory: 'Discover the Best AI Tools for Every Workflow' — a curated AI-tools listicle/marketplace, not a fund or allocator."
intake-article-03e7d6da7d5a,junk_not_allocator,product_or_saas,none,False,confirmed_junk,reddit.com is a publicly known social-media discussion platform (publicly traded as RDDT) and does not deploy capital into companies; clearly an article-scrape artifact rather than an LMV fund.
intake-article-a7cfc224459c,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"telegram.org self-describes as 'a cloud-based mobile and desktop messaging app with a focus on security and speed' — a messaging product, not a capital allocator."
intake-article-b8cdd2bed0ed,junk_not_allocator,consultancy_or_advisor,none,False,confirmed_junk,"Homepage: 'We help businesses automate their operations using n8n, custom integrations, and purpose-built software' — a B2B automation services agency, not a fund or holdco."
intake-curated4-9090c7700f37,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"Homepage: 'We buy small profitable SaaS businesses' — a SaaS acquirer / micro holdco, fitting Portfolio Capital (small VMS/serial-acquirer)."
intake-curated4-5833d87d444a,genuine_correct,allocator,Search/ETA,True,keep_promotion_eligible,"Post-merger Acquisition Lab page describes itself as 'one of the largest funds in the ETA space' with EIR program and succession capital, plus 'Community. Capital. Capability.'"
intake-curated4-88a13ef39650,genuine_misclassified,allocator,none,False,keep_flag_classification,"Self-described 'software-focused, early-stage venture capital firm' investing '$1-10 million per company' in B2B SaaS — classic equity VC (UVC), not SMV/revenue-based."
intake-curated4-b40a6b2105d7,genuine_misclassified,allocator,none,False,keep_flag_classification,"'Frontline is the venture firm that facilitates frictionless transatlantic expansion' — Seed fund + Growth fund (Series B-D), classic equity VC, not SMV revenue-based/non-dilutive."
intake-curated4-4b0186b3da03,unverifiable,other,none,False,keep_flag_unverifiable,"Domain atempo.fund returns ECONNREFUSED on root, /about, /portfolio and all alternate domains tried — cannot judge allocator status or class."
intake-curated5-71ee23917da1,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,Self-describes as 'a permanent home for hyper-niche software products' and 'We buy software products from owners... to operate with no intention to sell' — vertical SaaS holdco.
intake-curated5-7f1f2f615819,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"Homepage: 'We invest in and grow software businesses' — B2B software acquisition fund targeting $1M-$5M ARR companies, hands-on operator."
intake-curated5-21e8f15de5c2,genuine_correct,allocator,LMV,True,keep_promotion_eligible,Describes itself as 'an early stage venture fund backing pre-consensus founders and ideas that break the mold' — micro/indie early-stage fund writing checks at pre-seed/seed.
intake-curated5-60696bb9eeff,unverifiable,other,none,False,keep_flag_unverifiable,"neo.com homepage is JS-only — page renders only 'Neo' header and an image placeholder, '/about', '/program', '/residency', '/companies' all equally thin; cannot read self-description."
intake-curated6-b8e8979c6568,genuine_misclassified,allocator,LMV,False,keep_flag_classification,"'global seed-focused venture capital firm... pre-seed and seed-stage' with $75M Fund II — a seed VC, not revenue-based SMV; better fits LMV (micro/early)."
intake-curated6-9e335e203e11,genuine_misclassified,allocator,none,False,keep_flag_classification,"'An early stage technology venture fund focusing on Southeast Asia' with $800M+ AUM, sovereign-wealth/foundation LPs — classic institutional growth-stage VC (UVC-style), not SMV revenue-based growth."
intake-curated6-fe960c1786f9,junk_not_allocator,marketplace_or_broker,none,False,rescued_allocator,"'Discover venture capital firms investing in startups worldwide' — a VC fund directory/database (Submit a Fund), not an allocator that deploys capital."
intake-curated6-ed9c791c11b2,unverifiable,other,none,False,keep_flag_unverifiable,Homepage returns empty/JS-only content and no public snippets ('No results found for inceptionfund.com'); cannot confirm an allocator or its class.
intake-curated6-0641abe9579e,genuine_misclassified,allocator,none,False,keep_flag_classification,"'the largest Brazilian VC' with ~$2B AUM and 'Fund XI' at $200M targeting LatAm tech — institutional early-stage tech VC, not SMV revenue-based growth capital."
intake-curated6-87937c77c4f6,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"'online daily fantasy sports website and mobile app' — Underdog Fantasy is a consumer DFS/sportsbook product (it RAISED VC), not a venture studio or holdco that deploys capital."
intake-curated6-27ded342aa66,genuine_correct,allocator,LMV,True,keep_promotion_eligible,"'empowers the next generation of European angel investors' — Atomico gives selected angels $100k each to deploy into early-stage startups; an angel-collective program, fits LMV."
intake-curated6-90a6945f2dc3,genuine_correct,allocator,LMV,True,keep_promotion_eligible,"'THE MOST ACTIVE BUSINESS ANGEL IN THE WORLD' and 'We invest 150k one off tickets in 100 new deals per year' — classic high-volume micro/angel allocator, fits LMV."
intake-web-fc6296544a3e,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"HVAC Ventures self-describes as 'building one high-value, integrated HVAC platform' via 'We Invest in You... Not Buy You Out' — HVAC roll-up = Portfolio Capital (name field is the site slogan, not the firm name)."
intake-curated7-04f94e89be27,unverifiable,other,none,False,keep_flag_unverifiable,ah-equity.com returns NXDOMAIN on Google DNS ('Non-existent domain') and ECONNREFUSED on direct fetch — cannot verify this is a real allocator from any homepage evidence.
intake-curated7-393b5e921365,junk_not_allocator,other,none,False,rescue_unverifiable,"perpetuocapital.com is a parked GoDaddy domain: redirects to '/lander' which forwards to 'forsale.godaddy.com/forsale/perpetuocapital.com' — domain is FOR SALE, no operating firm exists at this URL."
intake-curated7-1d4eb168c775,unverifiable,other,none,False,keep_flag_unverifiable,"courtneygroup.com returns a 202 'sgcaptcha' challenge meta-refresh ('content=""0;/.well-known/sgcaptcha/?r=%2F""') and never serves real content via HTTP fetch — homepage is unreadable for the gate."
intake-curated7-48d3118e4852,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,SDB self-describes via 'Our unique 3-in-1 model' partnering with pediatric/ortho/oral-surgery practices across 251 practices in 25 states — specialty dental roll-up consolidator = Portfolio Capital.
intake-curated7-ce021dfda555,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"Allied OMS explicitly calls itself a 'doctor-owned, doctor-led, doctor-governed private equity firm' that combines 'best-in-class... oral and maxillofacial surgery practices' — OMS roll-up/MSO = Portfolio Capital."
intake-curated7-7d1cfb175497,junk_not_allocator,other,none,False,rescued_allocator,"epic4partners.com redirects to '/lander' loading a GoDaddy parking template ('window.LANDER_SYSTEM=""PW""', 'ap:""parking""', adsense/domains/caf.js) — parked domain, no operating firm at this URL."
intake-curated7-6bdf5be280e5,genuine_correct,allocator,Portfolio Capital,True,keep_promotion_eligible,"MB2 self-describes as 'the largest Dental Partnership Organization in the country' with '1,700+ partner dentists' — DPO co-ownership model deploys equity capital into partner practices = Portfolio Capital roll-up."
intake-curated7-bf697bcc9ade,unverifiable,other,none,False,keep_flag_unverifiable,Homepage returns empty/JS-only content on fetch; cannot verify allocator status or class fit from page text.
intake-web-e0250e397295,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"Self-describes as 'Geographic market intelligence for PE firms backing location-based businesses' — a SaaS analytics tool, not a capital allocator."
intake-web-e74fe1c5f170,genuine_correct,allocator,SMV,True,keep_promotion_eligible,"Uplyft Capital originates MCA, term loans, and lines of credit: 'we put funding in the hands of the businesses that move the world forward' — non-dilutive growth capital, SMV fit."
intake-demoted-a5ef337aa5,genuine_misclassified,allocator,none,False,keep_flag_classification,"$315B AUM across 'direct lending business and complementary strategies', real assets, and 'GP Strategic Capital' minority stakes — mega private credit/GP-stakes manager, not Patient Capital."
intake-demoted-006de611bd,genuine_misclassified,allocator,none,False,keep_flag_classification,"Self-describes as 'Market-Leading Sponsor Finance Platform' and 'lender-of-choice for private equity sponsors' with $90B+ AUM — mega direct-lending/private credit, not Patient Capital."
intake-demoted-99fea2bce0,genuine_misclassified,allocator,none,False,keep_flag_classification,"Multi-strategy mega alt-asset manager across Private Equity, Growth & Venture, Capital Solutions, Credit, and Real Assets ('Asia Fund VI, raising $10.5 billion') — classic mega-PE, not Patient Capital."
intake-demoted-30f5772c1d,genuine_misclassified,allocator,none,False,keep_flag_classification,"Self-describes as 'One of the largest and most active technology focused investment firms in the world' running PE funds + credit — mega tech-PE, not Patient Capital."
intake-demoted-3f347f950b,genuine_misclassified,allocator,none,False,keep_flag_classification,"'European Growth Buyout investor' with €8bn+ AUM, ticket sizes €10-800M, focused on 'fast growing and profitable companies' in tech/healthcare — growth-buyout PE, not Patient Capital."
intake-demoted-42e378d5fa,genuine_misclassified,allocator,Portfolio Capital,False,keep_flag_classification,"Self-describes as 'A Leading Software Investor' running PE+credit roll-up of enterprise software ($107B AUM) — that's Portfolio Capital / mega-PE, not Patient Capital."
intake-curated8-bf979ada507d,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"Self-describes as a 'generalist early stage venture capital firm' with ~$1B deployed since 2011 across SF/Boston/NYC — institutional UVC, not LMV micro/solo-GP."
intake-curated8-0320ae49f4fb,genuine_correct,allocator,LMV,True,keep_promotion_eligible,'We Lead Pre-Seed Rounds' with $500k checks in ~70 startups/year — accelerator-style small-check pre-seed fund fits LMV.
intake-curated8-139e33c1fd83,unverifiable,other,none,False,keep_flag_unverifiable,Homepage and /about return no visible content via fetch (JS-only or blank) — cannot verify allocator status or self-description.
intake-curated8-28df21c4fad8,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"'We partner with leading entrepreneurs... to build technology platforms' plus a 'Build' studio program — multi-billion-AUM institutional UVC with studio arm, not LMV."
intake-curated8-840fa8587f89,genuine_correct,allocator,LMV,True,keep_promotion_eligible,'We're a group of some of the most successful and seasoned entrepreneurs in Southern California' investing in early-stage founders — operator-led seed fund fits LMV.
intake-curated8-9b18ee77d4a5,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"Self-describes as a 'Thesis-driven venture capital firm' partnering 'at the earliest stages' in crypto/AI — institutional UVC scale, not LMV micro/solo."
intake-curated8-9dd3cc584b47,junk_not_allocator,consultancy_or_advisor,none,False,confirmed_junk,"'real estate capital advisory firm' that arranges JV equity and LP investments from outside investors — intermediary that does not deploy its own capital, and is real estate (not Search/ETA)."
intake-curated8-c00536591f4e,unverifiable,other,none,False,keep_flag_unverifiable,Homepage repeatedly returned ECONNREFUSED across http/https/www variants; cannot read self-description from homepage.
intake-curated8-2fdd7fef1ed1,junk_not_allocator,marketplace_or_broker,none,False,rescued_allocator,"footbridge.com 302-redirects to telepathy.com, a domain broker: 'Telepathy offers a curated collection of resonant domain names'; the Footbridge Partners firm no longer occupies this domain."
intake-curated8-5f450e0064c8,unverifiable,other,none,False,keep_flag_unverifiable,tundra-capital.com homepage returned ECONNREFUSED across all variants; cannot verify self-description or allocator status.
intake-curated8-5641d2e607ea,unverifiable,other,none,False,keep_flag_unverifiable,westcoastsearchfund.com homepage returned ECONNREFUSED across all variants; cannot verify self-description from page text.
intake-curated8-efcd558d262c,unverifiable,other,none,False,keep_flag_unverifiable,rockco.com returned HTTP 403 Forbidden on homepage and /private-wealth subpage; cannot read self-description from the live page.
intake-curated8-46ba89b5aaa3,unverifiable,other,none,False,keep_flag_unverifiable,cascadeinvestment.com returned an essentially empty body (no descriptive text) on http/https and /about; nothing on the live homepage to read as self-description.
intake-curated8-346b7d759f5b,genuine_misclassified,allocator,none,False,keep_flag_classification,"tudor.com redirects to tudorfunds.com which describes 'a group of affiliated entities engaged in the management of client and proprietary assets' across fixed income/currency/equity/commodities - that is a hedge fund / asset manager, not a "
intake-curated8-7c3daf135c59,unverifiable,other,none,False,keep_flag_unverifiable,soros.com homepage returned ECONNREFUSED across http/https/www and /about; cannot read self-description from the live page.
intake-curated8-6ea831b1119e,junk_not_allocator,other,none,False,rescued_allocator,"Operating manufacturer ('Invented for life') across Mobility, Home, Industry; 94% held by Robert Bosch Stiftung foundation but makes products, does not deploy capital into companies."
intake-curated8-f39ccf0a9adb,junk_not_allocator,other,none,False,confirmed_junk,"Manufacturer of 'Power tools (cordless and corded), Fasteners and inserts, Construction chemicals' — operating product company, not a capital allocator."
intake-curated8-032c51fdafe3,junk_not_allocator,other,none,False,confirmed_junk,"Website URL is cargill.com (403, name/URL mismatch); Cargill is a private family-owned agri-commodities operator, not an allocator; lead is misidentified."
intake-curated8-29244ad4fcdb,unverifiable,other,none,False,keep_flag_unverifiable,Homepage shows only 'We're getting things ready / Loading your experience…' placeholder; about and operating-groups subpages identical; cannot verify allocator status from the page.
intake-curated8-7f06f4326ae9,junk_not_allocator,other,none,False,rescued_allocator,"'A premier global full-service aircraft asset manager' that acquires/finances/leases aircraft to airlines — physical asset lessor, not a Portfolio Capital holdco of operating companies."
intake-curated8-4c6399f684e9,junk_not_allocator,other,none,False,confirmed_junk,"Page is a shareholder notice — 'SG Enterprises has acquired all of the TIP Inc. shares that it didn't previously own'; both wireless subsidiaries sold 2022, taken private 2024; defunct as an active allocator."
intake-curated8-d3af5e1542ff,junk_not_allocator,other,none,False,confirmed_junk,"Redirects to The Kinetic Group; 'We engineer and manufacture the most accurate, powerful, and reliable ammunition in the world' — multi-brand operating manufacturer of ammo (CCI, Federal, Remington, Speer…), not a capital allocator."
intake-curated8-0794583b182e,unverifiable,other,none,False,keep_flag_unverifiable,tuckcarlton.com returns ECONNREFUSED on both / and bare-domain fetches; cannot judge from the live page.
intake-curated8-17d99838b9f3,genuine_misclassified,allocator,none,False,keep_flag_classification,"Self-describes as 'private investment specialist in financial services and technology' deploying PE/venture/credit across $75M-$2.5B EV — classic financial-services PE, not a holdco/roll-up Portfolio Capital firm."
intake-curated8-4a3b34db33c6,genuine_misclassified,allocator,none,False,keep_flag_classification,"'A private equity firm focused on fueling innovative software, data, and analytics market leaders in the mid-market' — software buyout PE, not a serial-acquirer holdco/roll-up that defines Portfolio Capital."
intake-curated8-14955a11adac,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"'Technology and software-focused investment firm' investing 'at all stages of growth' out of 'Battery Ventures XV, which is capitalized at $3.25 billion' — classic multi-stage unicorn VC, not Portfolio Capital."
intake-curated8-45b36fd6b23f,genuine_correct,allocator,Sovereign Capital,True,keep_promotion_eligible,'We partner with the world's leading innovators to turn breakthrough technologies into great businesses' with active portfolio across manufacturing/electricity/agriculture/transport/buildings — Gates-backed catalytic climate capital fits So
intake-curated8-ce17a4db9f7a,junk_not_allocator,accelerator_no_capital,none,False,rescued_allocator,"engine.xyz is The Engine, a 'nonprofit incubator and accelerator' providing 'infrastructure, programs, and ecosystem' — the page itself says Engine Ventures is a separate entity, so this URL is the no-capital accelerator, not the fund."
intake-curated8-78ecb7fb374f,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"'Bold, early, impactful ventures' and 'Venture Assistance. Not just Venture Capital' — name-brand Sand Hill multi-stage VC; UVC, not Sovereign Capital."
intake-web-e59037423ec0,junk_not_allocator,other,none,False,confirmed_junk,"sec.gov/search-filings is the U.S. Securities and Exchange Commission's EDGAR filings search — federal regulator, not a capital allocator (page returned 403 but the URL/domain is unambiguous)."
intake-web-5ea1373d8e10,junk_not_allocator,article_or_blog,none,False,confirmed_junk,"Page title scraped as if it were a firm; actual entity is Software Equity Group offering 'sell-side M&A services' with a 'curated record of select SaaS transactions' — M&A advisor/database page, not an allocator."
intake-web-7c1423d5b2bb,junk_not_allocator,marketplace_or_broker,none,False,confirmed_junk,"Acquiry self-describes as broker/advisor: 'facilitates the acquisition and sale of digital businesses globally. We execute buy-side and sell-side mandates' — intermediary, deploys no own capital."
intake-web-11ecc4d474ef,unverifiable,accelerator_no_capital,none,False,keep_flag_unverifiable,edc.nyc returned HTTP 403 to fetcher; page text not retrievable to confirm whether any capital is deployed beyond NYCEDC mentorship programming.
intake-curated9-dfdc3129526c,junk_not_allocator,other,none,False,confirmed_junk,"Self-described as 'a worker owned creative collective' that 'open source everything, spin out new businesses, and share profit' — operator/service collective, not a capital allocator into external companies."
intake-curated9-d9098fcb66ea,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"strongathletic.com is a 't-shirt company that supports athletes in sports and the fitness world' — apparel brand, no investment activity; name 'Strong Athletic Fund' does not match the actual site."
intake-curated9-41bda63ba89f,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"Self-describes as 'the early-stage B2B venture firm that connects founders to exceptional enterprise operators' with 200+ operator LPs — institutional early-stage B2B VC, not really LMV (solo/micro/indie)."
intake-curated9-c282cd9da324,unverifiable,other,none,False,keep_flag_unverifiable,riverside.ventures repeatedly returned ECONNREFUSED across host variants; homepage could not be loaded to judge allocator status.
intake-curated9-c14e9b66473b,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"foundersfund.com portfolio shown includes 'Anduril, SpaceX, Palantir' — Peter Thiel's multi-billion-AUM classic unicorn VC firm; tagging it 'LMV / contrarian seed' is wrong, this is canonical UVC and per CLAUDE.md UVC is never auto-promoted"
intake-curated9-8dea5489d2f1,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"Self-describes as a 'Thesis-Driven, Research-Centric Investment Firm' across AI/ML, crypto, bio, deep tech — institutional thesis VC, not an LMV solo/micro/indie fund."
intake-curated9-85ce0f16830d,genuine_misclassified,allocator,UVC,False,keep_flag_classification,"Self-describes as 'THE WORLD'S ORIGINAL CYBER-FOCUSED VENTURE FIRM' with Series A-Series C financing for $100M revenue-potential cyber startups; institutional VC, not LMV micro."
intake-curated9-011c7800f632,genuine_correct,allocator,LMV,True,keep_promotion_eligible,Focused early-stage VC: 'Seed and Series A. Full Stop.' writing checks in the '$2-7M range' for revenue-first enterprise software companies.
intake-curated9-561d6ac818b9,genuine_correct,allocator,LMV,True,keep_promotion_eligible,"Thematic construction-tech VC that says it 'Identify, invest in, and grow emerging companies' across the built-world innovation range; small focused seed/A fund consistent with LMV."
