entity_id,name,primary_asset_class,target_economy,is_tech_for_vertical,reason
silversmith-capital-partners,Silversmith Capital Partners,SMV,tech,True,'profitable founder-led technology and healthcare companies' — funds tech and healthtech growth companies.
level-equity,Level Equity,SMV,tech,False,Invests in/acquires 'rapidly growing software and technology-enabled businesses'; software is core.
sureswift-capital,SureSwift Capital,Portfolio Capital,tech,False,'buy-and-hold acquisitions of SaaS businesses'; bootstrapped SaaS — software product.
tiny,Tiny,Portfolio Capital,tech,False,"Acquires 'internet/SaaS/digital businesses, founder-led' — digital/software companies."
constellation-software,Constellation Software,Portfolio Capital,tech,False,Acquires 'vertical market software companies (mission-critical)' — software product.
volaris-group,Volaris Group,Portfolio Capital,tech,False,Buy-and-hold acquisitions of 'vertical market software companies'.
valsoft,Valsoft,Portfolio Capital,tech,False,'We acquire mission-critical software companies' in vertical markets — software product.
banyan-software,Banyan Software,Portfolio Capital,tech,False,Permanent home for 'vertical software businesses'; buy-and-hold software acquisitions.
saas-group,saas.group,Portfolio Capital,tech,False,Buy-and-hold acquisitions of 'bootstrapped SaaS companies' — software product.
everfield,Everfield,Portfolio Capital,tech,False,Long-term acquisitions of 'mission-critical European software companies (vertical markets)'.
lumine-group,Lumine Group,Portfolio Capital,tech,True,Acquires/builds 'communications and media software companies' — vertical software.
topicus,Topicus,Portfolio Capital,tech,False,Buy-and-hold of 'vertical market software companies in public & private sectors' — software.
aspire-software,Aspire Software,Portfolio Capital,tech,False,Buy-and-hold acquisitions of 'vertical market software companies'.
jonas-software,Jonas Software,Portfolio Capital,tech,False,Acquires 'mission-critical vertical market software companies' — software product.
harris-computer,Harris Computer,Portfolio Capital,tech,False,"'Acquirer of Vertical Market Software Businesses' (public sector, healthcare, utilities) — software."
perseus-group,Perseus Group,Portfolio Capital,tech,False,Buy-and-hold acquisitions of 'vertical market software businesses'.
esw-capital,ESW Capital,Portfolio Capital,tech,False,Acquires 'enterprise software' / software companies — software product.
alpine-software-group,Alpine Software Group,Portfolio Capital,tech,False,'We acquire market-leading vertical SaaS companies' — software product.
scaleworks,Scaleworks,Portfolio Capital,tech,False,"'We Invest In & Operate B2B SaaS Companies' (Mailgun, Chargify, etc.) — software."
greater-sum-ventures,Greater Sum Ventures,Portfolio Capital,tech,False,Partners with 'vertical software and tech-enabled service companies' in lower-middle market with ARR.
arcadea-group,Arcadea Group,Portfolio Capital,tech,False,'Long-duration Vertical Software Growth Partners' — funds vertical software.
tag-software-group,TAG Software Group,Portfolio Capital,tech,False,Acquires 'B2B and B2G software companies' with ARR — software product.
vertus-group,Vertus Group,Portfolio Capital,tech,False,"Targets 'software companies' — explicit software, though text is thin."
software-circle,Software Circle,Portfolio Capital,tech,False,Serial acquirer of 'vertical market software businesses' with recurring revenue.
chapters-group,Chapters Group,Portfolio Capital,tech,False,Targets 'small and medium software/digital businesses' — software/digital product.
visma,Visma,Portfolio Capital,tech,False,Permanent ownership of 'mission-critical business software companies' — software product.
main-capital-partners,Main Capital Partners,Portfolio Capital,tech,False,"Sector-specialist PE for 'Enterprise Software companies' across healthcare, banking, gov — software."
pacific-lake-partners,Pacific Lake Partners,Search/ETA,traditional,False,Funds search-fund CEOs 'acquiring mid-sized businesses'; no tech signal — generic operating businesses.
relay-investments,Relay Investments,Search/ETA,traditional,False,Lead investor in search funds acquiring 'privately held companies' for 6-10yr holds; no tech signal.
anacapa-partners,Anacapa Partners,Search/ETA,traditional,False,Search-fund equity into companies management runs with 'few radical changes'; no tech signal.
search-fund-partners,Search Fund Partners,Search/ETA,traditional,False,Search-fund equity into 'mission-critical businesses often overlooked'; no tech signal — operating businesses.
next-coast-eta,Next Coast ETA,Search/ETA,traditional,False,ETA/search equity for CEOs 'acquiring and growing businesses' in lower/middle market; no tech signal.
wsc-company,WSC & Company,Search/ETA,traditional,False,"ETA co-invest in 'lower-middle-market companies ($2-10m EBITDA), recurring/repeat revenue'; no tech signal."
ambit-partners,Ambit Partners,Search/ETA,traditional,False,Search-fund allocator; text thin with no tech signal — generic searcher-acquired SMBs.
miramar-equity-partners,Miramar Equity Partners,Patient Capital,traditional,False,Family-office PE + search acquiring 'industry-leading mid-sized businesses'; no tech signal.
hunter-search-capital,Hunter Search Capital,Search/ETA,mixed,False,"Searcher-acquired targets span 'medspa, HVAC distribution, healthcare software' — mix of physical SMBs and software."
alza-capital-partners,Alza Capital Partners,Search/ETA,mixed,False,Text is thin: 'search funds | search fund entrepreneurs' with no description of target companies or sector. No tech signal; cannot determine economy.
acquira,Acquira,Search/ETA,traditional,False,"Funds 'SMB acquisition' of 'cash-flowing small businesses (retiring owners)' via an acquisition accelerator. Main-street SMBs, no tech signal."
mainshares,Mainshares,Search/ETA,traditional,False,"Acquires 'Main Street SMBs from retiring owners (painting, plumbing, digital agency)'. Physical main-street businesses, traditional real economy."
teamshares,Teamshares,Patient Capital,traditional,False,"'tech-enabled acquiror' describes the firm, not targets; it buys 'small businesses with $0.5-5M EBITDA from retiring owners'. Targets are traditional SMBs."
permanent-equity,Permanent Equity,Patient Capital,traditional,False,Invests 30-year committed funds in 'small and medium businesses | durable private businesses' with $2-25M net profits. No tech signal; traditional SMBs.
capitalpad,CapitalPad,Search/ETA,traditional,False,"Co-invests in 'lower middle market acquisitions...established, profitable, non-cyclical businesses' by search funds. Lower-middle-market, no tech signal."
acumen,Acumen,Patient Capital,traditional,False,"Deploys Patient Capital to 'social enterprises in agriculture, education, energy, healthcare, jobs' in emerging markets. Real-economy social enterprises."
founders-first-capital-partners,Founders First Capital Partners,SMV,mixed,False,"Revenue-based loans to 'Service-based & B2B or B2G businesses with $500K-$10M+ revenue'. Vague service businesses, no tech signal; not clearly tech."
rsf-social-finance,RSF Social Finance,Patient Capital,traditional,False,"Finances 'Mission-driven businesses and nonprofits in Food and Agriculture, Climate and Energy, Education, Community Impact'. Real-economy sectors."
common-future,Common Future,Patient Capital,traditional,False,"Invests in 'Economic justice organizations, community-rooted organizations...cooperative business ecosystems'. Community/cooperative real economy, no tech."
village-capital,Village Capital,Patient Capital,mixed,False,"Funds 'Impact-creating startups in Climate Innovation & Adaptation, Economic Mobility, Equitable Access' globally. Mix of startups across non-tech impact themes."
collab-capital,Collab Capital,Patient Capital,mixed,False,"Invests in 'Industry-defining startups in Community Infrastructure, Healthcare Access, Economic Mobility'. Startups but across non-software impact spaces; not clearly tech."
boston-impact-initiative,Boston Impact Initiative,Patient Capital,traditional,False,"Funds 'Small businesses, worker cooperatives, Black/Latino-owned enterprises, community-owned real estate'. Local real-economy businesses and real estate."
temasek,Temasek,Sovereign Capital,mixed,False,"'global investment | global growth and innovation companies' — diversified sovereign portfolio, thin text, no clear tech-only signal. Do not guess tech."
gic,GIC,Sovereign Capital,mixed,False,"'Diversified across 40+ countries; deals include Anthropic, Brookfield, National Storage REIT, Neoenergia'. Tech alongside real estate/energy — diversified."
mubadala,Mubadala,Sovereign Capital,mixed,False,"'global strategic sectors' — diversified sovereign wealth fund, thin text, no software/tech-only signal. Mixed, not tech."
sanabil-investments,Sanabil Investments,Sovereign Capital,mixed,False,"'private investments | global private companies and funds' — diversified sovereign fund-of-funds, thin text, no tech-specific signal."
public-investment-fund,Public Investment Fund,Sovereign Capital,mixed,False,"Diversified globally/domestically: 'Giga-Projects, 220+ companies; Riyadh Air, FIFA, State Street ETF, King Street private credit'. Broad real-economy + finance."
qatar-investment-authority,Qatar Investment Authority,Sovereign Capital,mixed,False,"Diversified across 'Real Estate, Infrastructure, TMT, Healthcare, Financial Institutions, Retail, Industrials, Funds'. Broad sovereign portfolio, not tech-only."
bpifrance,Bpifrance,Sovereign Capital,mixed,False,"Public investment bank funding 'French entrepreneurs, French companies' across all sectors via loans, equity, export credit. Economy-wide, not tech-specific."
british-business-bank,British Business Bank,Sovereign Capital,mixed,False,"Funds 'UK smaller businesses across regions' economy-wide via debt/equity; 'tech and life sciences via LIFTS' is one slice. Broad SME mandate, not tech-only."
eic-fund,EIC Fund,Sovereign Capital,mixed,False,"Funds deep-tech across 'Advanced Manufacturing, Agri-Food, AI/Data, Built Environment, Climate Tech, Energy, Quantum, Space'. AI plus heavy physical sectors."
european-investment-fund,European Investment Fund,Sovereign Capital,mixed,False,"Backs 'European SMEs, infrastructure projects, fund managers (VC, PE, private credit, climate/infra funds)'. Economy-wide SME and infra mandate, not tech-only."
nato-innovation-fund,NATO Innovation Fund,Sovereign Capital,mixed,False,"Deep-tech across 'Novel Materials & Manufacturing, Energy, Space, AI, Autonomy, Quantum, Biotech, Hypersonics'. AI spread across heavy physical/hardware sectors."
kfw-capital,KfW Capital,Sovereign Capital,mixed,False,"'German and European venture funds' — fund-of-funds with thin text, no sector or tech-specific signal. Mixed, not clearly tech."
edbi,EDBI,Sovereign Capital,tech,False,"Invests in 'high-growth technology companies: AI, fintech, biotech, telecom, healthcare tech'; portfolio Carta, AlphaSense, Circles, Endowus. Tech-dominated."
sginnovate,SGInnovate,Sovereign Capital,tech,False,"'Invest in Deep Tech Startups' across 'emerging tech domains' in Singapore. Tech-dominated, no heavy physical-sector breakout in text."
khazanah-nasional,Khazanah Nasional,Sovereign Capital,mixed,False,"'Multi-sector domestic and global investments'; Dana Impak spans Mid-Tier Companies, Semiconductor/Advanced Manufacturing, VC. Diversified sovereign, not tech-only."
israel-innovation-authority,Israel Innovation Authority,Sovereign Capital,mixed,False,"Funds 'Israeli high-tech and deep-tech, AI/Bioconvergence, climate tech, critical minerals'. AI plus physical sectors (critical minerals, manufacturing accelerators)."
innovate-uk,Innovate UK,Sovereign Capital,mixed,False,Backs 'UK deep-tech businesses in priority sectors'; cites 'Future offshore wind £10M'. AI/deep-tech spread including heavy physical (offshore wind).
in-q-tel,In-Q-Tel,Sovereign Capital,tech,False,"Invests in 'startups in space, biotech, microelectronics, AI, and frontier tech' for national security; 1000+ investments, 50+ unicorns. Frontier-tech dominated."
high-alpha,High Alpha,Venture Studio,tech,False,"Creates and funds 'B2B SaaS / enterprise software companies'. Explicitly software/SaaS; horizontal B2B SaaS, not a single vertical."
atomic,Atomic,Venture Studio,tech,False,"Venture studio co-founding companies incl. conversational AI (Replicant), AI data centers, consumer health platform. Software/AI/platform companies."
expa,Expa,Venture Studio,tech,False,"Company studio building 'category-defining companies (biotech, fintech, air travel, real estate data, regulatory AI, cybersecurity)'. Predominantly software/digital."
betaworks,Betaworks,Venture Studio,tech,False,"Builds/invests in 'AI startups across agent systems, interfaces, app layer, native applications'; consumer internet tech. Software/AI companies."
hexa,Hexa,Venture Studio,tech,False,"Startup studio where 'founders build software companies from 0 to scale'; 50+ companies, $5B valuation. Explicitly software companies."
rocket-internet,Rocket Internet,Venture Studio,tech,False,'incubates and invests in internet and technology companies globally'. Explicitly internet/technology company formation.
idealab,Idealab,Venture Studio,tech,False,Technology incubator spinning 'big problems with technology solutions' into companies; tests tech ideas in parallel. Technology startups.
pioneer-square-labs,Pioneer Square Labs,Venture Studio,tech,False,Startup studio + VC creating 'technology startups' and early-stage companies via PSL Ventures. Explicitly technology startup formation.
human-ventures,Human Ventures,Venture Studio,mixed,False,"Builds 'human-needs companies in health, work, money, experience, connection, media'. Some digital but spans non-software consumer needs; not clearly tech."
science-inc,Science Inc.,Venture Studio,tech,False,Builds 'digital businesses' with 'digital company founders' — software/digital is the core product.
wilbur-labs,Wilbur Labs,Venture Studio,mixed,False,"Studio portfolio spans Vogo, Barkbus, Vitabox, Cincy Brands, Joblist, FinanceHQ — mix of physical-service/CPG and digital/fintech, no consistent tech core."
juxtapose,Juxtapose,Venture Studio,tech,False,Creates 'transformative technology businesses' paired with CEOs — technology is the core product.
founders-factory,Founders Factory,Venture Studio,tech,False,"Builds/funds 'Fintech, Industrials, Health, Deep Tech founders from idea to seed' — tech startups across sectors."
entrepreneur-first,Entrepreneur First,Venture Studio,tech,False,Turns individuals into funded founders building 'unicorn cofounding teams' / AI startups from scratch — software/tech ventures.
antler,Antler,Venture Studio,tech,False,Backs 'AI builders and category-defining companies' globally at pre-seed — tech startups.
enhance-ventures,Enhance Ventures,Venture Studio,tech,False,Venture studio building 'digital businesses' / early-stage ventures in MENAPT — digital is the core.
team8,Team8,Venture Studio,tech,False,"Builds 'Cybersecurity, Software Infrastructure, Fintech, Digital Health' companies — software/tech core."
fractal-software,Fractal Software,Venture Studio,tech,True,Launches 'vertical AI and industry-specific SaaS companies' — software serving traditional verticals.
weekend-fund,Weekend Fund,LMV,tech,False,Solo-GP writing early checks into 'consumer and B2B' startups (Product Hunt founder) — internet/software startups.
pioneer,Pioneer,LMV,tech,False,Accelerator for 'idea-stage and pre-seed' internet-native builders globally — software startups.
hf0,HF0,LMV,tech,False,Residency funding 'AI startups' / AI-native repeat founders — software/AI core.
venture10x,Venture10X,LMV,tech,False,"Backs 'lean, capital-efficient, high-growth B2B software companies' (plus some alt/public assets) — software-led."
curious,Curious,Portfolio Capital,tech,False,Permanent-capital holdco that 'acquires and builds leading software businesses' at $1M-$5M revenue — software.
apex-point-equity,Apex Point Equity,Portfolio Capital,tech,False,"Micro-PE acquiring 'B2B SaaS, founder led and bootstrapped, $500k+ ARR' — software."
alley-street,Alley & Street,Search/ETA,tech,False,Micro-PE/search fund acquiring 'undervalued micro-SaaS with strong unit economics' — software.
soft-equities,Soft Equities,Portfolio Capital,tech,False,Micro-PE acquiring/investing in 'early-stage SaaS companies with product-market fit' — software.
river-saas-capital,River Saas Capital,SMV,tech,False,"Non-dilutive capital (venture debt, RBF) for 'US-based B2B SaaS businesses with $150K+ MRR' — software."
saas-growth-ventures,SaaS Growth Ventures,LMV,tech,False,Seed/Series A equity into 'capital-efficient B2B SaaS companies' $500K-$5MM ARR — software.
golden-section,Golden Section,SMV,tech,True,Growth equity + RBF for 'B2B vertical SaaS founders' at $1M-$8M ARR — software serving verticals.
novaspark-holdings,NovaSpark Holdings,Portfolio Capital,mixed,False,"Permanent capital for 'software companies (SaaS, digital agencies) AND tech-enabled essential service businesses' — explicitly both software and physical service operators."
entrepreneurship-through-acquisition-and-search-fund-resource-library,Entrepreneurship Through Acquisition and Search Fund Resource Library,Search/ETA,mixed,False,"ETA resource library serving 'aspiring search-fund CEOs and small/mid-market business owners' across any sector — no tech signal, sector unspecified."
evergreen-evergreensg-com,Evergreen (evergreensg.com),Portfolio Capital,tech,False,"Acquires 'Technology Services companies' — managed IT, government IT, application software partners; targets are tech/IT firms, not physical assets."
everhold,Everhold,Portfolio Capital,mixed,False,Buys-and-holds founder-led B2B businesses 'particularly service providers or vertical SaaS platforms' — explicitly both physical services and software.
fund-for-employee-ownership,Fund for Employee Ownership,Patient Capital,traditional,False,"Acquires 'Northeast Ohio small-to-medium-sized companies with retiring owners' for employee ownership — local Main Street SMBs, no tech signal."
gt-entrepreneurs,GT Entrepreneurs,Search/ETA,traditional,False,"Search funds 'particularly construction, advanced manufacturing, supply chain' — physical real-economy businesses."
hold-co,HOLD.co,Portfolio Capital,traditional,False,"Acquires 'profitable, asset-backed companies in B2B manufacturing, industrial services, logistics, construction support' — physical assets."
perpetual,Perpetual,Patient Capital,mixed,False,"Text too thin — only 'Perpetual Investors GmbH' address, target companies unspecified."
perpetual-capital,Perpetual Capital,Patient Capital,mixed,False,"Control/minority in 'middle-market operating businesses, $5-50M cash flows' — sector unspecified, no tech signal."
purpose-evergreen-capital,Purpose Evergreen Capital,Patient Capital,mixed,False,"Patient capital for 'mid-sized companies / SMEs in steward-ownership' — sector unspecified, no tech signal."
search-fund-accelerator,Search Fund Accelerator,Search/ETA,mixed,False,"Funds searchers 'acquiring small businesses' — generic small businesses, no sector or tech signal."
search-funds,Search Funds,Search/ETA,mixed,False,"Search fund equity into 'business services, software & internet, healthcare' — explicitly mixes software and non-tech services."
springwater,Springwater,Portfolio Capital,tech,False,Entrepreneur-led acquirer of 'founder-led B2B SaaS €1-10m ARR' — software.
sundance-growth,Sundance Growth,SMV,tech,False,"Growth equity into 'B2B Software, mission-critical/system of record' bootstrapped companies — software."
uk-sovereign-ai-fund,UK Sovereign AI Fund,Sovereign Capital,tech,False,"Sovereign venture fund backing 'British AI startups, pre-seed to growth' — AI/software."
upliift,Upliift,Portfolio Capital,tech,False,Permanent equity acquirer of 'European B2B software €1-25m revenue in niche markets' — software.
meritholdings,Meritholdings,Patient Capital,tech,False,Buy-build-hold of 'software companies in niche verticals' (via family-business succession/MBO situations) — software targets.
mosaic,Mosaic,Portfolio Capital,tech,False,"Permanent-capital acquirer of 'B2B SaaS/on-prem $1-10M ARR, vertical or niche horizontal' — software."
office-of-strategic-capital-osc,Office of Strategic Capital (OSC),Sovereign Capital,tech,False,DoD financier across '31 covered technology categories / critical technology areas' incl. component-level tech — deep/strategic technology.
float-finance,Float Finance,SMV,tech,False,Revenue-based financing for 'European tech / SaaS companies with subscription revenue' — software.
re-cap,Re:cap,SMV,tech,False,Non-dilutive credit for 'European tech/growth/SaaS companies with recurring revenue' — funds software firms directly.
red-forest-capital,Red Forest Capital,Search/ETA,traditional,False,Search-fund family office backing entrepreneurs 'acquiring small businesses' — no tech signal.
eta-equity,ETA Equity,Search/ETA,traditional,False,ETA/search-fund PE 'investing in and supporting search fund entrepreneurs' acquiring small businesses — no tech signal.
nobody-studios,Nobody Studios,Venture Studio,tech,False,"'AI-native, high-velocity venture studio building portfolio of AI startups' — funds software/AI companies."
wildfront,Wildfront,Portfolio Capital,tech,False,'We buy SaaS companies' — acquires 'profitable SaaS and AI tools'; software is the product.
itrinity,itrinity,Portfolio Capital,tech,False,"Acquires 'SaaS businesses... uptime monitoring, email tools, geo-targeting' — software products."
asseco-group,Asseco Group,Portfolio Capital,tech,False,Federation acquiring 'innovative profitable software companies' producing their own software products.
carlson-private-capital-partners,Carlson Private Capital Partners,Patient Capital,mixed,False,Family patient equity for generic 'businesses with potential to create sustainable long-term value' — no sector/tech signal; too thin.
funds-for-good,Funds For Good,Patient Capital,traditional,False,"Honor loans to 'social entrepreneurs or those in precarious employment' — real-economy social enterprises, no tech signal."
macarthur-foundation,MacArthur Foundation,Patient Capital,mixed,False,"Grantmaker across Climate, Criminal Justice, Local News, AI Opportunity — broad social grants, not tech-company funding."
mission-driven-finance,Mission Driven Finance,Patient Capital,traditional,False,"Loans to 'small businesses & nonprofits', impact real estate, employee-ownership transitions — no tech signal."
mozilla-foundation,Mozilla Foundation,Patient Capital,mixed,False,"Nonprofit grantmaker funding 'changemakers, tech educators, community contributors' via grants/festivals — not a company-funder; thin."
novo-nordisk-foundation,Novo Nordisk Foundation,Patient Capital,mixed,False,"Grants to 'research institutions, life-science ecosystem', health & sustainability — wet-science/research, no software signal; broad foundation."
pohlad-companies,Pohlad Companies,Patient Capital,traditional,False,"Family operating company holding 'Minnesota Twins, operating subsidiaries' — physical operating businesses."
pritzker-group,Pritzker Group,Patient Capital,mixed,False,Permanent equity for generic 'entrepreneur- and family-owned companies' — no sector/tech signal; too thin to call tech.
bending-spoons,Bending Spoons,Portfolio Capital,tech,False,"Acquires 'iconic digital/software products' (Evernote, WeTransfer, Vimeo, Meetup) — software is the product."
better-ventures,Better Ventures,LMV,mixed,False,"Backs 'AI/ML, software, materials science, and biotechnology' — half software/AI, half hard-science deep tech; genuinely both."
forum-ventures,Forum Ventures,LMV,tech,False,"Pre-seed for 'B2B software founders', 'AI venture studio' from zero-to-one — software/AI startups."
south-park-commons,South Park Commons,LMV,tech,False,First-check equity for technical founders in 'deep-tech / AI / frontier domains' — software/AI/frontier tech.
smb-investor-network,SMB Investor Network,Search/ETA,traditional,False,Co-investment platform for 'lower-market SMB acquisitions' alongside search funds — no tech signal.
sovereign-tech-fund,Sovereign Tech Fund,Sovereign Capital,tech,False,"Public funding for 'open-source software components, maintainers, projects' — the funded economy is software infrastructure."
the-builders-fund,The Builders Fund,Patient Capital,mixed,False,"Growth equity for 'purpose-driven companies' in climate/regenerative food and social justice/wellness/health — mixed sectors, no tech signal."
aligned-climate-capital,Aligned Climate Capital,LMV,mixed,False,"Clean-energy 'Infrastructure and Venture' verticals — physical energy infra plus venture; page thin, genuinely mixed."
risefi,RiseFi,SMV,traditional,False,"Revenue/inventory-based financing for 'SMB merchants' on Shopify/WMS — funds goods-selling merchants and inventory, not tech firms."
settle,Settle,SMV,traditional,False,Working-capital/inventory financing for 'CPG brands and ecommerce businesses' — physical consumer-goods brands.
83k-capital,83K Capital,Portfolio Capital,traditional,False,"Permanent equity in 'property management, home services, essential-service SMBs' plus real estate — physical businesses."
andromeda,Andromeda,Portfolio Capital,tech,True,Permanent acquirer of 'vertical market software (VMS) companies' (Constellation network) — software serving verticals.
atlasview-equity,Atlasview Equity,Portfolio Capital,tech,False,Majority equity in 'lower-market software & tech-enabled businesses' — software/tech-enabled is the product.
broadtree-partners,Broadtree Partners,Search/ETA,mixed,False,"Lower-middle-market PE for 'privately held companies, ~75% recurring revenue' — recurring revenue alone isn't tech; no software mention."
brydon-group,Brydon Group,Search/ETA,mixed,False,Descriptor says 'vertical software' but self-description is purely 'scale small businesses' via CEO-in-Residence — conflicting/thin tech signal.
dvg-partners,DVG Partners,Search/ETA,traditional,False,Veteran-owned platform managing 'lower middle market operating businesses' — no tech signal.
patagonia-works,Patagonia Works,Patient Capital,mixed,False,"Holdco backing 'responsible start-up companies' for 'positive benefit to the environment' — sector unspecified, no tech signal; thin."
perpetua-capital,Perpetua Capital,Patient Capital,mixed,False,"Family office across 'Equities, Real Estate, Commodities, Impact, Venture Capital' — multi-asset, spans physical and venture."
founder-institute,Founder Institute,LMV,tech,False,'World's Largest AI-Native Company Builder' accelerator + VC fund for early-stage founders — tech/AI startups.
onesixone-ventures,OneSixOne Ventures,LMV,mixed,False,Only 'pre-seed venture fund / platform / community' with no target description — too thin to determine economy.
beacon-oral-specialists,Beacon Oral Specialists,Portfolio Capital,traditional,False,Roll-up of 'oral and maxillofacial surgeons / established practices' (DSO-style) — physical medical practices.
heartland-dental,Heartland Dental,Portfolio Capital,traditional,False,"Dental Support Organization affiliating 'dentists and dental practices' (1,900 offices) — physical practices."
