class,class_name,subclass,subclass_name,name,tier,target_economy,geography,anchor_class,self_id_quote,evidence_url,note
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Shop Circle,verified,tech,"AI-native, EU/NA",,"Our role is to provide a permanent home where your company can continue to thrive... No pressure to exit, just durable growth.",https://shopcircle.co/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Software Combined,verified,tech,Europe & Oceania,,"Whether you think of us as an invested strategic advisor, or a 'forever home' for your business, we will make long-term commitment to your vision and your people.",https://softwarecombined.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Solen Software Group,verified,tech,,,"As a holding company with an indefinite time horizon, we have no intention of selling your business. When we invest in a company, we go 'all in' for the long haul.",https://www.solensoftwaregroup.com/why-solen,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,SureSwift Capital,verified,tech,,,we're not looking to flip businesses or maximize profits at the cost of long-term viability... we never assume an expiration date... we buy businesses with the expectation that we'll be operating them in the long run.,https://www.sureswiftcapital.com/blog/the-sureswift-model,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,TAG Software Group,verified,tech,,,TAG provides a permanent home for software companies — we don't buy to sell.,https://www.tagsoftwaregroup.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Upliift,verified,tech,,,"We're here to help your business thrive, not flip it.",https://upliift.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Waverock Software,verified,tech,US/Canada,,A long-term home for niche software businesses — not a fund waiting to flip them.,https://waverocksoftware.com/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,Based,verified,tech,,,"A long-term holding company partnering with entrepreneurial leaders to build, acquire, and grow enduring companies.",https://www.basedinc.com/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,Long Tail Ventures,verified,tech,US,,"We acquire businesses to operate them, not to flip them. If an exceptional exit opportunity arises, we may pursue it — but exits are optional, not required.",https://ltv.so/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,Micro SaaS Capital,verified,tech,Toronto,,"We build for the long-term with permanent capital - our holding period is forever (we do not ""flip"").",https://microsaascapital.com/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,MicroSaaS.io,verified,tech,Copenhagen/Finland,,"We build products meant to last - not to flip... No outside pressure, no growth-at-all-costs mentality.",https://microsaas.io/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,Sidenote,verified,tech,,,"We buy, build, and grow, micro SaaS businesses to hold and love forever.",https://sidenotehq.com/,
A,Portfolio Capital,A2,Micro-SaaS & internet-business permanent acquirers,Tiny,verified,mixed,,,[on-page comparison table] Venture Capital: 'Pressure to provide 10-100X returns'; Private Equity: 'Typically flip your company in 3-5 years'; Tiny: 'Holds companies for the long term.',https://www.tiny.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Calm Capital,verified,mixed,,,"Not in the ""hair on fire,"" ""growth at all costs,"" or ""buy and flip"" way, but the principled, patient, and persistent way... The Calm Capital way.",https://www.calmcapital.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Collab Holdings,verified,mixed,US,,"Collab Holdings is a new private equity strategy, purpose-built to be a long-term home for extraordinary consumer brands. No forced exits. No ten-year clock. Success measured by cash flow and customer devotion, not by how quickly we can engineer an exit.",https://collabfund.com/blog/collab-holdings/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Concepts.io,verified,mixed,US software/services/infra,,We acquire with the intent to hold indefinitely. We are not building a portfolio to flip.,https://concepts.io/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Emikoly,verified,mixed,US lower-middle-market,,"We do not have a fund life. We acquire businesses to own indefinitely. Our time horizon is generational, measured in decades not quarters.",https://emikoly.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Everhold,verified,mixed,,,to acquire exceptional small businesses and hold them forever. We're not a private equity firm.,https://www.everhold.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,HEQS Investments,verified,mixed,Australia,,"We invest from our own balance sheet, not a fund with a five-year clock. There is no exit window and no pressure to flip.",https://www.heqs.com.au/investments,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Inversion Capital,verified,mixed,,,We raised permanent capital. No fund. No timeline. No mandate to sell. The only way we make money is if the business does well for a very long time.,https://www.inversioncap.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Kastellet Holdings,verified,mixed,US/Denmark,,Private equity buys companies to sell them again in three to seven years... Kastellet is different. Our capital is permanent.,https://www.kastholdings.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Permanent Corp,verified,mixed,US,,"Permanent Corporation acquire profitable, niche B2B businesses and never sells.",https://permanentcorp.com/,
A,Portfolio Capital,A3,Diversified & generalist permanent holdcos,Teixo,verified,mixed,Portugal,,We buy good Portuguese businesses and hold them indefinitely. No fund cycle. No forced exit. No financial engineering.,https://teixo.co/,
B,Patient Capital,B1,Permanent-equity investors,Enduring Ventures,verified,mixed,,,"We're different from most VC and PE firms in that we operate the businesses we own for sustainability, and not growth at all-costs.",https://www.enduring.ventures/about,
B,Patient Capital,B1,Permanent-equity investors,Malpani Ventures,verified,tech,India,,"It means we don't have a forced exit clause in our term sheets. It means when we talk to a founder about the next five years, we're actually thinking about the next fifteen.",https://www.malpaniventures.com/blog/a-quiet-reorientation,
B,Patient Capital,B1,Permanent-equity investors,Permanent Equity,verified,mixed,,,We invest with no intention of selling (and have never sold a portfolio company).,https://www.permanentequity.com/,
B,Patient Capital,B1,Permanent-equity investors,Rainmatter (by Zerodha),verified,tech,India,,Patient capital with no exit mandates that founders can benefit from when building an enterprise.,https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,
B,Patient Capital,B1,Permanent-equity investors,Teoh Capital,verified,mixed,,,"But unlike most private equity firms, we invest without a fixed time horizon.",https://teohcapital.com/,
B,Patient Capital,B2,Steward-ownership & evergreen funds,Bridges Evergreen Holdings,verified,mixed,UK impact,,"It is structured as a holding company rather than a fund so it can provide ongoing support over the long term, with no exit requirement.",https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,
B,Patient Capital,B2,Steward-ownership & evergreen funds,Purpose Evergreen Capital,verified,mixed,,,Purpose Evergreen Capital is an evergreen investment fund without pressure to force an exit.,https://purpose-economy.org/en/pec/,
B,Patient Capital,B2,Steward-ownership & evergreen funds,Purpose Ventures,verified,mixed,,,"Our terms allow companies to stay independent, provide investors liquidity without a sale or exit, and build impactful companies.",https://purpose-economy.org/en/investment/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,Gorilla Capital,verified-anchor,tech,Finland,,"We invest in camels — ambitious, resilient startups using technology to solve real business problems.",https://gorillacapital.fi/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,TinySeed,verified-anchor,tech,US,,"scale your software business without the headache of traditional fundraising, the risk of losing control, or the pressure to build a unicorn",https://tinyseed.com/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,D2 Fund,verified,tech,UK/Europe,,We prioritise sustainable compounding growth and will never push portfolio founders to raise capital to mark up our own books.,https://d2.fund/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,Golden Section,verified,tech,Houston,,"Founders who are building toward a meaningful strategic exit at $5-15M An. Rev., not an IPO at $500M An. Rev. - and understand why that's actually the better outcome.",https://www.goldensection.com/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,HASAN.VC,verified,tech,Southeast Asia / Islamic VC,,HASAN.VC prioritizes the cultivation of Camel startups over the pursuit of speculative Unicorns.,https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,
C,Camel & Capital-Efficient Capital,C1,Camel & capital-efficient VC,Iolar Ventures,verified,tech,Silicon Valley; B2B cloud/mobile software,,"the approach of mainstream venture, with an emphasis on outlier outcomes, rapid growth at all costs, high burn rates, and a large portfolio to mitigate high risk, may not always be the best choice for founders... we don't need to force companies to take excess capital in order to 'move the needle' on returns to our funds.",https://iolar.vc/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Calm Company Fund (formerly Earnest Capital),verified-anchor,mixed,US,,an investment firm that backs companies that do not risk survival for growth,https://calmfund.com/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Indie.vc,verified-anchor,tech,US,,"ZIRP-era playbooks of VC treadmills, pump and dump schemes, and growth at all costs have aged like milk.",https://www.indie.vc/facts,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Lighter Capital,verified-anchor,tech,US,,"Tired of getting stuck with VCs? Fund growth without wasting time, energy, or equity.",https://lightercapital.com/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Bigfoot Capital,verified,tech,,,"We started Bigfoot in 2017 to push back against what we viewed to be an overly pervasive and often reckless format for building and capitalizing software businesses, that of growth at all costs and the associated hyperfunding to pursue it.",https://bigfootcap.com/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,BuyBack Ventures,verified,tech,US,,"In traditional venture capital, you have to give up ownership as you grow. With Buyback Ventures, use your profits to buy back your equity and own more of your company as you grow.",https://buyback.vc/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Lasting Ventures Capital,verified,mixed,Brazil,,"Não buscamos venda futura. Nossa remuneração vem da distribuição de resultados da operação, junto aos fundadores e time, alinhando nossos interesses com o crescimento sustentável do seu negócio.",https://lastingventures.capital/,
C,Camel & Capital-Efficient Capital,C2,Non-dilutive & alternative-instrument capital,Next Wave Partners,verified,tech,US,,The power law logic of venture capital has reached its breaking point.,https://nextwave.partners/building-forever-businesses/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Capacity Capital,tier2-pending,tech,US Southeast,,,https://capacitycapital.co/,Revenue-based thesis ('invests in revenues instead of valuations'); homepage could not be verified (site returned repeated errors) — pending verbatim confirmation.
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",4D Ventures,tier2-in-disguise,tech,Europe,,"Besides vision, we are a great fit with founders with a bootstrap mentality (we are no fit for 'blitz-scalers'), low-burn yet ambitious.",https://www.4d.ventures/investment-thesis,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Ascendant Ventures,tier2-in-disguise,mixed,UK,,"We are after businesses that are enduringly profitable: well established businesses with successful histories, good reputations, solid, stable futures and a strong team.",https://ascendantventures.com/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",BuenTrip Ventures,tier2-in-disguise,mixed,LatAm,,We seek founders who can achieve outsized results with limited capital by focusing on profitability and efficient scaling.,https://www.buentrip.vc/blog/navigatingventurecapital,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Camel Ventures,tier2-in-disguise,tech,Egypt fintech,,"We believe in Camels (not only potential Unicorns) – the embodiment of the characteristics we look for, and nurture, in our partners - the startups.",https://www.camel.ventures/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Cornerstone Ventures,tier2-in-disguise,tech,India,,"Success here isn't about finding the one unicorn that returns the fund ten times over—it's about building a portfolio where 10-15 companies deliver solid 3-5x returns, with a handful achieving 10-15x outcomes.",https://www.cornerstoneventures.vc/pressblogs/049-venture-capital-investing-mindset-understanding-india-s-strategic-approach,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",henQ,tier2-in-disguise,tech,Europe,,We are fine if you want to build a sustainable business without ever raising VC funding again.,https://www.henq.vc/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Pemba Capital Partners,tier2-in-disguise,tech,Australia,,"Instead of the unicorn, the camel is the more fitting mascot for what we look for.",https://pemba.com.au/hunt-camels-rather-than-unicorns/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",SaaSholic,tier2-in-disguise,tech,,,"Capital efficiency beats hyper-growth. Because in Latam, every dollar matters and competition is thinner. Lower CACs let distribution be won with limited burn; ROI beats growth at all costs.",https://blog.saasholic.com/p/doing-it-wrong-again-saasholics-next,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",Startup Ignition Ventures,tier2-in-disguise,tech,US / Utah,,We back companies built to last — not just to raise the next round.,https://www.startupignition.com/ventures/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",STS Ventures,tier2-in-disguise,mixed,DACH,,"Sure, like most VCs, we welcome unicorn start-ups with hockey stick growth. But, we really love start-ups that achieve capital-efficient, sustainable growth.",https://sts-ventures.de/portfolio/,
T,Tier 2 — In Disguise,T1,"Camel & capital-efficient investors (signal, no explicit rejection)",UpsideDown VC,tier2-in-disguise,mixed,UK,,"Freedom to pursue either venture-scale growth or build a profitable smaller business, without pressure to fit a single mould.",https://www.upsidedown.vc/,
T,Tier 2 — In Disguise,T2,Zebra & alternative-model investors,Zebra Impact Ventures,tier2-in-disguise,mixed,Switzerland,,This business model is framed as an alternative to the disrupting and profit-focused unicorn model.,https://zebraventures.ch/,
T,Tier 2 — In Disguise,T2,Zebra & alternative-model investors,Zebras and Company,tier2-in-disguise,mixed,Japan,,"we not only invest in and participate in the management of zebra companies but also collaborate with governments, financial institutions, and academic institutions both in Japan and overseas to create a movement and community that support zebras.",https://www.zebrasand.co.jp/en/,
T,Tier 2 — In Disguise,T3,Permanent-capital assertion (no explicit model rejection),Software Circle,tier2-in-disguise,tech,"UK, AIM:SFT",,"Providing a permanent home for their teams, management talent and culture.",https://softwarecircle.com/,
T,Tier 2 — In Disguise,T3,Permanent-capital assertion (no explicit model rejection),The Perpetuity Project,tier2-in-disguise,mixed,Europe,,"We are a holding company dedicated to acquiring and growing solid small and medium-sized businesses across Europe, with a long-term, perpetual investment horizon.",https://www.theperpetuityproject.com/,
P,Foundational Anchors — provenance,P0,Provenance anchors (verbatim self-ID pending),5X Capital,provenance,tech,LatAm,Patient Capital,,https://fivexcapital.com/,"LatAm patient-capital VC (B2B SaaS/AI); fivexcapital.com is a rebrand placeholder, so a verbatim self-ID is pending relaunch. Thesis ('no forced exits', 'unlike traditional VC') is corroborated via search only — not yet a verified own-page quote."
P,Foundational Anchors — provenance,P0,Provenance anchors (verbatim self-ID pending),Kickstart,provenance,tech,US (Mountain West),Camel VC,,https://kickstart.com/,"Mountain West seed fund; vouched as an 'SMV in disguise' plus regional signal. Current site uses generic 'backing outliers early' language, not an explicit anti-unicorn self-ID."
P,Foundational Anchors — provenance,P0,Provenance anchors (verbatim self-ID pending),Village Capital,provenance,mixed,US/global,Patient Capital (impact),,https://www.vilcap.com/,"Impact accelerator/fund; admitted by foundational provenance. Its current site is impact-focused (climate, economic mobility) with no explicit anti-unicorn self-ID; flagged not-outright-anti-unicorn."
