entity_id,entity_name,primary_asset_class,entity_type,website,fit_score,entity_evidence_status,claim_id,claim_type,claim,claim_evidence_status,claim_confidence,source_url,source_quality,source_tier,source_text_snippet,paper_ready
ajim-capital,Ajim Capital,LMV,Africa emerging-manager micro fund,https://ajimcapital.com,62,candidate_evidence,claim-ajim-capital-intake-002,intake_lmv_bucket_signal,Ajim Capital has source-backed LMV bucket evidence: source text contains 'first check'.,candidate_evidence,65,https://ajimcapital.com,primary,public_web,,0
ajim-capital,Ajim Capital,LMV,Africa emerging-manager micro fund,https://ajimcapital.com,62,candidate_evidence,claim-ajim-capital-intake-003,intake_lmv_bucket_signal,Ajim Capital has source-backed LMV bucket evidence: source text contains 'thesis-driven'.,candidate_evidence,65,https://ajimcapital.com,primary,public_web,,0
ajim-capital,Ajim Capital,LMV,Africa emerging-manager micro fund,https://ajimcapital.com,62,candidate_evidence,claim-ajim-capital-intake-004,intake_lmv_bucket_signal,Ajim Capital has source-backed LMV bucket evidence: source text contains 'founder-first'.,candidate_evidence,65,https://ajimcapital.com,primary,public_web,,0
ajim-capital,Ajim Capital,LMV,Africa emerging-manager micro fund,https://ajimcapital.com,62,candidate_evidence,claim-ajim-capital-intake-005,intake_lmv_bucket_signal,Ajim Capital has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://ajimcapital.com,primary,public_web,,0
aligned-climate-capital,Aligned Climate Capital,LMV,climate impact investor,https://www.alignedclimatecapital.com/,62,candidate_evidence,claim-aligned-climate-capital-intake-001,intake_sovereign-capital_bucket_signal,Aligned Climate Capital has source-backed Sovereign Capital bucket evidence: source text contains 'clean energy'.,candidate_evidence,65,https://www.alignedclimatecapital.com/,primary,public_web,,0
aligned-climate-capital,Aligned Climate Capital,LMV,climate impact investor,https://www.alignedclimatecapital.com/,62,candidate_evidence,claim-aligned-climate-capital-intake-002,intake_sovereign-capital_bucket_signal,Aligned Climate Capital has source-backed Sovereign Capital bucket evidence: source text contains 'clean energy transition'.,candidate_evidence,65,https://www.alignedclimatecapital.com/,primary,public_web,,0
aligned-climate-capital,Aligned Climate Capital,LMV,climate impact investor,https://www.alignedclimatecapital.com/,62,candidate_evidence,claim-aligned-climate-capital-intake-003,intake_sovereign-capital_bucket_signal,Aligned Climate Capital has source-backed Sovereign Capital bucket evidence: source text contains 'energy transition'.,candidate_evidence,65,https://www.alignedclimatecapital.com/,primary,public_web,,0
all-in-capital,All In Capital,LMV,micro_vc,https://allincapital.vc/,62,candidate_evidence,claim-all-in-capital-intake-001,intake_lmv_bucket_signal,All In Capital has source-backed LMV bucket evidence: source text contains 'founder community'.,candidate_evidence,65,https://allincapital.vc/,primary,public_web,,0
all-in-capital,All In Capital,LMV,micro_vc,https://allincapital.vc/,62,candidate_evidence,claim-all-in-capital-intake-002,intake_lmv_bucket_signal,All In Capital has source-backed LMV bucket evidence: source text contains 'community of founders'.,candidate_evidence,65,https://allincapital.vc/,primary,public_web,,0
all-in-capital,All In Capital,LMV,micro_vc,https://allincapital.vc/,62,candidate_evidence,claim-all-in-capital-intake-003,intake_lmv_bucket_signal,All In Capital has source-backed LMV bucket evidence: source text contains 'founders we back'.,candidate_evidence,65,https://allincapital.vc/,primary,public_web,,0
all-in-capital,All In Capital,LMV,micro_vc,https://allincapital.vc/,62,candidate_evidence,claim-all-in-capital-intake-004,intake_lmv_bucket_signal,All In Capital has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://allincapital.vc/,primary,public_web,,0
anamcara-capital,Anamcara Capital,LMV,"Solo-GP micro VC fund (Europe, B2B software/AI, Fund I $10.6M)",https://www.anamcaracapital.com,62,candidate_evidence,claim-anamcara-capital-intake-001,intake_portfolio-capital_bucket_signal,Anamcara Capital has source-backed Portfolio Capital bucket evidence: source text contains 'portfolio companies'.,candidate_evidence,65,https://www.anamcaracapital.com,primary,public_web,,0
anamcara-capital,Anamcara Capital,LMV,"Solo-GP micro VC fund (Europe, B2B software/AI, Fund I $10.6M)",https://www.anamcaracapital.com,62,candidate_evidence,claim-anamcara-capital-intake-002,intake_portfolio-capital_bucket_signal,Anamcara Capital has source-backed Portfolio Capital bucket evidence: source text contains 'consolidation'.,candidate_evidence,65,https://www.anamcaracapital.com,primary,public_web,,0
anchorless-bangladesh,Anchorless Bangladesh,LMV,Bangladesh early-stage venture investment fund,https://www.anchorless.vc/,62,candidate_evidence,claim-anchorless-bangladesh-intake-001,intake_patient-capital_bucket_signal,Anchorless Bangladesh has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://www.anchorless.vc/,primary,public_web,,0
anchorless-bangladesh,Anchorless Bangladesh,LMV,Bangladesh early-stage venture investment fund,https://www.anchorless.vc/,62,candidate_evidence,claim-anchorless-bangladesh-intake-002,intake_patient-capital_bucket_signal,Anchorless Bangladesh has source-backed Patient Capital bucket evidence: source text contains 'social impact'.,candidate_evidence,65,https://www.anchorless.vc/,primary,public_web,,0
anorak-ventures,Anorak Ventures,LMV,solo-GP seed micro-VC,https://anorak.vc/,62,candidate_evidence,claim-anorak-ventures-intake-001,intake_patient-capital_bucket_signal,Anorak Ventures has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://anorak.vc/,primary,public_web,,0
anorak-ventures,Anorak Ventures,LMV,solo-GP seed micro-VC,https://anorak.vc/,62,candidate_evidence,claim-anorak-ventures-intake-002,intake_patient-capital_bucket_signal,Anorak Ventures has source-backed Patient Capital bucket evidence: source text contains 'as invested in'.,candidate_evidence,65,https://anorak.vc/,primary,public_web,,0
arizona-founders-fund,Arizona Founders Fund,LMV,regional micro-VC,https://azff.co/,62,candidate_evidence,claim-arizona-founders-fund-intake-001,intake_lmv_bucket_signal,Arizona Founders Fund has source-backed LMV bucket evidence: source text contains 'rolling fund'.,candidate_evidence,65,https://azff.co/,primary,public_web,,0
arizona-founders-fund,Arizona Founders Fund,LMV,regional micro-VC,https://azff.co/,62,candidate_evidence,claim-arizona-founders-fund-intake-002,intake_lmv_bucket_signal,Arizona Founders Fund has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://azff.co/,primary,public_web,,0
artha-venture-partners,Artha Venture Partners,LMV,micro_vc,https://artha.fund/,62,candidate_evidence,claim-artha-venture-partners-intake-001,intake_lmv_bucket_signal,Artha Venture Partners has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://artha.fund/,primary,public_web,,0
artha-venture-partners,Artha Venture Partners,LMV,micro_vc,https://artha.fund/,62,candidate_evidence,claim-artha-venture-partners-intake-002,intake_lmv_bucket_signal,Artha Venture Partners has source-backed LMV bucket evidence: source text contains 'syndicate'.,candidate_evidence,65,https://artha.fund/,primary,public_web,,0
astia,Astia,LMV,women-focused fund,https://www.astia.org/,62,candidate_evidence,claim-astia-intake-001,intake_patient-capital_bucket_signal,Astia has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,candidate_evidence,65,https://www.astia.org/,primary,public_web,,0
astia,Astia,LMV,women-focused fund,https://www.astia.org/,62,candidate_evidence,claim-astia-intake-002,intake_patient-capital_bucket_signal,Astia has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://www.astia.org/,primary,public_web,,0
axon-partners-group,Axon Partners Group,LMV,alternative_asset_manager,https://www.axonpartnersgroup.com,62,candidate_evidence,claim-axon-partners-group-intake-001,intake_patient-capital_bucket_signal,Axon Partners Group has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,candidate_evidence,65,https://www.axonpartnersgroup.com,primary,public_web,,0
axon-partners-group,Axon Partners Group,LMV,alternative_asset_manager,https://www.axonpartnersgroup.com,62,candidate_evidence,claim-axon-partners-group-intake-002,intake_patient-capital_bucket_signal,Axon Partners Group has source-backed Patient Capital bucket evidence: source text contains 'trust'.,candidate_evidence,65,https://www.axonpartnersgroup.com,primary,public_web,,0
booom,BOOOM,LMV,solo-GP / micro-VC,https://booom.vc/,62,candidate_evidence,claim-booom-intake-001,intake_patient-capital_bucket_signal,BOOOM has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://booom.vc/,primary,public_web,,0
booom,BOOOM,LMV,solo-GP / micro-VC,https://booom.vc/,62,candidate_evidence,claim-booom-intake-002,intake_patient-capital_bucket_signal,BOOOM has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://booom.vc/,primary,public_web,,0
behind-genius-ventures,Behind Genius Ventures,LMV,emerging-manager micro-VC,https://www.behindgeniusventures.com/,62,candidate_evidence,claim-behind-genius-ventures-intake-001,intake_patient-capital_bucket_signal,Behind Genius Ventures has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://www.behindgeniusventures.com/,primary,public_web,,0
behind-genius-ventures,Behind Genius Ventures,LMV,emerging-manager micro-VC,https://www.behindgeniusventures.com/,62,candidate_evidence,claim-behind-genius-ventures-intake-002,intake_patient-capital_bucket_signal,Behind Genius Ventures has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,candidate_evidence,65,https://www.behindgeniusventures.com/,primary,public_web,,0
better-ventures,Better Ventures,LMV,mission-driven impact fund,https://www.better.vc/,62,candidate_evidence,claim-better-ventures-intake-001,intake_sovereign-capital_bucket_signal,Better Ventures has source-backed Sovereign Capital bucket evidence: source text contains 'mission-driven'.,candidate_evidence,65,https://www.better.vc/,primary,public_web,,0
better-ventures,Better Ventures,LMV,mission-driven impact fund,https://www.better.vc/,62,candidate_evidence,claim-better-ventures-intake-002,intake_sovereign-capital_bucket_signal,Better Ventures has source-backed Sovereign Capital bucket evidence: source text contains 'sustainable development'.,candidate_evidence,65,https://www.better.vc/,primary,public_web,,0
black-sheep-capital,Black Sheep Capital,LMV,angel_seed_fund,https://blacksheepcapital.com.au/,62,candidate_evidence,claim-black-sheep-capital-intake-001,intake_patient-capital_bucket_signal,Black Sheep Capital has source-backed Patient Capital bucket evidence: source text contains 'long-term'.,candidate_evidence,65,https://blacksheepcapital.com.au/,primary,public_web,,0
black-sheep-capital,Black Sheep Capital,LMV,angel_seed_fund,https://blacksheepcapital.com.au/,62,candidate_evidence,claim-black-sheep-capital-intake-002,intake_patient-capital_bucket_signal,Black Sheep Capital has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://blacksheepcapital.com.au/,primary,public_web,,0
black-sheep-capital,Black Sheep Capital,LMV,angel_seed_fund,https://blacksheepcapital.com.au/,62,candidate_evidence,claim-black-sheep-capital-intake-003,intake_patient-capital_bucket_signal,Black Sheep Capital has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,candidate_evidence,65,https://blacksheepcapital.com.au/,primary,public_web,,0
black-sheep-capital,Black Sheep Capital,LMV,angel_seed_fund,https://blacksheepcapital.com.au/,62,candidate_evidence,claim-black-sheep-capital-intake-004,intake_patient-capital_bucket_signal,Black Sheep Capital has source-backed Patient Capital bucket evidence: source text contains 'trust'.,candidate_evidence,65,https://blacksheepcapital.com.au/,primary,public_web,,0
black-sheep-capital,Black Sheep Capital,LMV,angel_seed_fund,https://blacksheepcapital.com.au/,62,candidate_evidence,claim-black-sheep-capital-intake-005,intake_patient-capital_bucket_signal,Black Sheep Capital has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://blacksheepcapital.com.au/,primary,public_web,,0
borski-fund,Borski Fund,LMV,impact_micro_vc,https://borskifund.com,62,candidate_evidence,claim-borski-fund-intake-001,intake_lmv_bucket_signal,Borski Fund has source-backed LMV bucket evidence: source text contains 'founder-first'.,candidate_evidence,65,https://borskifund.com,primary,public_web,,0
borski-fund,Borski Fund,LMV,impact_micro_vc,https://borskifund.com,62,candidate_evidence,claim-borski-fund-intake-002,intake_lmv_bucket_signal,Borski Fund has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://borskifund.com,primary,public_web,,0
bronze-valley,Bronze Valley,LMV,underrepresented_founder_vc,https://www.bronzevalley.com/,62,candidate_evidence,claim-bronze-valley-intake-001,intake_patient-capital_bucket_signal,Bronze Valley has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://www.bronzevalley.com/,primary,public_web,,0
bronze-valley,Bronze Valley,LMV,underrepresented_founder_vc,https://www.bronzevalley.com/,62,candidate_evidence,claim-bronze-valley-intake-002,intake_patient-capital_bucket_signal,Bronze Valley has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://www.bronzevalley.com/,primary,public_web,,0
buoyant-ventures,Buoyant Ventures,LMV,climate venture fund,https://www.buoyant.vc/,62,candidate_evidence,claim-buoyant-ventures-intake-001,intake_lmv_bucket_signal,Buoyant Ventures has source-backed LMV bucket evidence: source text contains 'accelerator'.,candidate_evidence,65,https://www.buoyant.vc/,primary,public_web,,0
buoyant-ventures,Buoyant Ventures,LMV,climate venture fund,https://www.buoyant.vc/,62,candidate_evidence,claim-buoyant-ventures-intake-002,intake_lmv_bucket_signal,Buoyant Ventures has source-backed LMV bucket evidence: source text contains 'thesis-driven'.,candidate_evidence,65,https://www.buoyant.vc/,primary,public_web,,0
cake-ventures,Cake Ventures,LMV,solo-GP pre-seed/seed fund,https://cake.vc/,62,candidate_evidence,claim-cake-ventures-intake-001,intake_patient-capital_bucket_signal,Cake Ventures has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://cake.vc/,primary,public_web,,0
cake-ventures,Cake Ventures,LMV,solo-GP pre-seed/seed fund,https://cake.vc/,62,candidate_evidence,claim-cake-ventures-intake-002,intake_patient-capital_bucket_signal,Cake Ventures has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,candidate_evidence,65,https://cake.vc/,primary,public_web,,0
cake-ventures,Cake Ventures,LMV,solo-GP pre-seed/seed fund,https://cake.vc/,62,candidate_evidence,claim-cake-ventures-intake-003,intake_patient-capital_bucket_signal,Cake Ventures has source-backed Patient Capital bucket evidence: source text contains 'trust'.,candidate_evidence,65,https://cake.vc/,primary,public_web,,0
calm-storm-ventures,Calm/Storm Ventures,LMV,European HealthTech seed,https://calmstorm.vc/,62,candidate_evidence,claim-calm-storm-ventures-intake-001,intake_lmv_bucket_signal,Calm/Storm Ventures has source-backed LMV bucket evidence: source text contains 'community of founders'.,candidate_evidence,65,https://calmstorm.vc/,primary,public_web,,0
calm-storm-ventures,Calm/Storm Ventures,LMV,European HealthTech seed,https://calmstorm.vc/,62,candidate_evidence,claim-calm-storm-ventures-intake-002,intake_lmv_bucket_signal,Calm/Storm Ventures has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://calmstorm.vc/,primary,public_web,,0
camber-creek,Camber Creek,LMV,real-estate-tech specialty VC/PE,https://www.cambercreek.com/,62,candidate_evidence,claim-camber-creek-intake-001,intake_patient-capital_bucket_signal,Camber Creek has source-backed Patient Capital bucket evidence: source text contains 'trust'.,candidate_evidence,65,https://www.cambercreek.com/,primary,public_web,,0
camber-creek,Camber Creek,LMV,real-estate-tech specialty VC/PE,https://www.cambercreek.com/,62,candidate_evidence,claim-camber-creek-intake-002,intake_patient-capital_bucket_signal,Camber Creek has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,candidate_evidence,65,https://www.cambercreek.com/,primary,public_web,,0
cambrian-ventures,Cambrian Ventures,LMV,"solo-GP micro VC, fintech-focused pre-seed/seed",https://www.cambrian.vc/,62,candidate_evidence,claim-cambrian-ventures-intake-001,intake_lmv_bucket_signal,Cambrian Ventures has source-backed LMV bucket evidence: source text contains 'solo gp'.,candidate_evidence,65,https://www.cambrian.vc/,primary,public_web,,0
cambrian-ventures,Cambrian Ventures,LMV,"solo-GP micro VC, fintech-focused pre-seed/seed",https://www.cambrian.vc/,62,candidate_evidence,claim-cambrian-ventures-intake-002,intake_lmv_bucket_signal,Cambrian Ventures has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://www.cambrian.vc/,primary,public_web,,0
cantos,Cantos,LMV,solo-GP pre-seed micro-VC,https://cantos.vc/,62,candidate_evidence,claim-cantos-intake-001,intake_smv_bucket_signal,Cantos has source-backed SMV bucket evidence: source text contains 'acquiring'.,candidate_evidence,65,https://cantos.vc/,primary,public_web,,0
cantos,Cantos,LMV,solo-GP pre-seed micro-VC,https://cantos.vc/,62,candidate_evidence,claim-cantos-intake-002,intake_smv_bucket_signal,Cantos has source-backed SMV bucket evidence: source text contains 'profitable'.,candidate_evidence,65,https://cantos.vc/,primary,public_web,,0
catalyst-fund,Catalyst Fund,LMV,Pre-seed VC and accelerator for inclusive fintech (Africa-focused),https://www.thecatalystfund.com/,62,candidate_evidence,claim-catalyst-fund-intake-001,intake_lmv_bucket_signal,Catalyst Fund has source-backed LMV bucket evidence: source text contains 'accelerator'.,candidate_evidence,65,https://www.thecatalystfund.com/,primary,public_web,,0
catalyst-fund,Catalyst Fund,LMV,Pre-seed VC and accelerator for inclusive fintech (Africa-focused),https://www.thecatalystfund.com/,62,candidate_evidence,claim-catalyst-fund-intake-002,intake_lmv_bucket_signal,Catalyst Fund has source-backed LMV bucket evidence: source text contains 'thesis-driven'.,candidate_evidence,65,https://www.thecatalystfund.com/,primary,public_web,,0
catalyst-fund,Catalyst Fund,LMV,Pre-seed VC and accelerator for inclusive fintech (Africa-focused),https://www.thecatalystfund.com/,62,candidate_evidence,claim-catalyst-fund-intake-003,intake_lmv_bucket_signal,Catalyst Fund has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://www.thecatalystfund.com/,primary,public_web,,0
catalyst-romania,Catalyst Romania,LMV,growth equity tech fund (Romania / CEE),https://catalystromania.com/,62,candidate_evidence,claim-catalyst-romania-intake-001,intake_patient-capital_bucket_signal,Catalyst Romania has source-backed Patient Capital bucket evidence: source text contains 'mission'.,candidate_evidence,65,https://catalystromania.com/,primary,public_web,,0
catalyst-romania,Catalyst Romania,LMV,growth equity tech fund (Romania / CEE),https://catalystromania.com/,62,candidate_evidence,claim-catalyst-romania-intake-002,intake_patient-capital_bucket_signal,Catalyst Romania has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,candidate_evidence,65,https://catalystromania.com/,primary,public_web,,0
catalyst-romania,Catalyst Romania,LMV,growth equity tech fund (Romania / CEE),https://catalystromania.com/,62,candidate_evidence,claim-catalyst-romania-intake-003,intake_patient-capital_bucket_signal,Catalyst Romania has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://catalystromania.com/,primary,public_web,,0
change-ventures,Change Ventures,LMV,pre-seed-VC,https://www.changeventures.com,62,candidate_evidence,claim-change-ventures-intake-001,intake_lmv_bucket_signal,Change Ventures has source-backed LMV bucket evidence: source text contains 'accelerator'.,candidate_evidence,65,https://www.changeventures.com,primary,public_web,,0
change-ventures,Change Ventures,LMV,pre-seed-VC,https://www.changeventures.com,62,candidate_evidence,claim-change-ventures-intake-002,intake_lmv_bucket_signal,Change Ventures has source-backed LMV bucket evidence: source text contains 'community of founders'.,candidate_evidence,65,https://www.changeventures.com,primary,public_web,,0
change-ventures,Change Ventures,LMV,pre-seed-VC,https://www.changeventures.com,62,candidate_evidence,claim-change-ventures-intake-003,intake_lmv_bucket_signal,Change Ventures has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://www.changeventures.com,primary,public_web,,0
change-ventures,Change Ventures,LMV,pre-seed-VC,https://www.changeventures.com,62,candidate_evidence,claim-change-ventures-intake-004,intake_lmv_bucket_signal,Change Ventures has source-backed LMV bucket evidence: source text contains 'syndicate'.,candidate_evidence,65,https://www.changeventures.com,primary,public_web,,0
cintrifuse-capital,Cintrifuse Capital,LMV,regional_seed_vc,https://cintrifusecapital.com/,62,candidate_evidence,claim-cintrifuse-capital-intake-001,intake_patient-capital_bucket_signal,Cintrifuse Capital has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,candidate_evidence,65,https://cintrifusecapital.com/,primary,public_web,,0
cintrifuse-capital,Cintrifuse Capital,LMV,regional_seed_vc,https://cintrifusecapital.com/,62,candidate_evidence,claim-cintrifuse-capital-intake-002,intake_patient-capital_bucket_signal,Cintrifuse Capital has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://cintrifusecapital.com/,primary,public_web,,0
climate-vc-fund-2040-ventures,Climate VC Fund (2040 Ventures),LMV,venture_fund,https://climatevcfund.com/,62,candidate_evidence,claim-climate-vc-fund-2040-ventures-intake-001,intake_lmv_bucket_signal,Climate VC Fund (2040 Ventures) has source-backed LMV bucket evidence: source text contains 'founders we back'.,candidate_evidence,65,https://climatevcfund.com/,primary,public_web,,0
climate-vc-fund-2040-ventures,Climate VC Fund (2040 Ventures),LMV,venture_fund,https://climatevcfund.com/,62,candidate_evidence,claim-climate-vc-fund-2040-ventures-intake-002,intake_lmv_bucket_signal,Climate VC Fund (2040 Ventures) has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://climatevcfund.com/,primary,public_web,,0
concrete-ventures,Concrete Ventures,LMV,Atlantic Canadian pre-seed venture capital fund,https://www.concrete.vc/,62,candidate_evidence,claim-concrete-ventures-intake-001,intake_portfolio-capital_bucket_signal,Concrete Ventures has source-backed Portfolio Capital bucket evidence: source text contains 'portfolio companies'.,candidate_evidence,65,https://www.concrete.vc/,primary,public_web,,0
concrete-ventures,Concrete Ventures,LMV,Atlantic Canadian pre-seed venture capital fund,https://www.concrete.vc/,62,candidate_evidence,claim-concrete-ventures-intake-002,intake_portfolio-capital_bucket_signal,Concrete Ventures has source-backed Portfolio Capital bucket evidence: source text contains 'we operate'.,candidate_evidence,65,https://www.concrete.vc/,primary,public_web,,0
cortado-ventures,Cortado Ventures,LMV,regional micro-VC,https://cortado.ventures/,62,candidate_evidence,claim-cortado-ventures-intake-001,intake_patient-capital_bucket_signal,Cortado Ventures has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,candidate_evidence,65,https://cortado.ventures/,primary,public_web,,0
cortado-ventures,Cortado Ventures,LMV,regional micro-VC,https://cortado.ventures/,62,candidate_evidence,claim-cortado-ventures-intake-002,intake_patient-capital_bucket_signal,Cortado Ventures has source-backed Patient Capital bucket evidence: source text contains 'impact'.,candidate_evidence,65,https://cortado.ventures/,primary,public_web,,0
counteract,Counteract,LMV,carbon-removal venture fund,https://counteract.vc/,62,candidate_evidence,claim-counteract-intake-001,intake_sovereign-capital_bucket_signal,Counteract has source-backed Sovereign Capital bucket evidence: source text contains 'carbon capture'.,candidate_evidence,65,https://counteract.vc/,primary,public_web,,0
counteract,Counteract,LMV,carbon-removal venture fund,https://counteract.vc/,62,candidate_evidence,claim-counteract-intake-002,intake_sovereign-capital_bucket_signal,Counteract has source-backed Sovereign Capital bucket evidence: source text contains 'carbon removal'.,candidate_evidence,65,https://counteract.vc/,primary,public_web,,0
eastend-ventures,Eastend Ventures,LMV,venture_fund,https://eastend.vc/,62,candidate_evidence,claim-eastend-ventures-intake-001,intake_lmv_bucket_signal,Eastend Ventures has source-backed LMV bucket evidence: source text contains 'ai-native'.,candidate_evidence,65,https://eastend.vc/,primary,public_web,,0
